nama_di_registri,id,nama,asal,grup_induk,status_aktivitas,merek_utama,situs,sumber,sumber_jenis,keyakinan,diperbarui
PT. Agritek Tani Indonesia,agritek-tani-indonesia-agrosid-manunggal-sentosa-bio-sarana-,(Anggota ABI lain — belum diriset),Indonesia,Swasta nasional,belum-diverifikasi,,,abi-bioagroinput.or.id/anggota.aspx ; pengecekan DNS/HTTP langsung,laporan-agen-riset,rendah,2026-08-19
PT. ADIL MAKMUR FAJAR,adil-makmur-fajar,Adil Makmur Fajar,Indonesia,belum terverifikasi,aktif,"Amco Up 486 SL, Amcometryn 80 WP, Amcomin 865 SL, Amcopyr 670 EC, Amcoron 80 WP, Amfuron 20 WG, Amsinat 150 SL, Bestop 530 SL",belum terverifikasi,[Registri Kementan 2014](https://toolsfortransformation.net/wp-content/uploads/2017/05/Buk,laporan-agen-riset,sedang,2026-08-19
PT. ADVANSIA INDOTANI,advansia-indotani,Advansia Indotani,Indonesia (Tangerang/BSD),belum terverifikasi,aktif,"Buku 2014: Abado 50 WP, Abenz 22 EC, Abojo 60 WP, Adoca 150 SC, Akalis 550 SC. Terkini: Symphony 500 EC, Atamit, Amiko, Apuri 50 WP, Valor 50 WG",belum terverifikasi,Buku Pestisida Terdaftar 2014 ; [ACCI](https://cropcare.or.id/daftar-anggota/) ; [Registri Kementan 2014](https://toolsfortransformation.net/wp-content/uploads/2017/05/Buk ; advansia.co.id ; cropcare.or.id/daftar-anggota,laporan-agen-riset,sedang/tinggi,2026-08-19
PT. AGRICULTURE CONSTRUCTION,agriculture-construction-dikenal-agricon,Agricon,Indonesia (Bogor),"induk grup sendiri — membawahi PT Agricon Indonesia (30% Mitsui Chemicals Agro), PT Asia Gala Kimia, PT ASABI, PT Panca Agro Niaga Lestari",aktif,"Spontan 400 SL, Spontanking 400 SL, Mospilan 30 EC, Tenchu 20 SG, Sevin 85 SP, Abuki 50 SL, Blast 200 SC, Bazoka 80 WP",agricon.com,Buku Pestisida Terdaftar 2014 ; agricon.com,laporan-agen-riset,tinggi,2026-08-19
PT.AGRITEK SUKSES INDONESIA,agritek-sukses-indonesia,Agritek Sukses Indonesia,,,aktif,"BIONANO 0,13 SL (azadirakhtin 0,13 g/l)",,,laporan-agen-riset,tinggi,2026-08-19
PT. AGRO GUNA MAKMUR,agro-guna-makmur,Agro Guna Makmur,,,aktif,"Alfatox 50 EC, Amarilis 25 EC, Basileum 505 EC, Carolit 500 EC, Festans 80 WP, Granat 25 EC",,,laporan-agen-riset,sedang,2026-08-19
PT. AGRO SEJAHTERA INDONESIA,agro-sejahtera-indonesia,Agro Sejahtera Indonesia,Indonesia,⚠️ belum terverifikasi,aktif,"Asmec 36 EC, Asterking 15 EC, Astertrin 250 EC, Astermida 10 WP, Antong 75 SP, Deltara 50 EC, Bansar 500 EC, Ekstraklin 276 SL",⚠️ belum terverifikasi,Buku Pestisida Terdaftar 2014 ; cropcare.or.id/daftar-anggota,laporan-agen-riset,tinggi,2026-08-19
PT. AGROKIMINDO KURNIABUANA,agrokimindo-kurnia-buana,Agrokimindo Kurnia Buana,,,aktif,"RESTACK WP (Bt kurstaki HD-1, 16.000 IU/mg); ABA-M 18 EC, Alfast 30 EC",,,laporan-agen-riset,tinggi,2026-08-19
PT. AGX ASIA INDONESIA,agx-asia-indonesia,AGX Asia,⚠️ belum terverifikasi,⚠️ belum terverifikasi,belum-diverifikasi,⚠️ belum terverifikasi,⚠️ belum terverifikasi,cropcare.or.id/daftar-anggota,laporan-agen-riset,rendah,2026-08-19
PT. ALBAUGH AGRO INDONESIA,albaugh-agro-indonesia,Albaugh,AS (Albaugh LLC),Albaugh LLC,aktif,belum terverifikasi — tidak ada di registri 2014,belum terverifikasi,[ACCI](https://cropcare.or.id/daftar-anggota/) ; cropcare.or.id/daftar-anggota,laporan-agen-riset,sedang,2026-08-19
ARTHA PRIMA HUMATINDO,artha-prima-humatindo,Artha Prima Humatindo,Indonesia,Swasta nasional,belum-diverifikasi,⚠️ merek belum terverifikasi,https://humatindo.com,abi-bioagroinput.or.id/anggota.aspx ; humatindo.com,laporan-agen-riset,sedang/sedang (perusahaan) / rendah (pro,2026-08-19
