id,nama,badan_hukum_id,asal,grup_induk,status_aktivitas,varietas_terdaftar,merek_utama,situs,sumber,sumber_jenis,keyakinan,diperbarui,nama_di_registri_varietas,jumlah_varietas_registri
applied-agricultural-resources-indonesia,AAR Indonesia,PT Applied Agricultural Resources Indonesia,Malaysia,AAR Sdn Bhd — principal Kuala Lumpur Kepong (KLK) + Boustead Plantations,aktif,1,"DxP AARI SK 1; merek grup: AA Hybrida, AA Vitroa I (ramet)",aarsb.com.my,aarsb.com.my ; babebun.ditjenbun,laporan-agen-riset,tinggi,2026-08-19,PT Applied Agricultural Resources Indonesia ,1
advanta-seed-indonesia,Advanta Seeds Indonesia,PT Advanta Seed Indonesia,India / Australia (via Belanda),UPL Ltd.,aktif,,"ADV series (ADV Bejo, ADV Ruby, ADV Joss, ADV Montok, ADV Jago, ADV Madu-59)",id.advantaseeds.com,advantaseeds.com ; hortindo.org ; id.advantaseeds.com ; jatim.antaranews.com,laporan-agen-riset,tinggi,2026-08-19,PT Advanta Seed Indonesia,7
agro-guna-makmur,Agro Guna Makmur,PT Agro Guna Makmur,,,aktif,,"Alfatox 50 EC, Amarilis 25 EC, Basileum 505 EC, Carolit 500 EC, Festans 80 WP, Granat 25 EC",,,laporan-agen-riset,sedang,2026-08-19,,0
aneka-sawit-lestari,Aneka Sawit Lestari (iCalix),PT Aneka Sawit Lestari,Malaysia – Indonesia,Minamas Plantation → SD Guthrie Berhad (eks Sime Darby Plantation),aktif,,DxP iCalix; DxP Simalungun (waralaba PPKS),(via sdguthrie.com),babebun.ditjenbun ; sawitindonesia.com,laporan-agen-riset,tinggi,2026-08-19,PT Aneka Sawit Lestari (Minamas Research Center),1
asd-bakrie-oil-palm-seed-indonesia-bakrie-sawit-unggul-bsu,ASD-Bakrie / Bakrie Sawit Unggul,PT ASD-Bakrie Oil Palm Seed Indonesia → PT Bakrie Sawit Unggul (BSU),Indonesia – Kosta Rika,Bakrie Sumatera Plantations Tbk (UNSP) + ASD Costa Rica,aktif,2,"DxP Themba, DxP Spring, DxP Themba MR Gano, DxP Spring MR Gano, DxP CR Ovane, DxP CR Supreme, DxP Tanza MR Gano, DxP Compact MR Gano (SK 2025)",asd-bakrie.com,asd-bakrie.com/about-us ; balaimedan.ditjenbun,laporan-agen-riset,tinggi,2026-08-19,PT ASD-Bakrie Oil Palm Seed Indonesia,10
bakti-tani-nusantara,Bakti Tani Nusantara,PT Bakti Tani Nusantara,"Indonesia (Karimun, Kepri)",Tidak terverifikasi,aktif,,DxP TN 1 / Tani Nusa 1,,ditjenbun.pertanian.go.id,laporan-agen-riset,tinggi (entitas); rendah (grup induk),2026-08-19,"PT Bakti Tani Nusantara, Kepulauan Riau ",1
balitbangtan-balittas-balittri-bsip,Balitbangtan / Balittas / Balittri / BSIP,,,,belum-diverifikasi,,,,,laporan-agen-riset,,2026-08-19,,0
bayer-indonesia-unit-benih-jagung-disebut-bayer-indonesia-se,Bayer Indonesia,"PT Bayer Indonesia (unit benih jagung disebut ""PT Bayer Indonesia Seed Corn"" di media lokal)",Jerman (Bayer) / AS (eks-Monsanto),Bayer AG — Divisi Crop Science,aktif,,"Basta 150 SL (glufosinat), Sunrice 15/60 WG, Ricestar 69 EC, Ricestar Xtra, Sencor 70 WP, Merlin 75 WG, Esplanade 22 WG, Ethrel 480 SL / 10 PA (ZPT etefon); via Monagro: Roundup 486 SL, Roundup Max/Powermax 660 SL",belum terverifikasi (kemungkinan bayer.co.id),Buku Pestisida Terdaftar 2014 ; Laporan Tahunan CropLife Indonesia 2019 ; [Registri Kementan 2014](https://toolsfortransformation.net/wp-content/uploads/2017/05/Buk ; asbenindo.org/anggota ; bayer.com/id ; ekonomi.bisnis.com ; sulselsatu.com (Mei 2025),laporan-agen-riset,tinggi/tinggi (jagung/padi); rendah (say,2026-08-19,PT Bayer Indonesia,26
bayer-lini-benih-sayuran-seminis-de-ruiter,Bayer — lini benih sayuran (Seminis/De Ruiter),,,,belum-diverifikasi,,,,,laporan-agen-riset,,2026-08-19,PT Bayer Indonesia,26
bejo-benih-indonesia-asbenindo-situs-lokal-menyebut-bejo-zad,Bejo Zaden,PT Bejo Benih Indonesia (Asbenindo),Belanda,Bejo Zaden BV (swasta keluarga),aktif,,"Bejo (pemasaran pada level varietas, mis. Maserati)",bejoindonesia.com,asbenindo.org/anggota ; bejo.com/countries ; bejoindonesia.com,laporan-agen-riset,tinggi,2026-08-19,PT BEJO BENIH INDONESIA,4
agri-makmur-pertiwi,Benih Pertiwi,PT Agri Makmur Pertiwi,Indonesia (PMDN),Milik keluarga (Junaidi Sungkono); tidak ada grup induk,aktif,,BENIH PERTIWI® / Pertiwi (merek payung tunggal),benihpertiwi.co.id,benih.pertanian.go.id/detail-produsen/2117 ; benihpertiwi.co.id ; petrokimia-gresik.com,laporan-agen-riset,tinggi,2026-08-19,PT Agri Makmur Pertiwi,209
binasawit-makmur,Bina Sawit Makmur (Sriwijaya),PT Binasawit Makmur,Indonesia (Sumsel),"PT Prime Agri Resources Tbk (eks PT Sampoerna Agro Tbk, SGRO)",aktif,,"DxP Sriwijaya 1–6, DxP Sriwijaya Semiklon",binasawitmakmur.com; primeagriresources.com,primeagriresources.com ; sawitindonesia.com (SIEXPO 2026),laporan-agen-riset,tinggi (entitas); sedang (tanggal rename,2026-08-19,PT Binasawit Makmur,8
benih-citra-asia-akta-3-jan-2006,Bintang Asia,PT Benih Citra Asia (akta 3 Jan 2006),"Indonesia (PMDN, 100% nasional)",Independen,dikeluarkan,,"Bintang Asia (Romanza F1, Stabil F1, Mabes F1, Asia 86 F1, Lazio F1, Jumbo F1, Merlin F1)",benihcitraasia.co.id,benihcitraasia.co.id/about-us ; ipbh.org/anggota ; nusindo.co.id,laporan-agen-riset,tinggi,2026-08-19,PT Benih Citra Asia,220
