dataset_id,title,crop,crop_detail,diseases,data_type,data_type_detail,format,record_count,source,source_url,license,license_family,publication_year,access_date,local_path,file_size,file_size_bytes,sha256,download_status,verification_status,notes
BWM-01-onion-cold-mendeley,Onion dataset (bagian onion dari COLD - Chilli and Onion Leaf Dataset),bawang-merah|lainnya,"bawang merah (Allium cepa, India)",purple blotch (Alternaria porri/trotol); Iris yellow virus (IYSV); Stemphylium leaf blight + Colletotrichum leaf blight (gabungan); healthy,gambar,gambar,JPG dalam 3 arsip RAR,7004 gambar (4502 teraugmentasi berlabel + 816 mentah berlabel + 1686 tanpa label),Mendeley Data (Elsevier),https://data.mendeley.com/datasets/7nxxn4gj5s/2,CC BY 4.0,CC BY,2024,2026-08-25,datasets/priority/bawang-merah/BWM-01-onion-cold-mendeley,111.10 MB,111100000,lihat-SHA256SUMS,diunduh,sebagian,"Set teraugmentasi cocok PERSIS dengan artikel Data in Brief (4502: healthy 1278, IYSV 1272, leaf blight 1217, purple blotch 735). Set mentah: diklaim 864, terhitung 816 (selisih 48) -> karena itu 'sebagian'. Bawang bombay India (Koppal, Karnataka), BUKAN shallot Indonesia. Augmentasi 5,5x tercampur - risiko kebocoran data bila split acak. purple blotch hanya 18 gambar asli. Stemphylium+Colletotrichum digabung jadi satu kelas. Artikel merujuk v3 tapi repositori hanya punya v1-v2 (v3/v4 -> error 404). Lisensi dataset CC BY 4.0 vs artikel CC BY-NC - tidak cocok."
BWM-02-onion-bulb-leaf-mendeley,Image Dataset of Red and White Onion Bulbs and Leaves,bawang-merah|lainnya,"bawang merah (Allium cepa, red/white onion)",TIDAK ADA nama penyakit - hanya biner Healthy/Unhealthy,gambar,gambar,JPG dalam ZIP,"diklaim 16300, terhitung 16300 (cocok persis)",Mendeley Data (Elsevier),https://data.mendeley.com/datasets/42bcyncfhy/2,CC BY 4.0,CC BY,2026,2026-08-25,datasets/priority/bawang-merah/BWM-02-onion-bulb-leaf-mendeley,1.61 GB,1610000000,e09611742de689e0a95ca07be2d2ee25bba446f268a2d185d2c5baa45bdc76b3,diunduh,terverifikasi,"testzip() -> None (CRC bersih), tanpa password, 16323 entri = 16300 JPG + 23 direktori. TIDAK ADA LABEL PENYAKIT - batas pemakaian utama. 75% isinya umbi (12260) bukan daun (4040); daun bergejala hanya 2020. 'Red onion' = bawang bombay kulit merah, BUKAN A. cepa var. aggregatum Indonesia. Cacah terlalu rapi (1010 berulang di 8 kelas) -> dugaan studio/augmentasi. Asal geografis tidak dinyatakan. Unduhan putus di 933 MB, dilanjut dengan curl -C -."
BWM-03-tom2024-multicrop,"TOM2024: citra hama & penyakit tomat, bawang, dan jagung",tomat|lainnya,tomat; bawang; jagung,30 kelas hama & penyakit (rincian tidak terbaca),gambar,gambar,tidak diketahui,diklaim 25844 mentah + 12227 berlabel; terhitung 0,Mendeley Data (Elsevier),https://data.mendeley.com/datasets/3d4yg89rtr,CC BY 4.0,CC BY,2024,2026-08-25,datasets/additional/BWM-03-tom2024-multicrop,tidak diketahui,,tidak-berlaku,gagal,belum,"DOI aktif & metadata DataCite lengkap, tapi berkas tidak terjangkau. /versions -> v1 'available:true'; /files?folder_id=root&version=1 -> array KOSONG; endpoint metadata -> 'error - dataset not found'; /folders -> 404; halaman web ber-JS tidak terbaca. Dicoba ~25 menit, sempat 502 & 500. BUKAN masalah login sehingga 'gagal', bukan 'terhalang-akun'. Pembuat WASCAL (Afrika Barat). Relevan untuk agen tomat - jangan diasumsikan bisa diunduh."
BWM-04-ditjenhorti-opt-pestisida,Buku Direktorat Perlindungan Hortikultura: hama-penyakit cabai & daftar pestisida terdaftar,cabai|kentang|bawang-merah|lainnya,bawang merah; cabai; kentang; kubis,Spodoptera exigua; Liriomyza; Alternaria porri (trotol); Peronospora destructor; Colletotrichum gloeosporioides; Fusarium (moler); antraknosa cabai; Phytophthora,teks,teks,"PDF (3 berkas, PDF 1.5)","3 dokumen, 133 halaman (26+58+49)","Direktorat Jenderal Hortikultura, Kementerian Pertanian RI (penyusun: Balitsa Lembang & BPTP Jambi)",https://hortikultura.pertanian.go.id/buku-direktorat-perlindungan/,tidak dinyatakan,tidak dinyatakan,2024 (isi 2012 & 2014),2026-08-25,datasets/additional/BWM-04-ditjenhorti-opt-pestisida,9.10 MB,9100000,lihat-SHA256SUMS,diunduh,terverifikasi,"pypdf: 26/58/49 halaman, is_encrypted=False. Ekstraksi teks penuh mengonfirmasi isi (M-61 memuat 'bawang merah' 6x, 'trotol' 2x, 'bercak ungu' 2x, spodoptera 4x, colletotrichum 4x, peronospora 2x). MASALAH: isi kadaluwarsa 12-14 tahun - daftar pestisida 2012 tidak boleh dipakai sebagai rujukan izin edar yang berlaku (pakai PUKPES). Tabel utama kemungkinan besar GAMBAR (rasio ekstraksi hanya 540-905 char/halaman; asal PowerPoint '/Title=Slide 1') sehingga butuh OCR. Semua salinan berwatermark; versi bersih 14bookcabe.pdf -> 404. TOMAT tidak punya buku sendiri. Cek data pribadi: 0 nomor HP; hanya 2 email institusi BPTP Jambi."
BWM-05-eppo-distribusi-inang,EPPO Global Database: tabel distribusi geografis & daftar tanaman inang,cabai|tomat|kentang|bawang-merah|lainnya,"lintas komoditas (inang mencakup Allium ascalonicum, Allium cepa, Capsicum annuum, Solanum lycopersicum, Solanum tuberosum)",PLEOAL Stemphylium vesicarium; PHYTIN Phytophthora infestans; LIRIHU/LIRISA/LIRITR Liriomyza; OYDV00 Onion yellow dwarf virus; BEMITA Bemisia tabaci; RALSSL Ralstonia solanacearum,tabular,tabular,"CSV (14 berkas, UTF-8 BOM)",1803 baris data,EPPO (European and Mediterranean Plant Protection Organization),https://gd.eppo.int/taxon/,tidak dinyatakan,tidak dinyatakan,2026 (basis data hidup),2026-08-25,datasets/additional/BWM-05-eppo-distribusi-inang,392.00 KB,392000,lihat-SHA256SUMS,diunduh,terverifikasi,"Rute CSV gd.eppo.int TERBUKA tanpa akun (API REST data.eppo.int butuh token -> 403, tidak dipakai). LUBANG BESAR: 6 OPT terpenting bawang merah semuanya 404 (ALTEPO Alternaria porri, PERODE Peronospora destructor, FUSACE Fusarium f.sp. cepae, BOTRAL Botrytis allii, LAPHEG Spodoptera exigua, COLLGL Colletotrichum) - lubang CAKUPAN, bukan pembatasan akses; EPPO hanya menyimpan tabel untuk OPT karantina. Jebakan kode: LAPHEX = S. exempta bukan exigua; Stemphylium ada di bawah teleomorf PLEOAL (STEMVE 404). Granularitas Indonesia hanya tingkat pulau (Java/Sumatra/Sulawesi/Nusa Tenggara/Irian Jaya) - tidak ada provinsi. TANPA dimensi waktu. RALSSL di Indonesia tercatat 'Absent, unreliable record' - jangan dibaca sebagai bukti ketiadaan. Content-Type salah label (mengaku xlsx, isinya CSV). hosts_LIRIHU.csv memuat ALLAS Allium ascalonicum eksplisit; hosts_OYDV00.csv 17/17 barisnya Allium."
BWM-06-gbif-okurensi-patogen,GBIF: okurensi & faset negara/tahun untuk 15 patogen & hama komoditas prioritas,lainnya,lintas komoditas (organisme pengganggu),Alternaria porri; Fusarium oxysporum f.sp. cepae; Peronospora destructor; Stemphylium vesicarium; Colletotrichum gloeosporioides; Botrytis allii; Spodoptera exigua; Liriomyza huidobrensis/sativae/trifolii; OYDV; Bemisia tabaci; Ralstonia solanacearum; Phytophthora infestans; Alternaria solani,tabular,tabular,JSON (45 respons API),125952 okurensi global tercakup; 610 rekaman Indonesia tersimpan penuh (73 medan/rekaman),GBIF (Global Biodiversity Information Facility),https://api.gbif.org/v1/occurrence/search,CC BY 4.0 (584 rekaman) & CC0 1.0 (26 rekaman),CC BY,2026 (basis data hidup),2026-08-25,datasets/additional/BWM-06-gbif-okurensi-patogen,3.20 MB,3200000,lihat-SHA256SUMS,diunduh,terverifikasi,"Terbuka penuh TANPA kunci API. 15/15 matchType=EXACT; seluruh kueri country=ID endOfRecords=true (tidak terpotong). TEMUAN UTAMA: 4 organisme NOL rekaman Indonesia - Fusarium f.sp. cepae (moler), Peronospora destructor (embun bulu), Botrytis allii (busuk umbi), Phytophthora infestans (busuk daun kentang). Ketiadaan = tidak ada penyetoran data dari Indonesia, BUKAN ketiadaan patogen. Hanya 30 dari 610 rekaman Indonesia punya stateProvince, 5 nilai berbeda ('Jawa','Sumatera' bukan provinsi; 'Irian Jaya' usang). basisOfRecord mayoritas MATERIAL_SAMPLE (406) = isolat lab dari penyetoran sekuens, OBSERVATION hanya 1. Koordinat sering kosong. Fusarium f.sp. cepae cocok sebagai SYNONYM rank FORM. Bias kuat ke negara kaya-data (S. exigua: GB 11081 vs ID 50). Tanpa DOI -> tidak reproducible persis. PERINGATAN PII: medan recordedBy/identifiedBy bisa memuat nama kolektor - jangan disebarkan ke antarmuka publik."
BWM-07-serangan-opt-hortikultura,"Luas serangan OPT hortikultura - statistik sektoral daerah (Sumut, Kota Batu, Kotabaru, Kab. Malang)",lainnya,'Hortikultura' sebagai satu kategori gabungan - TIDAK ada rincian per komoditas,tidak ada rincian jenis OPT - hanya luas area terserang (Ha) atau rasio penanganan (%),tabular,tabular,3 XLSX + 2 CSV,41 baris data seluruhnya,portal statistik sektoral/Satu Data daerah (Dinas KPTPH Sumut; Dinas Pertanian Kota Batu; Pemkab Kotabaru; Dinas TPHP Kab. Malang),https://data.go.id/dataset?q=serangan+OPT,tidak dinyatakan,tidak dinyatakan,2024-2026 (cakupan data 2020-2025),2026-08-25,datasets/additional/BWM-07-serangan-opt-hortikultura,36.00 KB,36000,lihat-SHA256SUMS,diunduh,terverifikasi,"openpyxl + modul csv, seluruh sheet dibaca. CACAT MEMATIKAN: tidak ada rincian per komoditas - Kab. Malang seluruh kabupaten diwakili SATU angka 518,52 Ha. Berkas Sumut bukan luas melainkan RASIO (%) yang nyaris biner 0/100. Tidak menyentuh SATU PUN sentra bawang merah (tidak ada Brebes, Nganjuk, Bima, Solok, Probolinggo). Deret waktu maksimal 5 titik tahunan, tidak ada bulanan. DATA PRIBADI ADA di malangkab-*.xlsx: blok tanda tangan pejabat berisi nama bergelar + NIP + email dinas (terdeteksi 1 NIP, 1 email, 2 pola gelar). NIP memuat tanggal lahir pada 8 digit pertama. Nilai persis SENGAJA TIDAK dicetak di README/struktur; ingest wajib membuang blok tanda tangan. Berkas Malang dibuat saat diminta (memuat tanggal cetak dinamis) sehingga SHA-256-nya TIDAK STABIL. Satu berkas Kota Batu kedua gagal 404."
BWM-08-globi-interaksi-inang,GloBI: interaksi patogen/hama - tanaman inang untuk OPT komoditas prioritas,cabai|tomat|kentang|bawang-merah|lainnya,"keempat komoditas prioritas muncul sebagai inang (Allium ascalonicum, Allium cepa, Capsicum annuum, Solanum lycopersicum, Solanum tuberosum)","14 organisme x 3 jenis interaksi (pathogenOf, hasHost, interactsWith): Alternaria porri; Alternaria solani; Botrytis allii; Bemisia tabaci; Colletotrichum gloeosporioides; Fusarium oxysporum; 3 Liriomyza; Peronospora destructor; Phytophthora infestans; Ralstonia solanacearum; Spodoptera exigua; Stemphylium vesicarium",tabular,tabular,CSV (39 berkas),14532 baris data,GloBI (Global Biotic Interactions),https://api.globalbioticinteractions.org/interaction,tidak dinyatakan (arsip Zenodo GloBI: CC-BY-4.0 & CC0),CC0,2026 (basis data hidup),2026-08-25,datasets/additional/BWM-08-globi-interaksi-inang,6.30 MB,6300000,lihat-SHA256SUMS,diunduh,sebagian,"Terbuka tanpa kunci API. NILAI UTAMA: menambal lubang EPPO - 4 patogen endemik bawang merah yang 404 di EPPO justru ADA di sini, dan Allium ascalonicum muncul eksplisit 19 kali (Alternaria porri 4, Peronospora destructor 4, Botrytis allii 4, Spodoptera exigua 6, Stemphylium vesicarium 1). Ke-14 organisme punya kecocokan komoditas prioritas. SEBAGIAN karena 9 berkas TERPOTONG tepat di 1024 baris (batas halaman API tidak dilewati). MASALAH TERBESAR: kolom provenans SELURUHNYA KOSONG - study_citation 0/14532, study_source_citation 0/14532, latitude 0/14532; parameter fields= menerima nama kolom tapi mengembalikan nilai kosong -> tidak ada baris yang bisa ditelusuri ke publikasi asalnya. Duplikasi berat (124 baris untuk 48 target unik). Serangga mengembalikan 0 di pathogenOf - harus dikueri lewat hasHost/interactsWith. Fusarium dikueri di tingkat spesies, BUKAN f.sp. cepae -> jangan dibaca sebagai daftar inang moler."
BWM-09-wikidata-patogen-inang,Wikidata: relasi patogen/hama - inang (P2975) untuk 4 komoditas prioritas,cabai|tomat|kentang|bawang-merah|lainnya,Allium cepa; Allium ascalonicum; Capsicum annuum; Capsicum frutescens; Solanum lycopersicum; Solanum tuberosum,271 organisme unik termasuk Alternaria solani; Fusarium oxysporum (+f.sp. lycopersici); Stemphylium lycopersici/solani; Colletotrichum gloeosporioides/coccodes; Ralstonia solanacearum; Phytophthora capsici/cryptogea; 7 Spodoptera; 4 Liriomyza,tabular,tabular,CSV + JSON (respons SPARQL asli),"291 baris, 271 patogen unik",Wikidata Query Service,https://query.wikidata.org/sparql,CC0 1.0,CC0,2026 (basis data hidup),2026-08-25,datasets/additional/BWM-09-wikidata-patogen-inang,203.00 KB,203000,lihat-SHA256SUMS,diunduh,terverifikasi,"Terbuka tanpa akun. Cek silang: JSON 291 binding = CSV 291 baris. LISENSI PALING BERSIH di seluruh koleksi (CC0, bebas terbit ulang). TAPI CAKUPAN BAWANG MERAH NYARIS NIHIL: hanya 8 baris untuk Allium ascalonicum dan 1 untuk Allium cepa; Allium cepa var. aggregatum -> 0. Kedelapan-delapannya SERANGGA Lepidoptera - TIDAK ADA satu pun jamur/bakteri/virus. Dicek per genus: Peronospora 0, Botrytis 0, Bemisia 0; Alternaria hanya solani & tomato (porri TIDAK ADA); Stemphylium hanya lycopersici & solani (vesicarium TIDAK ADA); Fusarium hanya f.sp. lycopersici (bukan cepae). Bias 92% ke tomat+kentang (269/291). Jebakan: format=csv tidak dihormati bila header Accept menyebut lain -> permintaan pertama mengembalikan XML bernama .csv; ditangkap oleh 'file' lalu diambil ulang."
BWM-A04-garlic-tipburn-bangladesh,A comprehensive dataset of garlic leaf images for the identification of Tipburn disease in Bangladesh,lainnya,bawang putih (Allium sativum),Tipburn (gangguan fisiologis/abiotik); Healthy,gambar,gambar,JPG dalam ZIP,"7444 gambar (Healthy 3454 + Affected 3990), termasuk versi asli & teraugmentasi",Mendeley Data (Elsevier),https://data.mendeley.com/datasets/wcgx6bbvw7/1,CC BY 4.0,CC BY,2025,2026-08-25,-,4.81 GB,4810000000,tidak-berlaku,terlalu-besar,tidak-berlaku,"4810.9 MB dalam SATU zip - melewati batas 3 GB per dataset dan sumber tidak menyediakan subset resmi terpisah. Allium tapi bawang putih, dan Tipburn adalah gangguan fisiologis (bukan patogen), sehingga relevansinya ke penyakit bawang merah rendah. Metadata dicatat lengkap untuk rujukan."
BWM-A05-ieee-shallot-dataset,"Shallot Dataset (data sensor IoT budidaya bawang merah, Brebes)",bawang-merah,bawang merah (shallot),"tidak ada - bukan data penyakit; kelembapan tanah & pH dalam 3 kondisi (Ideal, Wet, Dry)",tabular,tabular,CSV,"tidak diketahui - berkas data belum diunggah, hanya readme.txt",IEEE DataPort,https://ieee-dataport.org/documents/shallot-dataset,tidak dinyatakan,tidak dinyatakan,2025,2026-08-25,-,tidak diketahui,,tidak-berlaku,terhalang-akun,tidak-berlaku,"Halaman menyatakan 'This dataset requires an IEEE DataPort Subscription to access'; status 'Not logged in'. TIDAK ditembus. Satu-satunya dataset ber-DOI dari peneliti Indonesia (Freddy Artadima Silaban, ITB) dengan lokasi Brebes yang ditemukan, tetapi isinya sensor IoT 74 hari (kelembapan tanah & pH), BUKAN citra atau catatan penyakit. DOI 10.21227/aq18-8k05."
BWM-A06-roboflow-onion-leaf-disease,Onion Leaf Disease Object Detection Dataset (Roboflow Universe),lainnya,bawang (onion),Healthy; Rust; Botrytis Leaf Blight; Downy Mildew; Purple Blotch,gambar,gambar,format deteksi objek Roboflow,tidak diketahui,Roboflow Universe,https://universe.roboflow.com/school-0xa1n/onion-leaf-disease-eh38e,tidak dinyatakan,tidak dinyatakan,tidak diketahui,2026-08-25,-,tidak diketahui,,tidak-berlaku,terhalang-akun,tidak-berlaku,"Halaman -> HTTP 403. API tanpa kunci -> {'error':{'message':'This method requires your API key.','type':'OAuthException'}}. TIDAK ditembus. Kelasnya paling dekat dengan kebutuhan bawang merah Indonesia (memuat Downy Mildew & Purple Blotch sekaligus) sehingga sayang terhalang."
