CAB-01-penyakit-kuning-begomovirus-jabar	10.17632/9x9kf9vwph.1	A dataset of Yellow Disease in Horticultural Plant (cabai merah, terung, kacang panjang - Jawa Barat)	datasets/additional/CAB-01-penyakit-kuning-begomovirus-jabar
CAB-02-chilcv-coimbatore-figshare	10.6084/m9.figshare.32820110.v3	Chilli Leaf Curl Virus Dataset Final Ver (Coimbatore, India)	datasets/priority/cabai/CAB-02-chilcv-coimbatore-figshare
CAB-03-chilli-6-kelas-bangladesh	10.17632/tm3v4zmh7c.1	Chilli Leaf Disease Image Dataset for Classification and Early Diagnosis in Agriculture	datasets/priority/cabai/CAB-03-chilli-6-kelas-bangladesh
CAB-04-chili-4-kelas-dhaka	10.17632/wzc6r6w5w5.3	Chili Leaf Disease Dataset: Annotated Smartphone Images of Anthracnose, Cercospora Leaf Spot, Leaf Curl Disease, and Healthy Leaves in Bangladesh	datasets/priority/cabai/CAB-04-chili-4-kelas-dhaka
CAB-05-pepper-leaf-figshare	10.6084/m9.figshare.29298239.v1	Pepper Leaf DataSet	datasets/priority/cabai/CAB-05-pepper-leaf-figshare
CAB-06-antraknosa-nitrogen-tabular	10.6084/m9.figshare.31037350.v1	Nitrogen availability shapes anthracnose severity and defense-related responses in chili pepper (Capsicum annuum)	datasets/priority/cabai/CAB-06-antraknosa-nitrogen-tabular
CAB-07-chili-krishna-basin-india	10.17632/ymt8k9bjkn.3	Image Dataset on Chili Leaf Diseases in the Krishna River Basin of the Deccan Plateau, India	-
CAB-08-cercospora-sergipe-zenodo	10.5281/zenodo.13272039	Cercospora Leaf Spot in Chili Pepper Leaves Image Dataset	datasets/priority/cabai/CAB-08-cercospora-sergipe-zenodo
CAB-09-pepper-penyakit-hama-mendeley	10.17632/8mvpntr47w.1	Pepper Diseases and Pests Detection	datasets/priority/cabai/CAB-09-pepper-penyakit-hama-mendeley
CAB-10-chili-daun-fase-bangladesh	10.17632/w9mr3vf56s.1	Chili Plant Leaf Disease and Growth Stage Dataset from Bangladesh	-
CAB-11-cold-chilli-koppal	10.17632/tf9dtfz9m6.2	chilli dataset (bagian cabai dari COLD - Chilli and Onion Leaf Dataset)	datasets/priority/cabai/CAB-11-cold-chilli-koppal
CAB-12-tcp-tomat-cabai-pepaya	10.17632/m4m6j2tjfj.4	TCP (Tomato-Chilli-Papaya Fruit & Leaf) Disease Dataset	datasets/additional/CAB-12-tcp-tomat-cabai-pepaya
