TOM-01-plantvillage,PlantVillage Dataset,tomat; kentang; cabai besar (paprika); + 11 tanaman lain (14 total),"Tomat 10 kelas: Bacterial spot, Early blight, Late blight, Leaf Mold, Septoria leaf spot, Spider mites, Target Spot, Yellow Leaf Curl Virus, Mosaic virus, healthy. Kentang 3 kelas: Early blight, Late blight, healthy. Paprika 2 kelas. Total 38 kelas",gambar,JPG dalam ZIP (arsip repo GitHub); varian color/grayscale/segmented,"54303 gambar per varian (color & grayscale), 54306 segmented; 38 kelas; tomat 18159, kentang 2152",GitHub - spMohanty/PlantVillage-Dataset (EPFL/Penn State),https://github.com/spMohanty/PlantVillage-Dataset,CC BY-SA 3.0,2016,2026-08-25,datasets/additional/TOM-01-plantvillage,2504302720,858df90a05ab147fa2b0a32c47053128c4ca772326c43e962856e69290012374,diunduh,terverifikasi,"Daun tunggal dipetik, latar seragam, studio - model yang dilatih di sini jatuh pada foto lapangan. Lisensi CC BY-SA 3.0 hanya dinyatakan di cermin Hugging Face resmi; repo GitHub tanpa LICENSE. Kebocoran identitas daun: pakai leaf_grouping/. 19298 gambar turunan di data_distribution_for_SVM harus dikecualikan. Tidak ada layu bakteri/fusarium (penyakit pembuluh, tak terlihat di daun petik). Varian augmented 87.000 gambar di Mendeley sengaja tidak diambil."
TOM-02-tomato-village-lapangan,Tomato-Village: a dataset for end-to-end tomato disease detection in a real-world environment,tomat,"Early_blight, Late_blight, Leaf Miner, Spotted Wilt Virus, Magnesium Deficiency, Nitrogen Deficiency, Pottassium Deficiency, Healthy (8 kelas)",gambar,JPG dalam folder train/val/test + CSV multilabel,Variant-a 4526 gambar; Variant-b 5656 gambar + 5653 baris CSV; total 10184 berkas,GitHub - mamta-joshi-gehlot/Tomato-Village,https://github.com/mamta-joshi-gehlot/Tomato-Village,tidak dinyatakan,2023,2026-08-25,datasets/priority/tomat/TOM-02-tomato-village-lapangan,1.3 GiB,lihat-SHA256SUMS,diunduh,terverifikasi,"FOTO LAPANGAN (Jodhpur & Jaipur, Rajasthan, India, Maret 2022). Variant-b punya 1128 gambar bergejala majemuk (2-3 label sekaligus) - langka. Variant-c (deteksi objek, 14368 gambar, 2596 MB) TIDAK diambil karena a+b+c ~3,9 GB melampaui batas 3 GB; ini rekomendasi unduhan lanjutan nomor satu. Lisensi tidak dinyatakan -> penerbitan ulang berisiko. Variant-b sudah bercampur augmentasi tanpa penanda."
TOM-03-taiwan-daun-tomat,Dataset of Tomato Leaves (Taiwan Tomato Leaves Dataset),tomat,"Bacterial spot, Black mold, Gray spot, Late blight, powdery mildew, health (6 kelas)",gambar,JPG dalam arsip 7-Zip,"diklaim 622 asli, terhitung 622 asli + 4976 augmentasi = 5598 berkas gambar",Mendeley Data,https://data.mendeley.com/datasets/ngdgg79rzb/1,CC BY 4.0,2020,2026-08-25,datasets/priority/tomat/TOM-03-taiwan-daun-tomat,48008752,f623d13a7f0388dada08ca5b5f22716557defce3832f50ff6af7153e0eab676d,diunduh,terverifikasi,"DOI 10.17632/ngdgg79rzb.1. SHA-256 cocok dengan hash yang dipublikasikan Mendeley. Augmentasi tercampur dalam arsip yang sama - pakai hanya folder ""Preprocessed data"" untuk evaluasi. Taiwan subtropis, bukan Indonesia. Sangat kecil (kelas terkecil 14 gambar test)."
TOM-04-tomat-9-kelas-zenodo,A dataset for tomato disease detection,tomat,"9 kelas menurut deskripsi sumber: Early Blight, Healthy, Late Blight, Leaf Miner, Leaf Mold, Mosaic Virus, Septoria, Spider Mites, Yellow Leaf Curl Virus (di berkas hanya id 0-8)",gambar,"JPG + label YOLO (.txt) dalam ZIP, split train/valid/test",2212 gambar + 2212 berkas label; 6581 baris anotasi,Zenodo,https://zenodo.org/records/15868289,CC BY 4.0,2025,2026-08-25,datasets/priority/tomat/TOM-04-tomat-9-kelas-zenodo,544524808,c99e2ee29f5663e5325ebad4698cdefc19fc01b0879a52e3688fba3723585ba9,diunduh,terverifikasi,"DOI 10.5281/zenodo.15868288. Jumlah 2212 cocok dengan klaim sumber. TIDAK ADA data.yaml/classes.txt -> pemetaan id kelas 0-8 ke nama hanya dugaan dari urutan alfabetis di deskripsi Zenodo. Ekspor Roboflow, provenans gambar per-berkas tidak jelas. Sangat timpang (id 8 = 1213 anotasi vs id 2 = 473)."
TOM-05-pakistan-lapangan,Tomato Leaf Disease Classification Dataset in Pakistan,tomat,"Early blight, Late blight, Septoria leaf spot, Leaf mold, Yellow leaf curl virus, Healthy (6 kelas)",gambar,"JPG dalam ZIP; subset ""Dataset (raw)"" + ""Augmented Dataset"" (train/val/test)","diklaim 7200, terhitung 8030 = 830 asli + 7200 augmentasi",Mendeley Data,https://data.mendeley.com/datasets/3mbnb82mxd/2,CC BY 4.0,2026,2026-08-25,datasets/priority/tomat/TOM-05-pakistan-lapangan,726457628,2a2b36a8f972337f6d0e95e436835e55ffee5291fa07277157b40f0441f42f50,diunduh,sebagian,"DOI 10.17632/3mbnb82mxd.2. SHA-256 cocok dengan hash Mendeley. SEBAGIAN karena angka 7200 di deskripsi sumber adalah set AUGMENTASI; foto asli hanya 830. FOTO LAPANGAN kamera ponsel cahaya alami tanpa latar terkontrol. Augmentasi sudah dipisah train/val/test oleh pembuat dan tidak bisa ditelusuri ke foto induk -> risiko kebocoran; pakai ""Dataset (raw)"" dan buat split sendiri."
TOM-06-daun-buah-lapangan-bd,Tomato Leaf and Fruit Disease Image Dataset,tomat,"Healthy Leaf, Healthy Fruits, Early Blight Leaf, Late Blight Leaf, Leaf Curl Leaf, Bushy Stunt Leaf, Target Spot Fruits (7 kelas, 2 di antaranya BUAH)",gambar,PNG 512x512 dalam ZIP + README PDF + CSV daftar medan,"diklaim 3500, terhitung 3500 (7 kelas x 500)",Mendeley Data,https://data.mendeley.com/datasets/9jxvtgh325/1,CC BY 4.0,2026,2026-08-25,datasets/priority/tomat/TOM-06-daun-buah-lapangan-bd,842275669,lihat-SHA256SUMS,diunduh,terverifikasi,"DOI 10.17632/9jxvtgh325.1. Ketiga SHA-256 cocok dengan hash Mendeley. Satu-satunya dataset tomat di koleksi ini yang punya kelas PENYAKIT BUAH + Tomato bushy stunt virus. Berkas bernama ""Original Dataset.zip"" tapi isinya folder ""Resize Dataset"" 512x512; EXIF & nama asli hilang. Manifes yang menandai gambar augmentasi TIDAK disertakan. Seimbang persis 500/kelas -> hampir pasti sudah di-resample. Augmented Dataset.zip 7261 MB tidak diambil."
TOM-07-tfdd-buah-tomat,TFDD: A High-Quality Image Dataset for Accurate Tomato Fruit Disease Detection and Classification,tomat,"Anthracnose (antraknosa buah), Blossom_end_rot (busuk ujung buah), Cracking, Early_Blight, Fruitworm, Healthy, Late_Blight, Mold (8 kelas, semuanya pada BUAH)",gambar,"Raw Data.zip (JPG asli per folder kelas) + TFDD.zip (JPG + label YOLO + data.yaml + summary.csv, split train/valid/test) + CSV metadata","diklaim 288 gambar asli, terhitung 288 di Raw Data.zip; TFDD.zip 682 gambar beraugmentasi + 682 label + 825 kotak",Mendeley Data,https://data.mendeley.com/datasets/ktfnhjspjn/3,CC BY 4.0,2025,2026-08-25,datasets/priority/tomat/TOM-07-tfdd-buah-tomat,421090067,lihat-SHA256SUMS,diunduh,terverifikasi,"DOI 10.17632/ktfnhjspjn.3. Ketiga SHA-256 cocok dengan hash yang dipublikasikan Mendeley. SATU-SATUNYA dataset di panen tomat ini yang memuat ANTRAKNOSA BUAH dan BUSUK UJUNG BUAH (blossom end rot) - keduanya ada di daftar cakupan tapi tidak ada di PlantVillage, Tomato-Village, Pakistan, maupun Taiwan. data.yaml lengkap sehingga pemetaan id kelas 0-7 ke nama TERSEDIA (beda dari TOM-04 dan TOM-11). Sangat kecil: kelas terkecil Early_Blight hanya 20 gambar asli. Split test cuma 29 gambar untuk 8 kelas -> angka akurasi test nyaris tanpa makna. TFDD.zip sudah bercampur augmentasi dalam split bawaan; pakai Raw Data.zip (288 asli, tanpa anotasi) dan buat split sendiri. Ejaan kelas beda antar arsip: folder ""Blossom end root"" vs data.yaml ""Blossom_end_rot"". Cracking (gangguan fisiologis) dan Fruitworm (hama) bukan penyakit."
TOM-08-tabular-penyakit-tomat,A Comprehensive Dataset of Tomato Plant Diseases for National Predictive Analytics and Crop Health Management,tomat,"Early Blight, Late Blight, Leaf Miner, leaf mold, Mosaic Virus, Septoria, Spider Mites, Target Spot, Yellow Leaf Curl Virus (9)",teks (tabular),"CSV 3 kolom: Disease, Features, Description",54 record (46 berisi + 8 kosong),Mendeley Data,https://data.mendeley.com/datasets/ztncd79yhk/1,CC BY 4.0,2025,2026-08-25,datasets/priority/tomat/TOM-08-tabular-penyakit-tomat,27976,b0e61d805c56ef9c00b4739820137f6c696b38442eda247fce9be9fe4af0d181,diunduh,terverifikasi,"DOI 10.17632/ztncd79yhk.1 (cermin IEEE DataPort 10.21227/7p2x-sy36). SHA-256 cocok dengan hash Mendeley. BASIS PENGETAHUAN terbaik dari seluruh panen tomat: tiap penyakit punya symptoms, favourable_condition, pesticides, physical_biological, preventive_measures. 8 baris kosong harus dibuang. Nama medan tidak konsisten. Kolom pesticides berbasis India - WAJIB diperiksa ulang terhadap registri pestisida Indonesia. Spider Mites & Leaf Miner adalah hama, bukan penyakit."
TOM-09-agroguard-kentang-tomat,Pota-Toma-To leaf disease images dataset (AgroGuard 2.0),tomat; kentang,"Tomato_Early_Blight, Tomato_Healthy, Tomato_Late_Blight, Potato_Late_Blight (4 kelas)",gambar,JPEG dalam ZIP; Raw_Dataset + Advanced_Processed_Dataset,"diklaim 435, terhitung 435 unik x 2 salinan = 870 berkas",Mendeley Data,https://data.mendeley.com/datasets/354fsxwccb/1,CC BY 4.0,2026,2026-08-25,datasets/priority/tomat/TOM-09-agroguard-kentang-tomat,68318675,b029b6e8e9ffc1c31125401ddb0ae90afba1feb402f0e687466ef709e0b56090,diunduh,terverifikasi,"DOI 10.17632/354fsxwccb.1. SHA-256 cocok dengan hash Mendeley. PROVENANS BERMASALAH: nama folder memuat harfiah ""- Google Search"" dan berkasnya berpola ""imgi_{number} (N).jpeg"" -> hasil scraping Google Images. Klaim CC BY 4.0 penyetor tidak menutupi hak cipta pemilik asli - JANGAN diterbitkan ulang. Label = kata kunci pencarian, tidak diverifikasi ahli. Advanced_Processed adalah turunan Raw (DWT/HSV/resize 224) - pakai salah satu saja."
TOM-10-cuaca-tanah-tabular,Soil-Weather Multivariate Crop Disease Dataset,tomat; kentang; padi; jagung; tebu; gandum (6 tanaman),"Tomat 6: Bacterial Wilt 802, Early Blight 1857, Fruit Borer Infestation 13279, Healthy 1648, Late Blight 1359, Leaf Curl Virus 1775. Kentang 6 termasuk Bacterial Wilt 2227. Total 40 pasangan tanaman x penyakit + Disease_Severity 1-3",tabular,CSV 23 kolom,"250000 baris data (0 duplikat), tomat 20720 baris",Zenodo,https://zenodo.org/records/19885786,CC BY 4.0,2026,2026-08-25,datasets/additional/TOM-10-cuaca-tanah-tabular,70508685,8efdfba2b62a53ca0d63d48ace59fe06cc1d15f7e801f51cc6aad6ef90c7eeb1,diunduh,terverifikasi,"DOI 10.5281/zenodo.19885785. Klaim ""250.000 real observations"" TIDAK didukung datanya: setiap kolom numerik berhenti di batas bulat buatan (N 5,006-149,999; pH 4,5-8,5; Rainfall 20,019-399,975) - ciri penarikan acak seragam. High_Temp_Warning konstan 1 untuk 250.000 baris. High_Wind_Warning rusak: 66572 nilai pecahan, bukan bendera 0/1. Satuan campur (Celsius vs Fahrenheit). TIDAK ADA kolom waktu/lokasi -> tidak bisa dipakai untuk epidemiologi sungguhan. Layak sebagai contoh skema saja."
TOM-11-kebun-bangladesh,Tomato Leaf Dataset: A dataset for multiclass disease detection and classification,tomat,"7 kelas menurut makalah: Early Blight, Black Spot, Late Blight, Leaf Mold, Bacterial Spot, Target Spot, Healthy (di berkas hanya id 0-6)",gambar,"JPG + label YOLO (.txt), berkas lepas (bukan arsip)","diklaim 1621 (makalah), terhitung 1420 gambar + 689 label = 2109 berkas",Mendeley Data,https://data.mendeley.com/datasets/bpfd9cns5g/2,CC BY 4.0,2025,2026-08-25,datasets/priority/tomat/TOM-11-kebun-bangladesh,48539589,lihat-SHA256SUMS,diunduh,sebagian,"DOI 10.17632/bpfd9cns5g.2, makalah doi 10.1016/j.dib.2025.111520. SEBAGIAN: 1420 gambar vs 1621 yang dirinci makalah (selisih 201). SHA-256 SETIAP berkas (2109/2109) cocok dengan hash Mendeley. FOTO LAPANGAN Dinajpur/Thakurgaon/Kushtia Bangladesh, kamera Canon EOS M50. 731 dari 1420 gambar (51%) TANPA label. Tidak ada data.yaml. Struktur 7 folder asli tidak diekspos public API - diselamatkan di manifes-folder.csv."
