principal_kanonik,merek,merek_belum_dipanen,situs,status_situs,catatan
PT. CENTA BRASINDO ABADI CHEMICAL INDUSTRY,194,193,katalogcba.com,ada,terbaik: packshot + brosur per produk
PT. RAINBOW AGROSCIENCES,181,180,rainbowagro.com/id,ada,"API localProduct, 36 produk Indonesia"
PT. SARI KRESNA KIMIA,167,166,kresna.co.id,rusak,soft-404 ke beranda; badan halaman tersusupi spam
PT. MULTI SARANA INDOTANI,148,147,,mati,"domain kini penadah, sertifikat kedaluwarsa"
PT. TIGA MUARA EMAS MAKMUR,147,146,mahakam.co.id,tipis,15 kemasan saja
PT. INTI EVERSPRING INDONESIA,137,137,,belum-diperiksa,
PT. FUMAKILLA INDONESIA,133,133,,belum-diperiksa,
PT. GODREJ CONSUMER PRODUCTS INDONESIA,132,132,,belum-diperiksa,
PT. DALZON CHEMICALS INDONESIA,129,129,,belum-diperiksa,
PT. DELTA GIRI WACANA,129,128,dharmagunawibawa.co.id,ada,katalog di domain saudara; dgw.co.id korporat saja
PT. SINAR GENERAL INDUSTRIES,129,129,,belum-diperiksa,
PT. PRIMA KARYA BERJAYA,112,111,prima-karya.co.id,ada,"91 produk, 12 halaman, ada filter"
PT. SOLO LOGO INDONESIA,99,99,,belum-diperiksa,
PT. Petrosida Gresik,96,96,,belum-diperiksa,
PT. ADVANSIA INDOTANI,95,94,advansia.co.id,ada,katalog bertab; asli lewat wp-json/media
PT. BASF INDONESIA,93,92,petani-sejahtera.basf.co.id,ada,packshot; turunan melompat 2216px -> 147px
PT Petrokimia Kayaku,91,91,,belum-diperiksa,
PT. NUFARM INDONESIA,88,88,,belum-diperiksa,
PT. MAXXI AGRI INDONESIA,87,86,maxxiagri.com,ada,"halaman per SKU, tiga varian kemasan"
CV. AGRO JAYA INDONESIA,86,86,,belum-diperiksa,
PT. BEHN MEYER AGRICARE,86,85,,belum-diperiksa,
PT. SYNGENTA INDONESIA,84,84,,belum-diperiksa,
PT. AGRO JAYA INDUSTRI,83,82,,tidak-ada,DNS gagal semua tebakan; CropCare kolom situs kosong
PT. UPL INDONESIA,82,82,,belum-diperiksa,
PT. Maju Makmur Utomo,82,82,,belum-diperiksa,
PT. DELTAGRO MULIA SEJATI,81,80,ptdeltagro.com,ada,61 produk
PT. INDOIN BUSINESS GROUP,71,71,,belum-diperiksa,
PT. REJEKI INDO AGROTEC,69,68,ptria.com,ada,56 produk
PT. BIOTIS AGRINDO,67,67,,belum-diperiksa,
PT. KENSO INDONESIA,67,67,,belum-diperiksa,
PT. INDO-SINO AGROCHEMICAL,67,67,,belum-diperiksa,
PT. Agro Bumi Timur,66,66,,belum-diperiksa,
PT. Bayer Indonesia,65,65,,belum-diperiksa,
PT. DHARMA GUNA WIBAWA,64,64,,belum-diperiksa,
PT. BINA GUNA KIMIA,64,64,,belum-diperiksa,
PT. BLUE CUBE INDONESIA,62,62,,belum-diperiksa,
CV. SAPROTAN UTAMA,62,61,,belum-diperiksa,
PT. AGRICULTURE CONSTRUCTION,61,61,,belum-diperiksa,
PT. CORTEVA AGRISCIENCE MANUFACTURING INDONESIA,58,58,,belum-diperiksa,
PT. ETONG CHEMICAL INDONESIA,55,54,etongchem.id,ada,Elementor; pasangan gambar via wp-json
PT. ROYAL AGRO INDONESIA,52,52,,belum-diperiksa,
PT. DA MING INDONESIA,51,51,,belum-diperiksa,
PT. SAPROTAN UTAMA NUSANTARA,51,51,,belum-diperiksa,
PT. CATUR AGRODAYA MANDIRI,48,48,,belum-diperiksa,
CV. Multi Agro Jaya Utama,46,46,,belum-diperiksa,
