produk_situs,brand_key,nomor_tercetak,op_prd,status
JAGOQUAT 288 SL*,jagoquat-288-sl-pt-centa-brasindo-abadi-chemical-industry,01030120227542,op:prd:00006190,dipanen
SETTING 120/6 SL,setting-120-6-sl-pt-centa-brasindo-abadi-chemical-industry,01030120093370,op:prd:00006427,dipanen
GRIMASON NEO 205 SL*,grimason-neo-205-sl-pt-centa-brasindo-abadi-chemical-industry,01030120227308,op:prd:00006613,dipanen
NEO PILARQUAT 137 SL*,neo-pilarquat-137-sl-pt-centa-brasindo-abadi-chemical-industry,01030120227335,op:prd:00004378,dipanen
BORNEO UP 500 SL,borneo-up-500-sl-pt-centa-brasindo-abadi-chemical-industry,01030120155133,op:prd:00005610,dipanen
PERINTIS 225/5.1 SL,perintis-225-5-1-sl-pt-centa-brasindo-abadi-chemical-industry,01030120093476,op:prd:00004712,dipanen
DROPPING 120/1 SL,dropping-120-1-sl-pt-centa-brasindo-abadi-chemical-industry,01030120103732,op:prd:00003595,dipanen
PRIMAX 480/1 SL,primax-480-1-sl-pt-centa-brasindo-abadi-chemical-industry,01030120072791,op:prd:00008331,dipanen
CENTALLY PLUS 40 WG,centally-plus-40-wg-pt-centa-brasindo-abadi-chemical-industry,01030120083178,op:prd:00002706,"brosur ada, potongan terbaiknya bukan kemasan"
PILLY 25 WP,pilly-25-wp-pt-centa-brasindo-abadi-chemical-industry,01030120114146,op:prd:00003453,"brosur ada, potongan terbaiknya bukan kemasan"
CENTAQUAT 145 SL*,centaquat-145-sl-pt-centa-brasindo-abadi-chemical-industry,01030120217123,op:prd:00008391,dipanen
PILARQUAT 135/2 SL*,pilarquat-135-2-sl-pt-centa-brasindo-abadi-chemical-industry,01030120093477,op:prd:00003484,dipanen
PRIMA UP 480 SL,prima-up-480-sl-pt-centa-brasindo-abadi-chemical-industry,01030120031779,op:prd:00003455,dipanen
RONDA PLUS 360/5 SL,ronda-plus-360-5-sl-pt-centa-brasindo-abadi-chemical-industry,01030120083223,op:prd:00002111,dipanen
PRIMAXONE ULTRA 300 SL*,primaxone-ultra-300-sl-pt-centa-brasindo-abadi-chemical-industry,01030120124501,op:prd:00004424,dipanen
PRIMAXONE 276 SL*,primaxone-276-sl-pt-centa-brasindo-abadi-chemical-industry,01030120062185,op:prd:00002455,dipanen
PILAR UP 480 SL,pilar-up-480-sl-pt-centa-brasindo-abadi-chemical-industry,01030120042122,op:prd:00003097,dipanen
CENTOP 540 SL,centop-540-sl-pt-centa-brasindo-abadi-chemical-industry,01030120113954,op:prd:00002476,dipanen
CBA-6 865 SL,cba-6-865-sl-pt-centa-brasindo-abadi-chemical-industry,01030120083177,op:prd:00006923,dipanen
CENTARON 80 WP,centaron-80-wp-pt-centa-brasindo-abadi-chemical-industry,01030120103718,op:prd:00005090,dipanen
PENGLARIS 240/1 SL,penglaris-240-1-sl-pt-centa-brasindo-abadi-chemical-industry,01030120093360,op:prd:00006170,dipanen
CENTALON 480 EC,centalon-480-ec-pt-centa-brasindo-abadi-chemical-industry,01030120103716,op:prd:00004441,dipanen
PRIMASTAR 300/100 SL,primastar-300-100-sl-pt-centa-brasindo-abadi-chemical-industry,01030120083285,op:prd:00008228,dipanen
"NEW RONDAPLUS 370/5,5 SL",new-rondaplus-370-5-5-sl-pt-centa-brasindo-abadi-chemical-industry,01030120093570,op:prd:00003452,dipanen
METAPRIMA 20 WG,metaprima-20-wg-pt-centa-brasindo-abadi-chemical-industry,01030120031897,op:prd:00003841,dipanen
LALANG UP 486/1 SL,lalang-up-486-1-sl-pt-centa-brasindo-abadi-chemical-industry,01030120144911,op:prd:00005594,dipanen
GRIMASON PLUS 200/5 SL*,grimason-plus-200-5-sl-pt-centa-brasindo-abadi-chemical-industry,01030120186187,op:prd:00004121,dipanen
FOST UP 486 SL,fost-up-486-sl-pt-centa-brasindo-abadi-chemical-industry,01030120113951,op:prd:00002856,dipanen
CENTAXONE 135 SL*,centaxone-135-sl-pt-centa-brasindo-abadi-chemical-industry,01030120186107,op:prd:00001890,dipanen
CENTATRIN 500 SC,centatrin-500-sc-pt-centa-brasindo-abadi-chemical-industry,01030120103717,op:prd:00003956,dipanen
