nomor_pendaftaran,merek,kemasan,komoditas,opt,dosis,ha_per_kemasan_min,ha_per_kemasan_maks,m2_per_kemasan_min,m2_per_kemasan_maks,kemasan_per_ha_maks,kemasan_teks
"01030120248225","ABASRI 80 OD","500 mL","Jagung","Gulma berdaun lebar","1 - 3 l/ha","0.167","0.5","1667","5000","6","500 ml"
"01030120248225","ABASRI 80 OD","500 mL","Jagung","Gulma berdaun lebar","1 - 3 l/ha","0.167","0.5","1667","5000","6","500 ml"
"01030120248225","ABASRI 80 OD","500 mL","Jagung","Teki","1 - 3 l/ha","0.167","0.5","1667","5000","6","500 ml"
"01030120248225","ABASRI 80 OD","500 mL","Jagung","Gulma golongan rumput","1 - 3 l/ha","0.167","0.5","1667","5000","6","500 ml"
"01030120248225","ABASRI 80 OD","500 mL","Jagung","Gulma golongan rumput","1 - 3 l/ha","0.167","0.5","1667","5000","6","500 ml"
"01030120258897","ADEMO 150 SL","1 L","Budidaya kelapa sawit (TBM):","gulma berdaun lebar","1,5 - 2,5 l/ha","0.4","0.667","4000","6667","2.5","1 Liter"
"01030120258897","ADEMO 150 SL","1 L","Budidaya kelapa sawit (TBM):","gulma berdaun lebar","1,5 - 2,5 l/ha","0.4","0.667","4000","6667","2.5","1 Liter"
"01030120258897","ADEMO 150 SL","1 L","Budidaya kelapa sawit (TBM):","gulma berdaun lebar","1,5 - 2,5 l/ha","0.4","0.667","4000","6667","2.5","1 Liter"
"01030120258897","ADEMO 150 SL","1 L","Budidaya kelapa sawit (TBM):","gulma berdaun lebar","1,5 - 2,5 l/ha","0.4","0.667","4000","6667","2.5","1 Liter"
"01030120258897","ADEMO 150 SL","1 L","Budidaya kelapa sawit (TBM):","gulma berdaun lebar","1,5 - 2,5 l/ha","0.4","0.667","4000","6667","2.5","1 Liter"
"01030120258897","ADEMO 150 SL","1 L","Budidaya kelapa sawit (TBM):","gulma golongan rumput","1,5 - 2,5 l/ha","0.4","0.667","4000","6667","2.5","1 Liter"
