nomor_pendaftaran,merek,status_izin,berlaku_sampai,kedaluwarsa,putusan,menyeluruh,lingkup,zat_terlarang,lewat,bahan_tak_terpetakan,tanda_registri
".01010120072960","MIPCIN 50 WP","active","2027-06-27","habis dalam 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
".01010120165484","Vela 28,5 WP","active","2027-06-27","habis dalam 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
".01010120175829","BM EMATEZ 5 SG","active","2027-06-27","habis dalam 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
".01030120031766","KOMODOR 300/100 SL","active","2027-01-14","habis dalam 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
".01030120083106","BITOP 531 SL","active","2027-06-27","habis dalam 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
".01030120083156","STARTREK 288 EC","active","2027-06-27","habis dalam 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
".04.01.2025.001037","RAJA LATEX PLUS 480 SL","active","2030-11-13","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"'01010120124320","SITOX 25 WP","active","2027-10-04","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01.01.01.2021.388","RHANUM 50 WG","active","2027-01-14","habis dalam 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01.01.01.2021.7257","METOAT 400 EC","active","2027-01-14","habis dalam 12 bulan","dilarang pada lingkup tertentu","false","tanaman padi","Dimetoat","komposisi","",""
"01.01.01.2021.7272","ELESTAL NEO 30/24 WG","active","2027-01-14","habis dalam 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01.01.01.2022.177","PAENAMAXI WP","active","2027-06-27","habis dalam 12 bulan","tidak ada larangan tercatat","false","","","padanan","Paenibacillus polymyxa strain H-5; Paenibacillus polymyxa strain H-5; Paenibacillus polymyxa strain H-5; Paenibacillus polymyxa strain H-5; Paenibacillus polymyxa strain H-5",""
"01.01.01.2022.7277","ASPRIL 50 SC","active","2027-06-27","habis dalam 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01.01.01.2022.7484","Alude 20/40 WG","active","2027-12-05","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01.01.01.2022.7489","ANJANIE 200/150 EC","active","2027-12-05","lebih dari 12 bulan","dilarang pada lingkup tertentu","false","rumah tangga; tanaman padi","Klorpirifos","komposisi","",""
"01.01.01.2022.7494","AXOLOT 40/160 SC","active","2027-12-05","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01.02.01.2022.7483","AGXANAZOL 200/150 SC","active","2027-12-05","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01.03.01.2017.5821","APIRO 550.8 SC","active","2027-06-27","habis dalam 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01.03.01.2022.003833","STARPHOSAT 240 SL","active","2027-01-14","habis dalam 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01.03.01.2022.7487","AMUR 155 SL","active","2027-12-05","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"010101197416","FURADAN 3 GR","active","2031-04-20","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010119742","DIAZINON 600 EC","active","2030-11-13","lebih dari 12 bulan","dilarang pada lingkup tertentu","false","tanaman padi","Diazinon","komposisi","",""
"010101197420","ORTHENE 75 SP","active","2031-01-20","lebih dari 12 bulan","dilarang pada lingkup tertentu","false","tanaman padi","Asefat","komposisi","",""
"010101197420","ORTHENE 75 SP","active","2026-10-12","habis dalam 12 bulan","dilarang pada lingkup tertentu","false","tanaman padi","Asefat","komposisi","",""
"010101197422","SEVIN 85 SP","active","2030-11-13","lebih dari 12 bulan","dilarang pada lingkup tertentu","false","tanaman padi","Karbaril","komposisi","",""
"010101197431","SUMITHION 500 EC","active","2028-04-26","lebih dari 12 bulan","dilarang pada lingkup tertentu","false","tanaman padi","fenitrothion","komposisi","",""
"010101197443","PADAN 50 SP","active","2027-10-04","lebih dari 12 bulan","dilarang pada lingkup tertentu","false","tanaman padi","Kartap Hidroklorida","komposisi","",""
"010101197491","DIAZINON 10 GR","active","2031-01-20","lebih dari 12 bulan","dilarang pada lingkup tertentu","false","tanaman padi","Diazinon","komposisi","",""
"0101011977298","COSTAR HP","active","2027-10-04","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","padanan","",""
"0101011978323","BASSA 500 EC","active","2031-04-20","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"0101011978324","BAYCARB 500 EC","active","2030-09-26","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"0101011978335","LANNATE 25 WP","active","2030-07-11","lebih dari 12 bulan","dilarang pada lingkup tertentu","false","tanaman padi","Metomil","komposisi","",""
"0101011978337","MIPCINTA 50 WP","active","2031-04-20","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"0101011979381","CURACRON 500 EC","active","2031-07-16","lebih dari 12 bulan","dilarang pada lingkup tertentu","false","tanaman padi","PROFENOFOS","komposisi","",""
"0101011979387","DECIS 25 EC","active","2027-06-27","habis dalam 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"0101011980422","DIMACIDE 400 EC","active","2031-04-20","lebih dari 12 bulan","dilarang pada lingkup tertentu","false","tanaman padi","Dimetoat","komposisi","",""
"0101011981462","CYMBUSH 50 EC","active","2030-11-13","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"0101011981489","MARSHAL 200 EC","active","2027-12-05","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"0101011981493","POUNCE 20 EC","active","2029-03-04","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"0101011982533","Dharmabas 500 EC","active","2027-12-05","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"0101011982535","Dharmasan 600 EC","active","2027-12-05","lebih dari 12 bulan","dilarang pada lingkup tertentu","false","tanaman padi","Fentoat","komposisi","",""
"0101011983634","ARRIVO 30 EC","active","2029-03-04","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"0101011983640","Dharmafur 3 GR","active","2027-12-05","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"0101011983645","MARSHAL 25 DS","active","2027-12-05","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"0101011984688","APPLAUD 10 WP","active","2031-04-20","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"0101011984706","ATABRON 50 EC","active","2028-04-26","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"0101011984707","BASBAN 200 EC","active","2028-02-08","lebih dari 12 bulan","dilarang pada lingkup tertentu","false","rumah tangga; tanaman padi","Klorpirifos","komposisi","",""
"0101011984716","Matador 25 EC","active","2029-03-04","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"0101011984717","MEOTHRIN 50 EC","active","2028-08-28","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"0101011984723","TREBON 95 EC","active","2027-12-05","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"0101011986738","FASTAC 15 EC","active","2028-04-26","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"0101011986741","PETROBAN 200 EC","active","2031-04-20","lebih dari 12 bulan","dilarang pada lingkup tertentu","false","rumah tangga; tanaman padi","Klorpirifos","komposisi","",""
