no_akreditasi,nama,skema_kode,skema,alamat,provinsi,telepon,sumber
"LI-035-IDN","Lembaga Inspeksi Direktorat Bina Teknik Bangunan Gedung dan Penyehatan Lingkungan","LI","Lembaga Inspeksi","Jl. Pattimura, no 20, Kebayoran Baru","","(022) 7798393","https://layanan.kan.or.id/direktori-lpk/589/10009"
"LI-065-IDN","PT. Greatways Engineering Services","LI","Lembaga Inspeksi","Komp. Ruko Tiban Mas No. 35, Batam","Kepulauan Riau","(0778) 327148","https://layanan.kan.or.id/direktori-lpk/2195/10009"
"LI-066-IDN","Balai Karantina Ikan, Pengendalian Mutu dan Keamanan Hasil Perikanan Surabaya II","LI","Lembaga Inspeksi","Jl. Kalimas Baru No.86, Surabaya","Jawa Timur","031 3285071","https://layanan.kan.or.id/direktori-lpk/2277/10009"
"LI-072-IDN","PT Surveyor Indonesia (Persero)","LI","Lembaga Inspeksi","Jl. Jend. Gatot Subroto Kav.56, Jakarta Selatan","DKI Jakarta","021-5265526","https://layanan.kan.or.id/direktori-lpk/2511/10009"
"LI-075-IDN","Balai Besar Pengendalian dan Pengawasan Mutu Hasil Perikanan Surabaya I","LI","Lembaga Inspeksi","Jalan Raya Bandara Ir. H. Juanda No. 23, Sidoarjo","Jawa Timur","031-8688099","https://layanan.kan.or.id/direktori-lpk/2478/10009"
"LI-076-IDN","Balai Pengamanan Alat dan Fasilitas Kesehatan (BPAFK) Jakarta","LI","Lembaga Inspeksi","Jl. Percetakan Negara No. 23A, Jakarta Pusat","DKI Jakarta","021-4240406","https://layanan.kan.or.id/direktori-lpk/2733/10009"
"LI-085-IDN","PT Inspektindo Sinergi Persada","LI","Lembaga Inspeksi","Komplek Kawasan Industri Sekupang Kav. No. 13","","+62 778 326103","https://layanan.kan.or.id/direktori-lpk/1144/10009"
"LI-135-IDN","PT. Indo Yasa Prima","LI","Lembaga Inspeksi","RUKO BUANA GARDENIA A23 - A25 JL. KH HASYIM ASHARI , PINANG - TANGERANG 15145","Banten","021 7309609","https://layanan.kan.or.id/direktori-lpk/1935/10009"
"LI-136-IDN","PT. PJ TEK MANDIRI","LI","Lembaga Inspeksi","Main Office : Ruko D'Palma A/06 Perum.Grand Serpong Residence, Serua - Ciputat, Tangerang Selatan L","Banten","021-7564619","https://layanan.kan.or.id/direktori-lpk/1980/10009"
"LI-163-IDN","PT. WENS Quality Assurance","LI","Lembaga Inspeksi","Komplek Pertokoan Air Mas Blok C No.02 Batam Centre","Kepulauan Riau","0778 - 7486216","https://layanan.kan.or.id/direktori-lpk/2269/10009"
"LI-167-IDN","PT. Spektra Megah Semesta","LI","Lembaga Inspeksi","Jl. Raya Jati Padang No. 56, Jakarta Selatan, DKI Jakarta","DKI Jakarta","(021) 27656415","https://layanan.kan.or.id/direktori-lpk/2652/10009"
"LI-214-IDN","PT. Geoservices Sumatera","LI","Lembaga Inspeksi","Jln. Letjend Harun Sohar Pergudangan riya Bandara Indah No F8 Kel. Kebun Bunga Kec . Sukarame","","0711-418614 / 0711-418601","https://layanan.kan.or.id/direktori-lpk/4221/10009"
"LI-215-IDN","PT. Tri Putra Inspektindo","LI","Lembaga Inspeksi","JL. Soekarno Hatta No.09 RT.66 Kel. Graha Indah, Kec. Balikpapan Utara","Bali","0542861574","https://layanan.kan.or.id/direktori-lpk/4407/10009"
"LI-219-IDN","Balai Karantina Hewan Ikan dan Tumbuhan Banten","LI","Lembaga Inspeksi","Gedung Karantina Pertanian Bandar Udara Internasional Soekarno Hatta, Jalan C3 Pajang, Benda, Tangerang, Banten","Banten","(021) 5507930","https://layanan.kan.or.id/direktori-lpk/789/10009"
"LI-244-IDN","Balai Besar Karantina Hewan, Ikan, dan Tumbuhan DKI Jakarta","LI","Lembaga Inspeksi","Jl. Enggano No. 17 Tanjung Priok, Jakarta Utara, DKI Jakarta","DKI Jakarta","N/A","https://layanan.kan.or.id/direktori-lpk/780/10009"
"LI-249-IDN","PT Trifos Internasional Sertifikasi","LI","Lembaga Inspeksi","Jl. Anthurium No. 01, Dusun Banjarsari, Desa Sukoharjo RT.5, RW.12","Jawa Tengah","(0274) 2874179","https://layanan.kan.or.id/direktori-lpk/4334/10009"
"LI-265-IDN","PT Goodwill Engineering and Inspection","LI","Lembaga Inspeksi","Ruko KBC Blok C1 No. 09, Kelurahan Belian, Kecamatan Batam Kota","Kepulauan Riau","07784173130","https://layanan.kan.or.id/direktori-lpk/12150/10009"
"LI-267-IDN","PT. International Cargo Surveyor","LI","Lembaga Inspeksi","JL. VETERAN NO. B-97, KOMPLEK BRAYAN TRADE CENTER, HELVETIA MEDAN","Sumatera Utara","+62 61 8459253","https://layanan.kan.or.id/direktori-lpk/11836/10009"
"LI-268-IDN","PT Spektra Smartindo","LI","Lembaga Inspeksi","Jl. Nusa Loka I Blok C1, No.2 Sektor XIV-4 Bsd City, Tangerang Selatan","Banten","021-53165314 / 021-53165313","https://layanan.kan.or.id/direktori-lpk/10722/10009"
"LI-269-IDN","PT. INSURIN","LI","Lembaga Inspeksi","Komplek Ruko Namirah B4 RT. 012 RW. 000 Damai Baru Balikpapan Selatan","Bali","0542-8703271","https://layanan.kan.or.id/direktori-lpk/8511/10009"
"LI-270-IDN","PT Patra Inspektindo Pratama","LI","Lembaga Inspeksi","Jl KEDONDONG RAYA NO. 3 RT011/RW009 RAWAMANGUN JAKARTA TIMUR RT0011/RW009 Rawamangun Pulogadung","DKI Jakarta","+62 21 48674024","https://layanan.kan.or.id/direktori-lpk/12213/10009"
"LI-271-IDN","PT. GEO GEA LABORATORY","LI","Lembaga Inspeksi","Jl. Halu Oleo, Kompleks Perkantoran, Kel. Mokoau, Kec. Kambu, Kota Kendari","Sulawesi Tenggara","082351762823","https://layanan.kan.or.id/direktori-lpk/12301/10009"
