provinsi,kabupaten,kecamatan,kode_kabupaten,bpp,bpp_kanonik,poktan,penyuluh_pns,penyuluh_p3k,penyuluh_thl,penyuluh_swadaya,penyuluh_swasta,penyuluh_total
"ACEH","ACEH BARAT","ARONGAN LAMBALEK","1107","BPP Arongan Lambalek","Arongan Lambalek","91","20","2","0","0","0","22"
"ACEH","ACEH BARAT","BUBON","1107","BPP BUBON","Bubon","67","10","2","2","0","0","14"
"ACEH","ACEH BARAT","JOHAN PAHLAWAN","1107","BPP Johan Pahlawan","Johan Pahlawan","42","11","2","2","0","0","15"
"ACEH","ACEH BARAT","KAWAY XVI","1107","BPP Kaway XVI","Kaway XVI","139","21","0","3","0","0","24"
"ACEH","ACEH BARAT","MEUREUBO","1107","BPP Kecamatan Meureubo","Kecamatan Meureubo","83","15","1","4","0","0","20"
"ACEH","ACEH BARAT","PANTAI CEUREMEN","1107","BPP Pante Ceureumen","Pante Ceureumen","112","21","0","0","0","0","21"
"ACEH","ACEH BARAT","PANTON REU","1107","BPP Panton Reu","Panton Reu","51","12","0","2","0","0","14"
"ACEH","ACEH BARAT","SAMATIGA","1107","BPP Samatiga","Samatiga","95","11","2","5","0","0","18"
"ACEH","ACEH BARAT","SUNGAI MAS","1107","BPP Sungai Mas","Sungai Mas","39","11","0","0","0","0","11"
"ACEH","ACEH BARAT","WOYLA","1107","BPP Woyla","Woyla","129","25","2","2","0","0","29"
"ACEH","ACEH BARAT","WOYLA BARAT","1107","BPP Woyla Barat","Woyla Barat","93","15","3","0","0","0","18"
"ACEH","ACEH BARAT","WOYLA TIMUR","1107","BPP Woyla Timur","Woyla Timur","42","15","0","2","0","0","17"
"ACEH","ACEH BARAT DAYA","BABAH ROT","1112","BPP BABAHROT","Babahrot","187","9","2","0","2","0","13"
"ACEH","ACEH BARAT DAYA","BLANG PIDIE","1112","BPP BLANGPIDIE","Blangpidie","90","4","5","0","4","0","13"
"ACEH","ACEH BARAT DAYA","JEUMPA","1112","BPP JEUMPA","Jeumpa","118","4","6","0","4","0","14"
"ACEH","ACEH BARAT DAYA","KUALA BATEE","1112","BPP KUALA BATEE","Kuala Batee","187","8","3","2","5","0","18"
"ACEH","ACEH BARAT DAYA","LEMBAH SABIL","1112","BPP LEMBAH SABIL","Lembah Sabil","88","7","2","0","5","0","14"
"ACEH","ACEH BARAT DAYA","MANGGENG","1112","BPP MANGGENG","Manggeng","97","8","1","0","5","0","14"
"ACEH","ACEH BARAT DAYA","SETIA","1112","BPP SETIA","Setia","79","4","4","1","3","0","12"
"ACEH","ACEH BARAT DAYA","SUSOH","1112","BPP SUSOH","Susoh","81","4","5","0","5","0","14"
"ACEH","ACEH BARAT DAYA","TANGAN-TANGAN","1112","BPP TANGAN-TANGAN","Tangan-tangan","190","11","1","0","4","0","16"
"ACEH","ACEH BESAR","BAITUSSALAM","1108","BPP Baitussalam","Baitussalam","44","2","0","0","4","0","6"
"ACEH","ACEH BESAR","BLANG BINTANG","1108","BPP Blang Bintang","Blang Bintang","58","6","3","0","0","0","9"
"ACEH","ACEH BESAR","DARUL IMARAH","1108","BPP Darul Imarah","Darul Imarah","56","5","7","0","3","0","15"
"ACEH","ACEH BESAR","DARUL KAMAL","1108","BPP Darul Imarah","Darul Imarah","55","0","0","0","0","0","0"
"ACEH","ACEH BESAR","DARUSSALAM","1108","BPP Darussalam","Darussalam","60","4","1","0","0","0","5"
"ACEH","ACEH BESAR","INDRAPURI","1108","BPP Indrapuri","Indrapuri","173","10","7","0","6","0","23"
"ACEH","ACEH BESAR","INGIN JAYA","1108","BPP Ingin Jaya","Ingin Jaya","126","8","9","0","2","0","19"
"ACEH","ACEH BESAR","KOTA JANTHO","1108","BPP KOTA JANTHO","Kota Jantho","80","4","5","0","1","0","10"
"ACEH","ACEH BESAR","KRUENG BARONA JAYA","1108","BPP Ingin Jaya","Ingin Jaya","26","0","0","0","0","0","0"
"ACEH","ACEH BESAR","KUTA BARO","1108","BPP Kuta Baro","Kuta Baro","126","6","4","0","3","0","13"
"ACEH","ACEH BESAR","KUTA COT GLIE","1108","BPP KUTA COT GLIE","Kuta COT Glie","135","7","4","1","3","0","15"
"ACEH","ACEH BESAR","KUTA MALAKA","1108","BPP KUTA MALAKA","Kuta Malaka","53","4","4","0","2","0","10"
"ACEH","ACEH BESAR","LEMBAH SEULAWAH","1108","BPP Lembah Seulawah","Lembah Seulawah","108","3","7","0","1","0","11"
"ACEH","ACEH BESAR","LEUPUNG","1108","BPP Lhoknga","Lhoknga","22","0","0","0","0","0","0"
"ACEH","ACEH BESAR","LHOKNGA","1108","BPP Lhoknga","Lhoknga","62","3","2","0","3","0","8"
"ACEH","ACEH BESAR","LHOONG","1108","BPP Lhoong","Lhoong","88","4","1","0","0","0","5"
"ACEH","ACEH BESAR","MESJID RAYA","1108","BPP Baitussalam","Baitussalam","72","0","0","0","2","0","2"
"ACEH","ACEH BESAR","MONTASIK","1108","BPP Montasik","Montasik","122","10","4","1","5","0","20"
"ACEH","ACEH BESAR","PEUKAN BADA","1108","BPP Peukan Bada","Peukan Bada","47","4","1","0","1","0","6"
"ACEH","ACEH BESAR","PULO ACEH","1108","BPP Pulo Aceh","Pulo Aceh","34","2","2","0","2","0","6"
"ACEH","ACEH BESAR","SEULIMEUM","1108","BPP Seulimeum","Seulimeum","251","13","2","1","0","0","16"
"ACEH","ACEH BESAR","SIMPANG TIGA","1108","BPP SIMPANG TIGA","Simpang Tiga","40","4","2","0","2","0","8"
"ACEH","ACEH BESAR","SUKA MAKMUR","1108","BPP SUKA MAKMUR","Suka Makmur","68","7","9","1","7","0","24"
"ACEH","ACEH JAYA","DARUL HIKMAH","1116","BPP DARUL HIKMAH","Darul Hikmah","60","6","1","2","2","0","11"
"ACEH","ACEH JAYA","INDRA JAYA","1116","BPP INDRA JAYA","Indra Jaya","88","6","0","6","3","0","15"
"ACEH","ACEH JAYA","JAYA","1116","BPP JAYA","Jaya","158","4","3","6","2","0","15"
"ACEH","ACEH JAYA","KRUENG SABEE","1116","BPP KRUENG SABEE","Krueng Sabee","94","9","4","3","8","0","24"
"ACEH","ACEH JAYA","PANGA","1116","BPP PANGA","Panga","96","10","3","6","9","0","28"
"ACEH","ACEH JAYA","PASIE RAYA","1116","BPP PASIE RAYA","Pasie Raya","86","2","0","6","0","0","8"
"ACEH","ACEH JAYA","SAMPOINIET","1116","BPP SAMPOINIET","Sampoiniet","69","6","1","4","5","0","16"
"ACEH","ACEH JAYA","SETIA BAKTI","1116","BPP SETIA BAKTI","Setia Bakti","109","5","0","3","1","0","9"
"ACEH","ACEH JAYA","TEUNOM","1116","BPP TEUNOM","Teunom","139","5","1","7","0","0","13"
"ACEH","ACEH SELATAN","BAKONGAN","1103","BPP Bakongan","Bakongan","45","5","2","0","1","0","8"
"ACEH","ACEH SELATAN","BAKONGAN TIMUR","1103","BPP Bakongan Timur","Bakongan Timur","70","2","3","0","1","0","6"
