tingkat,provinsi,kabupaten,dinas,bpp,penyuluh
"provinsi","ACEH","","Dinas Pertanian dan Perkebunan Aceh","277","8"
"kabupaten","ACEH","SIMEULUE","DINAS PERTANIAN DAN PANGAN","10","97"
"kabupaten","ACEH","ACEH SINGKIL","DINAS TANAMAN PANGAN HORTIKULURA DAN PETERNAKAN","11","89"
"kabupaten","ACEH","ACEH SELATAN","Dinas Pertanian","18","223"
"kabupaten","ACEH","ACEH TENGGARA","Dinas Pertanian","16","452"
"kabupaten","ACEH","ACEH TIMUR","Dinas Ketahanan Pangan Dan Penyuluhan Kabupaten Aceh Timur","24","401"
"kabupaten","ACEH","ACEH TENGAH","Dinas Pertanian","15","223"
"kabupaten","ACEH","ACEH BARAT","Dinas Pertanian Tanaman Pangan dan Hortikultura","12","227"
"kabupaten","ACEH","ACEH BESAR","Dinas Pertanian Kabupaten Aceh Besar","19","233"
"kabupaten","ACEH","PIDIE","Dinas Pertanian Dan Pangan","23","346"
"kabupaten","ACEH","BIREUEN","Dinas Pertanian dan Perkebunan","17","321"
"kabupaten","ACEH","ACEH UTARA","Dinas Pertanian dan Pangan","27","282"
"kabupaten","ACEH","ACEH BARAT DAYA","Dinas Pertanian dan Pangan","9","128"
"kabupaten","ACEH","GAYO LUES","Dinas Pertanian","11","115"
"kabupaten","ACEH","ACEH TAMIANG","Dinas Pertanian Perkebunan dan Peternakan","11","120"
"kabupaten","ACEH","NAGAN RAYA","Dinas Pertanian dan Peternakan","10","143"
"kabupaten","ACEH","ACEH JAYA","Dinas Pertanian","9","142"
"kabupaten","ACEH","BENER MERIAH","Dinas Pertanian dan Pangan","10","168"
"kabupaten","ACEH","PIDIE JAYA","Dinas Pertanian dan Pangan","8","139"
"kabupaten","ACEH","KOTA BANDA ACEH","Dinas Pangan Pertanian Kelautan dan Perikanan","3","42"
"kabupaten","ACEH","KOTA SABANG","Dinas Pertanian dan Pangan Kota Sabang","3","19"
"kabupaten","ACEH","KOTA LANGSA","Dinas Pangan, Pertanian, Kelautan dan Perikanan","3","47"
"kabupaten","ACEH","KOTA LHOKSEUMAWE","Dinas Kelautan Perikanan Pertanian dan Pangan","3","35"
"kabupaten","ACEH","KOTA SUBULUSSALAM","Dinas Pertanian Perkebunan dan Perikanan","5","128"
"provinsi","SUMATERA UTARA","","Dinas Ketahanan Pangan, Tanaman Pangan dan Hortikultura Sumatera Utara","356","8"
"kabupaten","SUMATERA UTARA","NIAS","Dinas Ketahanan Pangan, Pertanian dan Perikanan Kabupaten Nias","10","100"
"kabupaten","SUMATERA UTARA","MANDAILING NATAL","Dinas Pertanian","23","334"
"kabupaten","SUMATERA UTARA","TAPANULI SELATAN","Dinas Pertanian Daerah","15","261"
"kabupaten","SUMATERA UTARA","TAPANULI TENGAH","DINAS PERTANIAN","9","76"
"kabupaten","SUMATERA UTARA","TAPANULI UTARA","Dinas Pertanian Kabupaten Tapanuli Utara","15","188"
"kabupaten","SUMATERA UTARA","TOBA","Dinas Pertanian","16","62"
"kabupaten","SUMATERA UTARA","LABUHAN BATU","Dinas Pertanian","9","62"
"kabupaten","SUMATERA UTARA","ASAHAN","DINAS PERTANIAN","19","107"
"kabupaten","SUMATERA UTARA","SIMALUNGUN","DINAS PERTANIAN","32","433"
"kabupaten","SUMATERA UTARA","DAIRI","Dinas Pertanian, Ketahanan Pangan dan Perikanan","9","151"
"kabupaten","SUMATERA UTARA","KARO","DINAS PERTANIAN","17","372"
"kabupaten","SUMATERA UTARA","DELI SERDANG","DINAS PERTANIAN","14","317"
"kabupaten","SUMATERA UTARA","LANGKAT","Dinas Pertanian dan Ketahanan Pangan","23","132"
"kabupaten","SUMATERA UTARA","NIAS SELATAN","Dinas Ketahanan Pangan Kabupaten Nias Selatan","20","43"
"kabupaten","SUMATERA UTARA","HUMBANG HASUNDUTAN","Dinas Pertanian dan Ketahanan Pangan","10","173"
"kabupaten","SUMATERA UTARA","PAKPAK BHARAT","Dinas Ketahanan Pangan dan Pertanian","8","58"
"kabupaten","SUMATERA UTARA","SAMOSIR","Dinas Ketahanan Pangan dan Pertanian","9","70"
"kabupaten","SUMATERA UTARA","SERDANG BEDAGAI","Dinas Pertanian Kabupaten Serdang Bedagai","6","213"
"kabupaten","SUMATERA UTARA","BATU BARA","Dinas Pertanian dan Perkebunan","7","134"
"kabupaten","SUMATERA UTARA","PADANG LAWAS UTARA","Dinas Pertanian","12","170"
"kabupaten","SUMATERA UTARA","PADANG LAWAS","Dinas Pertanian","17","170"
"kabupaten","SUMATERA UTARA","LABUHAN BATU SELATAN","DINAS KETAHANAN PANGAN DAN PERTANIAN KABUPATEN LABUHANBATU SELATAN","5","29"
"kabupaten","SUMATERA UTARA","LABUHAN BATU UTARA","Dinas Pertanian","8","82"
"kabupaten","SUMATERA UTARA","NIAS UTARA","Dinas Ketahanan Pangan dan Pertanian Kabupaten Nias Utara","11","127"
"kabupaten","SUMATERA UTARA","NIAS BARAT","Dinas Pertanian dan Ketahanan Pangan","8","17"
"kabupaten","SUMATERA UTARA","KOTA SIBOLGA","Dinas Perikanan Ketahanan Pangan dan Pertanian","0","1"
"kabupaten","SUMATERA UTARA","KOTA TANJUNG BALAI","Dinas Pangan dan Pertanian","1","8"
"kabupaten","SUMATERA UTARA","KOTA PEMATANG SIANTAR","Dinas Ketahanan Pangan dan Pertanian","4","21"
"kabupaten","SUMATERA UTARA","KOTA TEBING TINGGI","DINAS KETAHANAN PANGAN DAN PERTANIAN","1","42"
"kabupaten","SUMATERA UTARA","KOTA MEDAN","Dinas Ketahanan Pangan, Pertanian dan Perikanan","2","47"
"kabupaten","SUMATERA UTARA","KOTA BINJAI","Dinas Ketahanan Pangan dan Pertanian","5","34"
"kabupaten","SUMATERA UTARA","KOTA PADANGSIDIMPUAN","Dinas Pertanian Kota Padang Sidempuan","6","49"
"kabupaten","SUMATERA UTARA","KOTA GUNUNGSITOLI","DINAS KETAHANAN PANGAN DAN PERTANIAN","5","49"
"provinsi","SUMATERA BARAT","","Dinas Perkebunan, Tanaman Pangan dan Hortikultura Provinsi Sumatera Barat","165","13"
"kabupaten","SUMATERA BARAT","KEPULAUAN MENTAWAI","Dinas Ketahanan Pangan dan Pertanian","6","84"
"kabupaten","SUMATERA BARAT","PESISIR SELATAN","Dinas Pertanian Kab. Pesisir Selatan","15","288"
"kabupaten","SUMATERA BARAT","SOLOK","Dinas Pertanian","14","155"
"kabupaten","SUMATERA BARAT","SIJUNJUNG","DINAS PERTANIAN","8","162"
"kabupaten","SUMATERA BARAT","TANAH DATAR","Dinas Pertanian","14","140"
"kabupaten","SUMATERA BARAT","PADANG PARIAMAN","Dinas Pertanian dan Ketahanan Pangan","17","171"
"kabupaten","SUMATERA BARAT","AGAM","Dinas Pertanian Kabupaten Agam","16","308"
"kabupaten","SUMATERA BARAT","LIMA PULUH KOTA","DINAS TANAMAN PANGAN HORTIKULTURA DAN PERKEBUNAN","13","282"
"kabupaten","SUMATERA BARAT","PASAMAN","Dinas Pertanian Bidang Penyuluhan","12","135"
"kabupaten","SUMATERA BARAT","SOLOK SELATAN","Dinas pertanian","7","113"
"kabupaten","SUMATERA BARAT","DHARMASRAYA","DINAS PERTANIAN","11","115"
"kabupaten","SUMATERA BARAT","PASAMAN BARAT","DINAS TANAMAN PANGAN DAN HORTIKULTURA","11","159"
"kabupaten","SUMATERA BARAT","KOTA PADANG","Dinas Pertanian","3","75"
"kabupaten","SUMATERA BARAT","KOTA SOLOK","Dinas pertanian","2","20"
"kabupaten","SUMATERA BARAT","KOTA SAWAH LUNTO","Dinas Ketahanan Pangan, Pertanian dan Perikanan","4","63"
"kabupaten","SUMATERA BARAT","KOTA PADANG PANJANG","Dinas Pangan dan Pertanian","2","32"
"kabupaten","SUMATERA BARAT","KOTA BUKITTINGGI","Dinas Pertanian dan Pangan","1","19"
"kabupaten","SUMATERA BARAT","KOTA PAYAKUMBUH","Dinas Pertanian","5","49"
"kabupaten","SUMATERA BARAT","KOTA PARIAMAN","DINAS PERTANIAN PANGAN DAN PERIKANAN","4","68"
"provinsi","RIAU","","Dinas Pangan, Tanaman Pangan dan Hortikultura Riau","129","9"
"kabupaten","RIAU","KUANTAN SINGINGI","DINAS TANAMAN PANGAN HORTIKULTURA DAN KETAHANAN PANGAN","15","197"
"kabupaten","RIAU","INDRAGIRI HULU","Dinas Pertanian dan Perikanan","14","191"
"kabupaten","RIAU","INDRAGIRI HILIR","Dinas Pangan,Tanaman Pangan, Hortikultura dan Peternakan","8","104"
"kabupaten","RIAU","PELALAWAN","Dinas Ketahanan Pangan, Tanaman Pangan dan Hortikultura","12","95"
"kabupaten","RIAU","SIAK","Dinas Pertanian Kabupaten Siak","14","139"
"kabupaten","RIAU","KAMPAR","DINAS PERTANIAN TANAMAN PANGAN DAN HORTIKULTURA","21","204"
"kabupaten","RIAU","ROKAN HULU","DINAS TANAMAN PANGAN DAN HORTIKULTURA","11","127"
"kabupaten","RIAU","BENGKALIS","Dinas Tanaman Pangan Hortikultura dan Peternakan","11","103"
"kabupaten","RIAU","ROKAN HILIR","Dinas Ketahanan Pangan dan Pertanian","5","162"
"kabupaten","RIAU","KEPULAUAN MERANTI","Dinas Ketahanan Pangan dan Pertanian","9","47"
"kabupaten","RIAU","KOTA PEKANBARU","Dinas Pertanian dan Perikanan Kota Pekanbaru","3","56"
"kabupaten","RIAU","KOTA DUMAI","Dinas Ketahanan Pangan dan Pertanian","6","55"
"provinsi","JAMBI","","Dinas Tanaman Pangan Hortikultura dan Peternakan Jambi","132","21"
"kabupaten","JAMBI","KERINCI","Dinas Tanaman Pangan dan Hortikultura","18","304"
"kabupaten","JAMBI","MERANGIN","Dinas Tanaman Pangan dan Hortikultura","19","313"
"kabupaten","JAMBI","SAROLANGUN","Dinas Tanaman Pangan, Hortikultura dan Perkebunan","11","172"
"kabupaten","JAMBI","BATANG HARI","Dinas Pangan, Pertanian dan Perikanan","8","238"
"kabupaten","JAMBI","MUARO JAMBI","Dinas Tanaman Pangan dan Hortikultura","9","203"
"kabupaten","JAMBI","TANJUNG JABUNG TIMUR","Dinas Tanaman Pangan dan Hortikultura","11","106"
"kabupaten","JAMBI","TANJUNG JABUNG BARAT","Dinas Tanaman Pangan Dan Hortikultura","13","146"
"kabupaten","JAMBI","TEBO","Dinas Tanaman Pangan Hortikultura dan Ketahanan Pangan","12","91"
"kabupaten","JAMBI","BUNGO","Dinas Tanaman Pangan, Hortikultura dan Perkebunan","17","98"
