pemohon_asli,nama_kanonik,dasar,perlu_tinjau,varietas,bukti
PT East West Seed Indonesia,PT East West Seed Indonesia,kanonik,,340,
PT Benih Citra Asia,PT Benih Citra Asia,kanonik,,216,
"PT BISI International, Tbk","PT BISI International, Tbk",kanonik,,95,
CV Aura Seed Indonesia,CV Aura Seed Indonesia,kanonik,,79,
BB Padi,BB Padi,kanonik,,69,
PT Aditya Sentana Agro,PT Aditya Sentana Agro,kanonik,,57,
PT Winon International,PT Winon International,kanonik,,52,
PT Syngenta Indonesia,PT Syngenta Indonesia,kanonik,,44,
"Fakultas Pertanian, IPB","Fakultas Pertanian, IPB",kanonik,,40,
CV Nusa Heulang,CV Nusa Heulang,kanonik,,40,
Pemerintah Kabupaten Banyuwangi,Pemerintah Kabupaten Banyuwangi,kanonik,,37,
BB padi,BB Padi,ejaan/kapitalisasi/spasi,,37,
Pemerintah Provinsi Sulawesi Utara,Pemerintah Provinsi Sulawesi Utara,kanonik,,36,
Pemerintah Kabupaten Banggai Kepulauan,Pemerintah Kabupaten Banggai Kepulauan,kanonik,,36,
PT Agrosid Manunggal Sentosa,PT Agrosid Manunggal Sentosa,kanonik,,33,
PT Benih Emas Indonesia,PT Benih Emas Indonesia,kanonik,,24,
Pemerintah Kabupaten Kepulauan Tanimbar,Pemerintah Kabupaten Kepulauan Tanimbar,kanonik,,28,
PT JJM Indonesia,PT JJM Indonesia,kanonik,,27,
Pemerintah Provinsi Jawa Barat,Pemerintah Provinsi Jawa Barat,kanonik,,23,
PT Bayer Indonesia,PT Bayer Indonesia,kanonik,,17,
Pemerintah Kabupaten Lombok Barat,Pemerintah Kabupaten Lombok Barat,kanonik,,23,
PT Tani Murni Indonesia,PT Tani Murni Indonesia,kanonik,,22,
CV Agro Bumi Asri Sejahtera,CV Agro Bumi Asri Sejahtera,kanonik,,18,
PT BISI International Tbk.,"PT BISI International, Tbk",tanda-baca,,21,
CV Enno Corporation,CV Enno Corporation,kanonik,,20,
Pemerintah Kabupaten Tabanan,Pemerintah Kabupaten Tabanan,kanonik,,19,
Pemerintah Kabupaten Kulon Progo,Pemerintah Kabupaten Kulon Progo,kanonik,,18,
PT Global Agro Mandiri Indonesia,PT Global Agro Mandiri Indonesia,kanonik,,18,
"Monsanto Technology, LLC ",PT Monsanto Technology LLC,ejaan/kapitalisasi/spasi,,17,
PT Dinasty Inti Agrosarana,PT Dinasty Inti Agrosarana,kanonik,,16,
PT Sampoerna Jaya Agro,PT Sampoerna Jaya Agro,kanonik,,16,
PT Mahatani Pertiwi Sejahtera,PT Mahatani Pertiwi Sejahtera,kanonik,,15,
Pemerintah Kabupaten Gunungkidul,Pemerintah Kabupaten Gunungkidul,kanonik,,15,
Pemerintah Kabupaten Aceh Besar,Pemerintah Kabupaten Aceh Besar,kanonik,,12,
Pemerintah Kabupaten Aceh Tengah,Pemerintah Kabupaten Aceh Tengah,kanonik,,13,
CV Jogja Horti Lestari,CV Jogja Horti Lestari,kanonik,,12,
PT BISI International Tbk,"PT BISI International, Tbk",tanda-baca,,12,
Fakultas Pertanian IPB,"Fakultas Pertanian, IPB",ejaan/kapitalisasi/spasi,,11,
PT Advanta Seeds Indonesia,PT Advanta Seeds Indonesia,kanonik,,11,
