pemohon,jenis_badan,jumlah_varietas,jumlah_ejaan_digabung,komoditas_utama,komoditas_semua,tahun_pertama,tahun_terakhir,jenis_perizinan_terbanyak
PT East West Seed Indonesia,PT,428,3,Tanaman Sayuran,Tanaman Sayuran;Tanaman Buah;Hortikultura;Tanaman Flori,1999,2026,Pelepasan Varietas Tanaman
Balai Penelitian Tanaman Hias,Pemerintah,351,1,Tanaman Flori,Tanaman Flori;Tanaman Sayuran,2000,2022,Pelepasan Varietas Tanaman
n/a (Era pelepasan - pengusul),perorangan/lainnya,342,1,Tanaman Buah,Tanaman Buah;Tanaman Sayuran;Tanaman Obat;Tanaman Flori,1980,2008,Pelepasan Varietas Tanaman
PT Benih Citra Asia,PT,298,4,Tanaman Sayuran,Tanaman Sayuran;Tanaman Buah;Tanaman Pangan;Hortikultura;Tanaman Flori;Tanaman Perkebunan,2008,2026,Pelepasan Varietas Tanaman
Badan Penelitian dan Pengembangan Pertanian,Lembaga riset,280,1,Tanaman Pangan,Tanaman Pangan;Tanaman Flori;Tanaman Perkebunan;Tanaman Sayuran;Tanaman Pakan Ternak;Tanaman Buah,2014,2023,Pendaftaran Varietas Tanaman
Balai Penelitian Tanaman Aneka Kacang dan Umbi,Pemerintah,279,1,Tanaman Pangan,Tanaman Pangan;Tanaman Perkebunan,1918,2023,Pelepasan Varietas Tanaman
PT Agri Makmur Pertiwi,PT,209,1,Tanaman Sayuran,Tanaman Sayuran;Tanaman Pangan;Tanaman Buah;Tanaman Flori,2009,2025,Pelepasan Varietas Tanaman
Balai Penelitian Tanaman Padi,Pemerintah,180,1,Tanaman Pangan,Tanaman Pangan,1940,2004,Pelepasan Varietas Tanaman
"PT BISI International, Tbk",PT,140,7,Tanaman Sayuran,Tanaman Sayuran;Tanaman Pangan;Tanaman Buah;Tanaman Flori,2007,2025,Pelepasan Varietas Tanaman
BRIN,Lembaga riset,114,1,Tanaman Pangan,Tanaman Pangan;Tanaman Flori;Tanaman Sayuran;Tanaman Buah;Tanaman Perkebunan,2022,2026,Pendaftaran Varietas Tanaman
BB Padi,Pemerintah,106,2,Tanaman Pangan,Tanaman Pangan,2006,2022,Pendaftaran Varietas Tanaman
CV Aura Seed Indonesia,CV,85,2,Tanaman Sayuran,Tanaman Sayuran;Tanaman Buah;Hortikultura,2007,2026,Pelepasan Varietas Tanaman
Balai Penelitian Jagung dan Serealia Lain,Pemerintah,82,1,Tanaman Pangan,Tanaman Pangan,< 1945,2004,Pelepasan Varietas Tanaman
Pusat Penelitian Kopi dan Kakao Indonesia,Lembaga riset,80,1,Tanaman Perkebunan,Tanaman Perkebunan,1993,2024,Pelepasan Varietas Tanaman
Balai Penelitian Tanaman Serealia,Pemerintah,75,1,Tanaman Pangan,Tanaman Pangan,2007,2022,Pelepasan Varietas Tanaman
Balai Penelitian Tanaman Tembakau dan Serat,Pemerintah,73,1,Tanaman Perkebunan,Tanaman Perkebunan,1997,2020,Pendaftaran Varietas Tanaman
PT Prabu Agro Mandiri,PT,69,1,Tanaman Sayuran,Tanaman Sayuran;Tanaman Buah,2010,2024,Pelepasan Varietas Tanaman
PT Tunas Agro Persada,PT,67,1,Tanaman Sayuran,Tanaman Sayuran;Tanaman Buah,2007,2025,Pelepasan Varietas Tanaman
Balai Penelitian Tanaman Sayuran,Pemerintah,67,1,Tanaman Sayuran,Tanaman Sayuran,2003,2022,Pelepasan Varietas Tanaman
PT Aditya Sentana Agro,PT,65,3,Tanaman Sayuran,Tanaman Sayuran;Hortikultura;Tanaman Buah,2010,2026,Pelepasan Varietas Tanaman
