nama_varietas,komoditas,jenis_tanaman,pemohon,pemohon_kanonik,asal,tahun,jenis_perizinan,no_sk,tgl_sk
Kalih Murakata,,,Pemerintah Daerah Kabupaten Hulu Sungai Tengah,Pemerintah Daerah Kabupaten Hulu Sungai Tengah,,2026,Pendaftaran Varietas Lokal,,
Sangga Murakata,,,Pemerintah Daerah Kabupaten Hulu Sungai Tengah,Pemerintah Daerah Kabupaten Hulu Sungai Tengah,,2026,Pendaftaran Varietas Lokal,,
Mantuala Si Kiping Murakata,,,Pemerintah Daerah Kabupaten Hulu Sungai Tengah,Pemerintah Daerah Kabupaten Hulu Sungai Tengah,,2026,Pendaftaran Varietas Lokal,,
ARABIKA RADEN KUNING,,,Dinas Pertanian Kota Pagar Alam,Dinas Pertanian Kota Pagar Alam,,2026,Pendaftaran Varietas Lokal,,
Electra,Hortikultura,Kentang,KENTANG HOLLANDO SEJAHTERA,PT Kentang Hollando Sejahtera,Introduksi,2026,Persetujuan Penamaan Varietas Tanaman (Introduksi),B-853/PV.210/A.9/08/2026,2026-08-12
NONI,Hortikultura,Bawang merah,CV. Citra Mandiri Utama,CV. Citra Mandiri Utama,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,,
Shabrina Hanoman,Hortikultura,Bawang merah,BADAN RISET DAN INOVASI NASIONAL,BADAN RISET DAN INOVASI NASIONAL,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-857/PV.220/A.9/08/2026,2026-08-12
WNBC 002,Hortikultura,Brokoli,WINON INTERNATIONAL,PT Winon International,Luar Negeri,2026,Persetujuan Penamaan Varietas Tanaman (Introduksi),B-858/PV.210/A.9/08/2026,2026-08-12
Hambuku,Hortikultura,Mangga,Pemerinta Daerah Kabupaten Hulu Sungai Utara,Pemerinta Daerah Kabupaten Hulu Sungai Utara,Lokal,2026,Pendaftaran Varietas Lokal,B-852/PV.210/A.9/08/2026,2026-08-10
Jabung,Hortikultura,Cabai rawit,PEMERINTAH DAERAH KABUPATEN PROBOLINGGO,PEMERINTAH DAERAH KABUPATEN PROBOLINGGO,Lokal,2026,Pendaftaran Varietas Lokal,B-848/PV.210/A.9/08/2026,2026-08-07
BIOTAMA SA 5,Tanaman Pangan,Padi,BADAN RISET DAN INOVASI NASIONAL,BADAN RISET DAN INOVASI NASIONAL,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-844/PV.220/A.9/08/2026,2026-08-06
Lingga Lima,Hortikultura,Alpukat ,Pemerintah Kabupaten Bangka,Pemerintah Kabupaten Bangka,Lokal,2026,Pendaftaran Varietas Lokal,B-836/PV.210/A.9/08/2026,2026-08-04
KMW 12,Hortikultura,Kemangi,MAHATANI PERTIWI SEJAHTERA,PT Mahatani Pertiwi Sejahtera,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-832/PV.220/A.9/08/2026,2026-08-03
KP 110,Hortikultura,Kacang panjang,TIGA PERMATA AGRI LESTARI,TIGA PERMATA AGRI LESTARI,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-820/PV.220/A.9/08/2026,2026-08-03
