nomor_pendaftaran,produk_id,nama_produk,jenis_pestisida,urutan,nama_bahan,kadar_bahan,satuan_bahan
01030120269427,op:prd:00001001,NORTHAM 480 SC,Herbisida,1,Flumioxazin,480,g/l
01020120093365,op:prd:00001002,RIOMAX 150/150 EC,Fungisida,1,Propikonazol,150,g/l
01020120093365,op:prd:00001002,RIOMAX 150/150 EC,Fungisida,2,Difenokonazol,150,g/l
01020120093365,op:prd:00001002,RIOMAX 150/150 EC,Fungisida,3,Difenokonazol,150,g/l
01020120093365,op:prd:00001002,RIOMAX 150/150 EC,Fungisida,4,Difenokonazol,150,g/l
01020120093365,op:prd:00001002,RIOMAX 150/150 EC,Fungisida,5,Propikonazol,150,g/l
01020120093365,op:prd:00001002,RIOMAX 150/150 EC,Fungisida,6,Propikonazol,150,g/l
01020120093365,op:prd:00001002,RIOMAX 150/150 EC,Fungisida,7,Propikonazol,150,g/l
01020120093365,op:prd:00001002,RIOMAX 150/150 EC,Fungisida,8,Difenokonazol,150,g/l
01010120093558,op:prd:00001003,Plenum 50 WG,Insektisida,1,Pimetrozin,50,%
01010120237998,op:prd:00001004,FICAZ 25 SP,Insektisida,1,Nitenpiram,25,%
06090120093514,op:prd:00001005,ALFA 30 EC,Pestisida Pengendalian Vektor Penyakit Pada Manusia,1,Alfa sipermetrin,30,g/l
01030120124260,op:prd:00001006,TURBO UP GOLD 525 SL,Herbisida,1,Isopropilamina glifosat,525,g/l
01010120083193,op:prd:00001007,IGUANA 50 EC,Insektisida,1,Emamectin Benzoate,50,g/l
01010120083193,op:prd:00001007,IGUANA 50 EC,Insektisida,2,Emamectin Benzoate,50,g/l
01010120083193,op:prd:00001007,IGUANA 50 EC,Insektisida,3,Emamectin Benzoate,50,g/l
01010120083193,op:prd:00001007,IGUANA 50 EC,Insektisida,4,Emamectin Benzoate,50,g/l
01010120083193,op:prd:00001007,IGUANA 50 EC,Insektisida,5,Emamectin Benzoate,50,g/l
01010120083193,op:prd:00001007,IGUANA 50 EC,Insektisida,6,Emamectin Benzoate,50,g/l
042018527,op:prd:00001008,ETEPHON 85 TC,Zat Pengatur Tumbuh Tanaman,1,Etefon,85,%
042018527,op:prd:00001008,ETEPHON 85 TC,Zat Pengatur Tumbuh Tanaman,2,Etefon,85,%
042018527,op:prd:00001008,ETEPHON 85 TC,Zat Pengatur Tumbuh Tanaman,3,Etefon,85,%
01030120258974,op:prd:00001009,NUVATA 270 SL,Herbisida,1,Topramezon,270,g/l
01030120269339,op:prd:00001010,BERSIHTOP 200 SL,Herbisida,1,amonium glufosinat,200,g/l
01030120248471,op:prd:00001011,DKNMC PLUS 750 SL,Herbisida,1,MCPA dimetil amina (setara dengan MCPA 620 g/l),750,g/l
01010120248337,op:prd:00001012,ULETE 30 EC,Insektisida,1,Emamektin benzoat,30,g/l
01010120072727,op:prd:00001013,CENTATIN 200 EC,Insektisida,1,permetrin,200,g/l
01020120175677,op:prd:00001014,CHERIZEB 80 WP,Fungisida,1,mankozeb,80,%
0420241350,op:prd:00001015,PREVENTOL BO,Pestisida lain-lain,1,"1,2-benzisothiazol-3(2H)-one",3 - 10,%
0420241350,op:prd:00001015,PREVENTOL BO,Pestisida lain-lain,2,octhilinone,1 - 2.5,%
04110120269530,op:prd:00001016,BIFTIN 50 SC,Bahan pengawet kayu,1,bifentrin,50,g/l
01040120083217,op:prd:00001017,Prolatex 100 PA,Zat Pengatur Tumbuh Tanaman,1,Ethephon,100,g/l
01020120144917,op:prd:00001018,RED BELL 300 SC,Fungisida,1,Azoxystrobin,300,g/l
01030120134713,op:prd:00001019,ROUNDUP POWERMAX 660 SL,Herbisida,1,kalium glifosat (setara dengan glifosat:540 g/l),660,g/l
01030120134771,op:prd:00001020,ETRON 670 EC,Herbisida,1,triklopir butoksi etil ester,670,g/l
01040120269611,op:prd:00001021,NUCLEO 20 SP,Zat Pengatur Tumbuh Tanaman,1,asam giberelat,20,%
01020120175916,op:prd:00001022,NOVICURE-D 81 WG,Fungisida,1,Tribasik tembaga sulfat,81,%
01020120175916,op:prd:00001022,NOVICURE-D 81 WG,Fungisida,2,Tribasik tembaga sulfat,81,%
01020120238133,op:prd:00001023,GREYHUNTER 300/150 SC,Fungisida,1,boscalid,300,g/l
01020120238133,op:prd:00001023,GREYHUNTER 300/150 SC,Fungisida,2,piraklostrobin,150,g/l
042001122,op:prd:00001024,"2,4-D IPA 60 TC",Herbisida,1,"2,4-D IPA",60,%
0420231140,op:prd:00001025,Propiconazole 95% TC.,Fungisida,1,Propiconazole,95,%
01030120031786,op:prd:00001026,RAZOR 240 SL,Herbisida,1,Isopropil amina glifosat,240,g/l
