sumber,dimensi,kategori,jumlah,persen
SIMPEL,kelompok_indikatif,3. Hara Majemuk (mis. NPK),1901,32.36
SIMPEL,kelompok_indikatif,1. Organik & Bahan Humat,1100,18.72
SIMPEL,kelompok_indikatif,8. Tidak tercantum,1035,17.62
SIMPEL,kelompok_indikatif,6. Hara Tunggal / An-organik,753,12.82
SIMPEL,kelompok_indikatif,2. Hayati,577,9.82
SIMPEL,kelompok_indikatif,5. Pembenah Tanah / Amelioran,460,7.83
SIMPEL,kelompok_indikatif,4. Hara Makro-Mikro Campuran,49,0.83
SIMPEL,jenis_formula,Pupuk Hara Makro Majemuk,1847,31.44
SIMPEL,jenis_formula,(tidak tercantum),1035,17.62
SIMPEL,jenis_formula,Pupuk Organik,921,15.68
SIMPEL,jenis_formula,Hayati Majemuk,468,7.97
SIMPEL,jenis_formula,Dolomit,326,5.55
SIMPEL,jenis_formula,Pupuk Fosfat Alam Untuk Pertanian,174,2.96
SIMPEL,jenis_formula,Pupuk Kalium Klorida (KCl),122,2.08
SIMPEL,jenis_formula,Senyawa Humat,113,1.92
SIMPEL,jenis_formula,Pupuk Amonium Sulfat (ZA) {NH4)2SO4},104,1.77
SIMPEL,jenis_formula,Hayati Tunggal,79,1.34
SIMPEL,jenis_formula,Pupuk Hara Mikro Tunggal,71,1.21
SIMPEL,jenis_formula,Kaptan,71,1.21
SIMPEL,jenis_formula,Pupuk Hara Mikro Majemuk,54,0.92
SIMPEL,jenis_formula,Pupuk Amonium Klorida (NH4Cl),53,0.90
SIMPEL,jenis_formula,Pupuk Triple Super Fosfat (TSP) {3Ca(H2PO4)2},50,0.85
SIMPEL,jenis_formula,Organik,48,0.82
SIMPEL,jenis_formula,Pupuk Hara Makro-Mikro Campuran,45,0.77
SIMPEL,jenis_formula,Pembenah Tanah Dolomit,33,0.56
SIMPEL,jenis_formula,Pupuk Hayati Majemuk,27,0.46
SIMPEL,jenis_formula,Pupuk Urea {CO(NH2)2},25,0.43
SIMPEL,jenis_formula,Pupuk Hara Makro Tunggal,24,0.41
SIMPEL,jenis_formula,Pupuk Diamonium Fosfat (DAP) {(NH4)2HPO4},22,0.37
SIMPEL,jenis_formula,Pupuk Kalsium Nitrat {CaNO3)2.2H2O},19,0.32
SIMPEL,jenis_formula,Zeolit,18,0.31
SIMPEL,jenis_formula,Pupuk Mono Amonium Fosfat (MAP) (NH4H2PO4),16,0.27
SIMPEL,jenis_formula,Super Fosfat (SP-36) {Ca(H2PO4),15,0.26
SIMPEL,jenis_formula,Pupuk Super Phosphate Tunggal {Ca(H2PO4)2},13,0.22
SIMPEL,jenis_formula,Pembenah Tanah Senyawa Humat,9,0.15
SIMPEL,jenis_formula,Pembenah Tanah Organik,9,0.15
SIMPEL,jenis_formula,Pupuk Kalium Nitrat (KNO3),8,0.14
SIMPEL,jenis_formula,Pupuk Kiserite (MgSO4.H2O),7,0.12
SIMPEL,jenis_formula,Pupuk Benefesial,5,0.09
SIMPEL,jenis_formula,Pupuk Hara Makro Tunggal dan Hara Benefisial Silika,5,0.09
SIMPEL,jenis_formula,Pupuk Potassium Magnesium Sulfate Teknis (MgSO4.7H2O),5,0.09
SIMPEL,jenis_formula,"Pupuk Campuran (Hara Makro, Hara Mikro dan Hara benefisial)",4,0.07
SIMPEL,jenis_formula,Karbon Tanah,4,0.07
SIMPEL,jenis_formula,WHC,4,0.07
SIMPEL,jenis_formula,Pupuk Hara Makro Primer,4,0.07
SIMPEL,jenis_formula,Pupuk Hara Makro Sekunder,3,0.05
SIMPEL,jenis_formula,Pembenah Tanah Fungsi Khusus,3,0.05
SIMPEL,jenis_formula,Pupuk Hayati Tunggal,3,0.05
SIMPEL,jenis_formula,Pupuk Borat (Na2B407.5H2O),3,0.05
SIMPEL,jenis_formula,Pupuk Amonium Nitrat (NH4NO3),2,0.03
SIMPEL,jenis_formula,Pupuk Kalium Sulfat (K2SO4),2,0.03
