confidence,grup_merek,sinyal,entitas_core,tipe,simpel,legacy,pest,total
TINGGI(identik),BUMI INDO RAHARJA,nama identik multi-tipe,BUMI INDO RAHARJA,CV×2/PT×16,12,18,0,30
TINGGI(identik),PRIMA AGRO LANCAR,nama identik multi-tipe,PRIMA AGRO LANCAR,CV×2/PT×1,2,2,1,5
TINGGI,SAPROTAN,CV↔PT + induk⊂perluasan,SAPROTAN UTAMA,CV×87,66,56,31,153
TINGGI,SAPROTAN,CV↔PT + induk⊂perluasan,SAPROTAN UTAMA NUSANTARA,PT×28,45,0,28,73
TINGGI,DELTA,CV↔PT,DELTA GIRI WACANA,PT×129,4,0,129,133
TINGGI,DELTA,CV↔PT,DELTA CHEMICA,CV×15,3,0,15,18
TINGGI,DELTA,CV↔PT,DELTA GREEN ZONE,,3,0,0,3
TINGGI,DELTA,CV↔PT,DELTA FORTUNA,CV×1,1,1,0,2
TINGGI,DELTA,CV↔PT,DELTA ANUGRAH SUBUR SEJAHTERA,,1,0,0,1
TINGGI,RAJA,CV↔PT,RAJA GROUP INDONESIA,PT×8,43,0,8,51
TINGGI,RAJA,CV↔PT,RAJA GRAFIKA,,15,0,9,24
TINGGI,RAJA,CV↔PT,RAJA ARTHA AGRO,,5,0,0,5
TINGGI,RAJA,CV↔PT,RAJA BENUA MAS,CV×1,2,0,1,3
TINGGI,RAJA,CV↔PT,RAJA BORNEO FARM,,1,0,0,1
TINGGI,REJEKI,CV↔PT + legacy↔baru,REJEKI INDO AGROTEC,PT×70,1,0,70,71
TINGGI,REJEKI,CV↔PT + legacy↔baru,REJEKI INDAH MANDIRI,,3,0,0,3
TINGGI,REJEKI,CV↔PT + legacy↔baru,REJEKI AGRO INDONESIA,PT×2,1,0,2,3
TINGGI,REJEKI,CV↔PT + legacy↔baru,REJEKI LUMINTU MAKMUR,CV×2,0,2,0,2
TINGGI,GRAHA,CV↔PT + induk⊂perluasan + legacy↔baru,GRAHA AGRO,CV×23,2,0,23,25
TINGGI,GRAHA,CV↔PT + induk⊂perluasan + legacy↔baru,GRAHA AGRITECH PRIMA,CV×21,2,2,19,23
TINGGI,GRAHA,CV↔PT + induk⊂perluasan + legacy↔baru,GRAHA SIRTU,,7,0,0,7
TINGGI,GRAHA,CV↔PT + induk⊂perluasan + legacy↔baru,GRAHA INTI JAYA,PT×6,0,6,0,6
TINGGI,GRAHA,CV↔PT + induk⊂perluasan + legacy↔baru,GRAHA BIOFARM SOLUSI,,2,0,0,2
TINGGI,GRAHA,CV↔PT + induk⊂perluasan + legacy↔baru,GRAHA AGRO MAKMUR,PT×2,0,0,2,2
TINGGI,GRAHA,CV↔PT + induk⊂perluasan + legacy↔baru,GRAHA FERTICON PERKASA,CV×1,0,0,1,1
TINGGI,GRAHA,CV↔PT + induk⊂perluasan + legacy↔baru,GRAHA ESA,PT×1,0,0,1,1
TINGGI,MUTIARA,CV↔PT + legacy↔baru,MUTIARA KERATON JIMMY&CO TRANS BISNIS INDONESIA,CV×4,17,0,4,21
TINGGI,MUTIARA,CV↔PT + legacy↔baru,MUTIARA AGRO SEJATI,PT×21,0,0,21,21
TINGGI,MUTIARA,CV↔PT + legacy↔baru,MUTIARA ZIOSOVIQ,,1,0,0,1
TINGGI,MUTIARA,CV↔PT + legacy↔baru,MUTIARA TIMUR GRESIK,,1,0,0,1
TINGGI,MUTIARA,CV↔PT + legacy↔baru,MUTIARA MAS,,1,0,0,1
TINGGI,MUTIARA,CV↔PT + legacy↔baru,MUTIARA AGRO PERSADA,CV×1,0,1,0,1
TINGGI,MUTIARA,CV↔PT + legacy↔baru,MUTIARA BENIH NUSANTARA,,1,0,0,1
TINGGI,TRUBUS,CV↔PT,TRUBUS PRIMA,CV×4,20,1,3,24
TINGGI,TRUBUS,CV↔PT,TRUBUS MITRA SWADAYA,PT×1,2,1,0,3
TINGGI,TRUBUS,CV↔PT,TRUBUS MAS LESTARI,,2,0,0,2
TINGGI,TRUBUS,CV↔PT,TRUBUS SWADAYA,,1,0,0,1
TINGGI,MEGA,CV↔PT + legacy↔baru,MEGA ORGANOFERTILISER,,8,0,0,8
TINGGI,MEGA,CV↔PT + legacy↔baru,MEGA PRIMATANI LESTARI,,8,0,0,8
TINGGI,MEGA,CV↔PT + legacy↔baru,MEGA KIMIA INDUSTRI,,1,0,0,1
TINGGI,MEGA,CV↔PT + legacy↔baru,MEGA TRI UTAMA,PT×1,0,1,0,1
TINGGI,MEGA,CV↔PT + legacy↔baru,MEGA ORGANOFERTLIZER,CV×1,0,1,0,1
TINGGI,MEGA,CV↔PT + legacy↔baru,MEGA KARYA GRESIK,,1,0,0,1
TINGGI,CAHAYA,CV↔PT + legacy↔baru,CAHAYA ABADI,CV×2,7,2,0,9
TINGGI,CAHAYA,CV↔PT + legacy↔baru,CAHAYA AGRO PERSADA,,4,0,0,4
TINGGI,CAHAYA,CV↔PT + legacy↔baru,CAHAYA INTI TUNGGAL,PT×2,0,2,0,2
TINGGI,CAHAYA,CV↔PT + legacy↔baru,CAHAYA BARU,,1,0,0,1
TINGGI,CAHAYA,CV↔PT + legacy↔baru,CAHAYA BUANA ASIA,,1,0,0,1
TINGGI,CAHAYA,CV↔PT + legacy↔baru,CAHAYA AGROLEV KENCANA,,1,0,0,1
TINGGI,GOLDEN,CV↔PT,GOLDEN FARM INDONESIA,CV×8,3,0,8,11
TINGGI,GOLDEN,CV↔PT,GOLDEN MAKMUR AGRI,PT×3,0,0,3,3
TINGGI,GOLDEN,CV↔PT,GOLDEN SUMMIT JAYA,,2,0,0,2
TINGGI,GOLDEN,CV↔PT,GOLDEN STEP INDONESIA,PT×1,0,0,1,1
TINGGI,GOLDEN,CV↔PT,GOLDEN PLANTER INDONESIA,,1,0,0,1
TINGGI,GUNUNG,CV↔PT,GUNUNG BERKAT SEJAHTERA,PT×2,3,2,0,5
TINGGI,GUNUNG,CV↔PT,GUNUNG DONO PUTRA,CV×1,1,1,0,2
TINGGI,GUNUNG,CV↔PT,GUNUNG MAS MAHRAJA GURAH,,1,0,0,1
TINGGI,BARU,CV↔PT,BARU TOTAL SOLUSINDO,PT×4,0,0,4,4
TINGGI,BARU,CV↔PT,BARU INDONESIA,CV×1,2,0,1,3
TINGGI,FLORA,CV↔PT,FLORA DAN FAUNA,CV×3,0,0,3,3
TINGGI,FLORA,CV↔PT,FLORA FAUNA MANGGALA,PT×2,0,0,2,2
TINGGI,FLORA,CV↔PT,FLORA FAUNA AGRO,PT×2,0,0,2,2
SEDANG-TINGGI,TIARA,induk⊂perluasan + legacy↔baru,TIARA BUANA MANDIRI,PT×35,0,10,25,35
SEDANG-TINGGI,TIARA,induk⊂perluasan + legacy↔baru,TIARA KURNIA,PT×2,0,2,0,2
SEDANG-TINGGI,TIARA,induk⊂perluasan + legacy↔baru,TIARA KURNIA PT,,2,0,0,2
SEDANG-TINGGI,TIARA,induk⊂perluasan + legacy↔baru,TIARA AGRO HITA KENCANA,,1,0,0,1
SEDANG-TINGGI,CIPTO,induk⊂perluasan + legacy↔baru,CIPTO LANGGENG JOYO,,13,0,0,13
SEDANG-TINGGI,CIPTO,induk⊂perluasan + legacy↔baru,CIPTO LANGGENG,CV×1,0,1,0,1
SEDANG-TINGGI,LAUTAN,induk⊂perluasan + legacy↔baru,LAUTAN LUAS,,7,0,0,7
SEDANG-TINGGI,LAUTAN,induk⊂perluasan + legacy↔baru,LAUTAN LUAS TBK,PT×1,0,1,0,1
SEDANG-TINGGI,SEKAR,induk⊂perluasan + legacy↔baru,SEKAR SARI,CV×2,0,2,0,2
SEDANG-TINGGI,SEKAR,induk⊂perluasan + legacy↔baru,SEKAR SARI JAYA,,1,0,0,1
SEDANG,PETROKIMIA,induk⊂perluasan,PETROKIMIA KAYAKU,PT×85,16,5,80,101
SEDANG,PETROKIMIA,induk⊂perluasan,PETROKIMIA GRESIK,PT×17,70,17,0,87
SEDANG,PETROKIMIA,induk⊂perluasan,PETROKIMIA KEBOMAS GRESIK,,2,0,0,2
SEDANG,PETROKIMIA,induk⊂perluasan,PETROKIMIA GRESIK INDONESIA,,1,0,0,1
SEDANG,DHARMA,induk⊂perluasan,DHARMA GUNA WIBAWA,PT×64,5,0,64,69
SEDANG,DHARMA,induk⊂perluasan,DHARMA AYU TANI,PT×15,45,13,2,60
SEDANG,DHARMA,induk⊂perluasan,DHARMA GUNA,,2,0,0,2
SEDANG,DHARMA,induk⊂perluasan,DHARMA KARTAPURA,,2,0,0,2
