nomor_pendaftaran,produk_id,merk_dagang,pemegang_pendaftaran,jenis_pupuk,bentuk_formula,urutan,parameter,parameter_kunci,nilai_teks,jenis_nilai,kualifier,nilai_min,nilai_maks,pengali,satuan,catatan
02.02.2025.310,op:prd:00010001,SAJOJO,Agro Bumi Timur,Pupuk Organik,Cair (Liquid),1,C-organik,c-organik,"14,29 %",numerik,,14.29,14.29,,%,
02.02.2025.310,op:prd:00010001,SAJOJO,Agro Bumi Timur,Pupuk Organik,Cair (Liquid),2,N + P2O5 + K2O,n + p2o5 + k2o,"2,23 %",numerik,,2.23,2.23,,%,
02.02.2025.310,op:prd:00010001,SAJOJO,Agro Bumi Timur,Pupuk Organik,Cair (Liquid),3,N-organik,n-organik,"3,02 %",numerik,,3.02,3.02,,%,
02.02.2025.310,op:prd:00010001,SAJOJO,Agro Bumi Timur,Pupuk Organik,Cair (Liquid),4,pH,ph,"4,04",numerik,,4.04,4.04,,,
02.02.2025.310,op:prd:00010001,SAJOJO,Agro Bumi Timur,Pupuk Organik,Cair (Liquid),5,Fe-total,fe-total,"182,22 ppm",numerik,,182.22,182.22,,ppm,
02.02.2025.310,op:prd:00010001,SAJOJO,Agro Bumi Timur,Pupuk Organik,Cair (Liquid),6,Mn,mn,"153,24 ppm",numerik,,153.24,153.24,,ppm,
02.02.2025.310,op:prd:00010001,SAJOJO,Agro Bumi Timur,Pupuk Organik,Cair (Liquid),7,Mo,mo,"4,12 ppm",numerik,,4.12,4.12,,ppm,
01.01.2023.907,op:prd:00010002,LAPAN HARSA,PUPUK LAPAN HARSA,Pupuk Hara Makro Majemuk,Butiran (Granular),1,N,n,13 %,numerik,,13,13,,%,
01.01.2023.907,op:prd:00010002,LAPAN HARSA,PUPUK LAPAN HARSA,Pupuk Hara Makro Majemuk,Butiran (Granular),2,P2O5,p2o5,6 %,numerik,,6,6,,%,
01.01.2023.907,op:prd:00010002,LAPAN HARSA,PUPUK LAPAN HARSA,Pupuk Hara Makro Majemuk,Butiran (Granular),3,K2O,k2o,27 %,numerik,,27,27,,%,
01.01.2023.907,op:prd:00010002,LAPAN HARSA,PUPUK LAPAN HARSA,Pupuk Hara Makro Majemuk,Butiran (Granular),4,B,b,"1,09 %",numerik,,1.09,1.09,,%,
01.01.2023.907,op:prd:00010002,LAPAN HARSA,PUPUK LAPAN HARSA,Pupuk Hara Makro Majemuk,Butiran (Granular),5,Kadar Air,kadar air,"2,40 %",numerik,,2.4,2.4,,%,
04.01.2022.935,op:prd:00010003,P HOSKA+,SUMBER UTAMA TANI,Dolomit,Butiran (Granular),1,Magnesium (MgO),magnesium (mgo),"27,06 %",numerik,,27.06,27.06,,%,
04.01.2022.935,op:prd:00010003,P HOSKA+,SUMBER UTAMA TANI,Dolomit,Butiran (Granular),2,Kalsium (CaO),kalsium (cao),"29,69 %",numerik,,29.69,29.69,,%,
04.01.2022.935,op:prd:00010003,P HOSKA+,SUMBER UTAMA TANI,Dolomit,Butiran (Granular),3,Al2O3 + Fe2O3,al2o3 + fe2o3,"2,63 %",numerik,,2.63,2.63,,%,
04.01.2022.935,op:prd:00010003,P HOSKA+,SUMBER UTAMA TANI,Dolomit,Butiran (Granular),4,Silikat (SiO2),silikat (sio2),"0,01 %",numerik,,0.01,0.01,,%,
04.01.2022.935,op:prd:00010003,P HOSKA+,SUMBER UTAMA TANI,Dolomit,Butiran (Granular),5,Kadar Air,kadar air,"2,30 %",numerik,,2.3,2.3,,%,
04.01.2022.935,op:prd:00010003,P HOSKA+,SUMBER UTAMA TANI,Dolomit,Butiran (Granular),6,Netralisasi (setara CaCO3),netralisasi (setara caco3),"115,57 %",numerik,,115.57,115.57,,%,
04.01.2022.935,op:prd:00010003,P HOSKA+,SUMBER UTAMA TANI,Dolomit,Butiran (Granular),7,Kehalusan 25 Mesh,kehalusan 25 mesh,100 %,numerik,,100,100,,%,
04.01.2022.935,op:prd:00010003,P HOSKA+,SUMBER UTAMA TANI,Dolomit,Butiran (Granular),8,Kehalusan 80 Mesh,kehalusan 80 mesh,88 %,numerik,,88,88,,%,
01.02.2026.109,op:prd:00010004,AQUABOOST,DUA POHON BESAR,Pupuk Hara Makro Majemuk,Cair (Liquid),1,K2O,k2o,"6,5%",numerik,,6.5,6.5,,%,
01.02.2026.109,op:prd:00010004,AQUABOOST,DUA POHON BESAR,Pupuk Hara Makro Majemuk,Cair (Liquid),2,CaO,cao,7%,numerik,,7,7,,%,
03.03.2021.550,op:prd:00010005,EvaGROW,PROSPER BIOTECH INDONESIA,Hayati Majemuk,Tepung (Powder),1,Azospirillum sp,azospirillum sp,"4,85 x 10^6 CFU/g",numerik,,4.85,4.85,1000000,CFU/g,
03.03.2021.550,op:prd:00010005,EvaGROW,PROSPER BIOTECH INDONESIA,Hayati Majemuk,Tepung (Powder),2,Azotobacter sp,azotobacter sp,"5,25 x 10^7 CFU/g",numerik,,5.25,5.25,10000000,CFU/g,
03.03.2021.550,op:prd:00010005,EvaGROW,PROSPER BIOTECH INDONESIA,Hayati Majemuk,Tepung (Powder),3,Bacillus sp,bacillus sp,"5,00 x 10^9CFU/g",numerik,,5,5,1000000000,CFU/g,
03.03.2021.550,op:prd:00010005,EvaGROW,PROSPER BIOTECH INDONESIA,Hayati Majemuk,Tepung (Powder),4,Actynomycetes,actynomycetes,"3,70 x 10^6 CFU/g",numerik,,3.7,3.7,1000000,CFU/g,
03.03.2021.550,op:prd:00010005,EvaGROW,PROSPER BIOTECH INDONESIA,Hayati Majemuk,Tepung (Powder),5,Streptomyces sp,streptomyces sp,"2,40 x 10^6 CFU/g",numerik,,2.4,2.4,1000000,CFU/g,
03.03.2021.550,op:prd:00010005,EvaGROW,PROSPER BIOTECH INDONESIA,Hayati Majemuk,Tepung (Powder),6,Aspergilus sp,aspergilus sp,"2,60 x 10^6 CFU/g",numerik,,2.6,2.6,1000000,CFU/g,
03.03.2021.550,op:prd:00010005,EvaGROW,PROSPER BIOTECH INDONESIA,Hayati Majemuk,Tepung (Powder),7,Trichoderma sp,trichoderma sp,"2,90 x 10^6 CFU/g",numerik,,2.9,2.9,1000000,CFU/g,
02.02.2024.6,op:prd:00010006,SAVIOR,DAMAI SINERGI NUSANTARA,Pupuk Organik,Cair (Liquid),1,C-organik,c-organik,"10,23 %",numerik,,10.23,10.23,,%,
02.02.2024.6,op:prd:00010006,SAVIOR,DAMAI SINERGI NUSANTARA,Pupuk Organik,Cair (Liquid),2,N + P2O5 + K2O,n + p2o5 + k2o,"2,05 %",numerik,,2.05,2.05,,%,
02.02.2024.6,op:prd:00010006,SAVIOR,DAMAI SINERGI NUSANTARA,Pupuk Organik,Cair (Liquid),3,N-organik,n-organik,"0,54 %",numerik,,0.54,0.54,,%,
02.02.2024.6,op:prd:00010006,SAVIOR,DAMAI SINERGI NUSANTARA,Pupuk Organik,Cair (Liquid),4,pH,ph,"4,43",numerik,,4.43,4.43,,,
02.02.2024.6,op:prd:00010006,SAVIOR,DAMAI SINERGI NUSANTARA,Pupuk Organik,Cair (Liquid),5,Fe-total,fe-total,"444,97 ppm",numerik,,444.97,444.97,,ppm,
02.02.2024.6,op:prd:00010006,SAVIOR,DAMAI SINERGI NUSANTARA,Pupuk Organik,Cair (Liquid),6,B-total,b-total,"15,53 ppm",numerik,,15.53,15.53,,ppm,
02.02.2024.6,op:prd:00010006,SAVIOR,DAMAI SINERGI NUSANTARA,Pupuk Organik,Cair (Liquid),7,Mo-total,mo-total,"4,08 ppm",numerik,,4.08,4.08,,ppm,
01.01.2026.541,op:prd:00010007,HATTARA PLUS,HATTARA CITRA ARGO,Pupuk Hara Makro-Mikro Campuran,Butiran (Granular),1,CaO,cao,15%,numerik,,15,15,,%,
01.01.2026.541,op:prd:00010007,HATTARA PLUS,HATTARA CITRA ARGO,Pupuk Hara Makro-Mikro Campuran,Butiran (Granular),2,Zn,zn,"6865,42 ppm",numerik,,6865.42,6865.42,,ppm,
01.01.2026.541,op:prd:00010007,HATTARA PLUS,HATTARA CITRA ARGO,Pupuk Hara Makro-Mikro Campuran,Butiran (Granular),3,Cu,cu,"3246,09 ppm",numerik,,3246.09,3246.09,,ppm,
01.01.2026.541,op:prd:00010007,HATTARA PLUS,HATTARA CITRA ARGO,Pupuk Hara Makro-Mikro Campuran,Butiran (Granular),4,Kadar air,kadar air,"0,51%",numerik,,0.51,0.51,,%,
02.02.2025.15,op:prd:00010008,MAHITAMIRA,MAHITALA MIRA INDONESIA,Pupuk Organik,Cair (Liquid),1,C-organik,c-organik,"14,10 %",numerik,,14.1,14.1,,%,
02.02.2025.15,op:prd:00010008,MAHITAMIRA,MAHITALA MIRA INDONESIA,Pupuk Organik,Cair (Liquid),2,N + P2O5 + K2O,n + p2o5 + k2o,"2,04 %",numerik,,2.04,2.04,,%,
02.02.2025.15,op:prd:00010008,MAHITAMIRA,MAHITALA MIRA INDONESIA,Pupuk Organik,Cair (Liquid),3,N-organik,n-organik,"0,58 %",numerik,,0.58,0.58,,%,
