parameter_kunci,jml_varian,varian,jml_baris,jml_produk,jml_satuan,satuan_terbanyak
kadar air,5,Kadar Air (2248) | Kadar air (1806) | Kadar AIr (15) | kadar Air (3) | kadar air (1),4073,4072,5,"% (4058) | ppm (2) | , 25 % (1) | J% (1) | v% (1)"
n,1,N (2475),2475,2475,5,"% (2470) | %% (1) | , 2 % (1) | ,$ % (1) | 5 (1)"
k2o,1,K2O (2471),2471,2470,3,% (2468) | % % (1) | 5 (1)
p2o5,1,P2O5 (2155),2155,2155,3,"% (2151) | 5 (2) | ,% (1)"
ph,2,pH (1112) | Ph (1),1113,1112,2,% (4) | ppm (1)
zn,2,Zn (1034) | zn (1),1035,1035,5,ppm (541) | % (484) | mg/kg (4) | mg/Kg (3) | 5 (1)
c-organik,2,C-organik (947) | C-Organik (28),975,975,2,% (974) | [%] (1)
fe-total,2,Fe-total (859) | Fe-Total (9),868,868,6,"ppm (857) | mg/kg (4) | mg/Kg (3) | % (2) | , 41 ppm (1)"
mgo,2,MgO (799) | MGO (1),800,800,2,% (795) | ppm (2)
n + p2o5 + k2o,1,N + P2O5 + K2O (587),587,587,2,% (586) | [%] (1)
b,1,B (579),579,578,3,% (497) | ppm (80) | %% (1)
fe-tersedia,2,Fe-tersedia (503) | Fe-Tersedia (2),505,505,4,ppm (496) | mg/kg (4) | mg/Kg (3) | % (2)
c/n,1,C/N (500),500,500,1,% (18)
n-organik,2,N-organik (407) | N-Organik (25),432,432,2,% (431) | [%] (1)
s,1,S (404),404,404,2,% (403) | ppm (1)
cu,1,Cu (397),397,397,4,% (328) | ppm (66) | % % (1) | ppmn (1)
al2o3 + fe2o3,2,Al2O3 + Fe2O3 (369) | AL2O3 + Fe2O3 (6),375,375,1,% (374)
bacillus sp,1,Bacillus sp (375),375,375,7,CFU/ml (219) | CFU/g (119) | cfu/ml (28) | cfu/g (6) | CFU/gram (1)
kehalusan 25 mesh,2,Kehalusan 25 Mesh (322) | Kehalusan 25 mesh (33),355,351,2,% (354) | & (1)
kehalusan 80 mesh,2,Kehalusan 80 Mesh (321) | Kehalusan 80 mesh (34),355,354,1,% (355)
kalsium (cao),1,Kalsium (CaO) (318),318,318,1,% (318)
magnesium (mgo),1,Magnesium (MgO) (317),317,317,1,% (317)
