nama_produk,nomor_pendaftaran,jenis_pestisida,bentuk_formulasi,bahan_aktif,pemegang_pendaftaran,jenis_perseroan,perihal,bidang_penggunaan,komoditas_sasaran,tanggal_terbit,tanggal_berakhir,jml_perubahan_nama,jml_perubahan_pemegang,jml_perluasan,id,bahan_aktif_json,komoditas_json
NORTHAM 480 SC,01030120269427,Herbisida,pratumbuh berbentuk pekatan suspensi,Flumioxazin 480 g/l,DELTAGRO MULIA SEJATI,PT.,Pestisida Sintetik - Permohonan Izin Tetap Baru Kimia Umum,Pengelola Tanaman,Tebu,2026-04-20,2031-04-20,0,0,0,0000e964-3074-4ee2-bff3-1f8c4999112b,"[{""namaBahan"": ""Flumioxazin"", ""kadarBahan"": ""480"", ""satuanBahan"": ""g/l""}]","[{""hamaKomoditas"": ""gulma golongan rumput"", ""namaKomoditas"": ""Tebu"", ""kadarPestisida"": ""150 - 300"", ""satuanPestisida"": ""ml/ha"", ""latinHamaKomoditas"": ""Digitaria adcendens (150 - 300 ml/ha)""}, {""hamaKomoditas"": ""gulma golongan rumput"", ""namaKomoditas"": ""Tebu"", ""kadarPestisida"": """", ""satuanPestisida"": ""-"", ""latinHamaKomoditas"": ""Echinochloa colona (150 - 300 ml/ha)""}, {""hamaKomoditas"": ""gulma golongan rumput"", ""namaKomoditas"": ""Tebu"", ""kadarPestisida"": """", ""satuanPestisida"": ""-"", ""latinHamaKomoditas"": ""Imperata cylindrica (150 - 300 ml/ha)""}, {""hamaKomoditas"": ""gulma golongan rumput"", ""namaKomoditas"": ""Tebu"", ""kadarPestisida"": """", ""satuanPestisida"": ""-"", ""latinHamaKomoditas"": ""Digitaria ciliaris (150 - 300 ml/ha)""}, {""hamaKomoditas"": ""gulma golongan rumput"", ""namaKomoditas"": ""Tebu"", ""kadarPestisida"": """", ""satuanPestisida"": ""-"", ""latinHamaKomoditas"": ""Brachiaria eruciformis  (150 - 300 ml/ha)""}, {""hamaKomoditas"": ""gulma berdaun lebar"", ""namaKomoditas"": ""Tebu"", ""kadarPestisida"": ""150 - 300"", ""satuanPestisida"": ""ml/ha"", ""latinHamaKomoditas"": ""Borreria alata  (150 - 300 ml/ha)""}, {""hamaKomoditas"": ""gulma berdaun lebar"", ""namaKomoditas"": ""Tebu"", ""kadarPestisida"": """", ""satuanPestisida"": ""-"", ""latinHamaKomoditas"": ""Cleome aspera  (150 - 300 ml/ha)""}, {""hamaKomoditas"": ""gulma berdaun lebar"", ""namaKomoditas"": ""Tebu"", ""kadarPestisida"": """", ""satuanPestisida"": ""-"", ""latinHamaKomoditas"": ""Alternanthera braziliana  (150 - 300 ml/ha)""}, {""hamaKomoditas"": ""gulma berdaun lebar"", ""namaKomoditas"": ""Tebu"", ""kadarPestisida"": """", ""satuanPestisida"": ""-"", ""latinHamaKomoditas"": ""Ageratum conyzoides  (150 - 300 ml/ha)""}]"
RIOMAX 150/150 EC,01020120093365,Fungisida,yang bersifat protektif dan kuratif berbentuk pekatan yang dapat diemulsikan,Propikonazol 150 g/l; Difenokonazol 150 g/l,AGRO NATURAL TECHNOLOGY,PT.,Pestisida Sintetik - Permohonan Izin Tetap Ulang Ganjil,,Padi,2024-03-05,2029-03-05,0,1,0,0007060d-81f2-4669-b474-c23d478f4ea5,"[{""namaBahan"": ""Propikonazol"", ""kadarBahan"": ""150"", ""satuanBahan"": ""g/l""}, {""namaBahan"": ""Difenokonazol"", ""kadarBahan"": ""150"", ""satuanBahan"": ""g/l""}, {""namaBahan"": ""Difenokonazol"", ""kadarBahan"": ""150"", ""satuanBahan"": ""g/l""}, {""namaBahan"": ""Difenokonazol"", ""kadarBahan"": ""150"", ""satuanBahan"": ""g/l""}, {""namaBahan"": ""Propikonazol"", ""kadarBahan"": ""150"", ""satuanBahan"": ""g/l""}, {""namaBahan"": ""Propikonazol"", ""kadarBahan"": ""150"", ""satuanBahan"": ""g/l""}, {""namaBahan"": ""Propikonazol"", ""kadarBahan"": ""150"", ""satuanBahan"": ""g/l""}, {""namaBahan"": ""Difenokonazol"", ""kadarBahan"": ""150"", ""satuanBahan"": ""g/l""}]","[{""hamaKomoditas"": ""Penyakit hawar pelepah"", ""namaKomoditas"": ""Padi"", ""kadarPestisida"": ""300"", ""satuanPestisida"": ""ml/ha"", ""latinHamaKomoditas"": ""Rhizoctonia solani""}]"
Plenum 50 WG,01010120093558,Insektisida,penghambat aktivitas makan berbentuk butiran yang dapat didispersikan dalam air,Pimetrozin 50 %,SYNGENTA INDONESIA,PT.,Pestisida Sintetik - Permohonan Izin Tetap Ulang Ganjil,,Padi Sawah; Cabai,2024-03-05,2029-03-05,1,0,1,0014d4fc-439e-4920-8ce1-38721426ad44,"[{""namaBahan"": ""Pimetrozin"", ""kadarBahan"": ""50"", ""satuanBahan"": ""%""}]","[{""hamaKomoditas"": ""Wereng daun"", ""namaKomoditas"": ""Padi Sawah"", ""kadarPestisida"": ""300"", ""satuanPestisida"": ""g/ha"", ""latinHamaKomoditas"": ""Nephotettix virescens (300 g/ha)""}, {""hamaKomoditas"": ""Wereng punggung putih"", ""namaKomoditas"": ""Padi Sawah"", ""kadarPestisida"": ""300"", ""satuanPestisida"": ""g/ha"", ""latinHamaKomoditas"": ""  Sogatella furcifera (300 g/ha)""}, {""hamaKomoditas"": ""Kepinding Tanah"", ""namaKomoditas"": ""Padi Sawah"", ""kadarPestisida"": ""300"", ""satuanPestisida"": ""g/ha"", ""latinHamaKomoditas"": ""Scotinophara sp (300 g/ha)""}, {""hamaKomoditas"": ""Wereng Cokelat"", ""namaKomoditas"": ""Padi Sawah"", ""kadarPestisida"": ""300"", ""satuanPestisida"": ""g/ha"", ""latinHamaKomoditas"": ""Nilaparvata lugens (300 g/ha)""}, {""hamaKomoditas"": ""Walang Sangit"", ""namaKomoditas"": ""Padi Sawah"", ""kadarPestisida"": ""250-300"", ""satuanPestisida"": ""g/ha"", ""latinHamaKomoditas"": ""Leptocorysa oratorius (250 - 300 g/ha)""}, {""hamaKomoditas"": ""Kutu Kebul"", ""namaKomoditas"": ""Cabai"", ""kadarPestisida"": ""300"", ""satuanPestisida"": ""g/ha"", ""latinHamaKomoditas"": ""Bemisia tabaci (300 g/ha)""}]"
FICAZ 25 SP,01010120237998,Insektisida,racun kontak dan lambung berbentuk tepung yang dapat larut dalam air,Nitenpiram 25 %,ROYAL AGRO INDONESIA,PT.,Pestisida Sintetik - Permohonan Izin Tetap Baru Kimia Umum,Pengelola Tanaman,Padi,2024-03-04,2029-03-04,0,0,0,0017a8a7-18cd-4616-ad55-0c7e18c70875,"[{""namaBahan"": ""Nitenpiram"", ""kadarBahan"": ""25"", ""satuanBahan"": ""%""}]","[{""hamaKomoditas"": ""Wereng batang coklat"", ""namaKomoditas"": ""Padi"", ""kadarPestisida"": ""1"", ""satuanPestisida"": ""g/l"", ""latinHamaKomoditas"": ""Nilaparvata lugens""}]"
ALFA 30 EC,06090120093514,Pestisida Pengendalian Vektor Penyakit Pada Manusia,racun kontak dan lambung berbentuk pekatan yang dapat diemulsikan,Alfa sipermetrin 30 g/l,KATAYA ABADI,PT.,Pestisida Sintetik - Permohonan Izin Tetap Ulang Ganjil,,Di dalam dan di luar ruangan,2024-08-09,2029-08-09,0,0,0,001b48c6-8017-46df-9805-6feb0b7f112d,"[{""namaBahan"": ""Alfa sipermetrin"", ""kadarBahan"": ""30"", ""satuanBahan"": ""g/l""}]","[{""hamaKomoditas"": ""nyamuk vektor DBD"", ""namaKomoditas"": ""Di dalam dan di luar ruangan"", ""kadarPestisida"": ""75"", ""satuanPestisida"": ""ml/ha"", ""latinHamaKomoditas"": ""Aedes aegypti (75 ml/ha)\n\nKalimat peringatan:\nTidak boleh digunakan oleh perorangan, hanya digunakan oleh petugas Dinas Kesehatan/pest control\n""}, {""hamaKomoditas"": ""nyamuk vektor filariasis"", ""namaKomoditas"": ""Di dalam dan di luar ruangan"", ""kadarPestisida"": ""93,75"", ""satuanPestisida"": ""ml/ha"", ""latinHamaKomoditas"": ""Culex quinquefasciatus (93,75 ml/ha)""}]"
TURBO UP GOLD 525 SL,01030120124260,Herbisida,"sistemik purna tumbuh
berbentuk larutan dalam air",Isopropilamina glifosat 525 g/l,BERBAK AGRO SEJATI,PT.,Pestisida Sintetik - Permohonan Izin Tetap Ulang Genap,,Kelapa Sawit (TBM),2022-10-04,2027-10-04,0,1,0,001b69de-c46f-4346-b9ae-718fdd21d7ec,"[{""namaBahan"": ""Isopropilamina glifosat"", ""kadarBahan"": ""525"", ""satuanBahan"": ""g/l""}]","[{""hamaKomoditas"": ""Gulma golongan rumput"", ""namaKomoditas"": ""Kelapa Sawit (TBM)"", ""kadarPestisida"": ""0.75 - 1.5"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Ottochola nodosa  0.75 - 1.5 l/ha""}, {""hamaKomoditas"": ""Gulma berdaun lebar"", ""namaKomoditas"": ""Kelapa Sawit (TBM)"", ""kadarPestisida"": ""0.75 - 1.5"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Clidemia hirta  0.75 - 1.5 l/ha""}, {""hamaKomoditas"": ""Gulma berdaun lebar"", ""namaKomoditas"": ""Kelapa Sawit (TBM)"", ""kadarPestisida"": ""0.75 - 1.5"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Ageratum conyzoides  0.75 - 1.5 l/ha""}, {""hamaKomoditas"": ""Gulma berdaun lebar"", ""namaKomoditas"": ""Kelapa Sawit (TBM)"", ""kadarPestisida"": ""0.75 - 1.5"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Melastoma malabatricum  0.75 - 1.5 l/ha""}]"
IGUANA 50 EC,01010120083193,Insektisida,"racun kontak dan lambung berbentuk pekatan 
yang dapat diemulsikan",Emamectin Benzoate 50 g/l,DALZON CHEMICALS INDONESIA,PT.,Pestisida Sintetik - Permohonan Izin Tetap Ulang Ganjil,,Cabai,2023-04-26,2028-04-26,0,0,1,001e9d24-ca87-4471-bb8c-236bff735d4c,"[{""namaBahan"": ""Emamectin Benzoate"", ""kadarBahan"": ""50"", ""satuanBahan"": ""g/l""}, {""namaBahan"": ""Emamectin Benzoate"", ""kadarBahan"": ""50"", ""satuanBahan"": ""g/l""}, {""namaBahan"": ""Emamectin Benzoate"", ""kadarBahan"": ""50"", ""satuanBahan"": ""g/l""}, {""namaBahan"": ""Emamectin Benzoate"", ""kadarBahan"": ""50"", ""satuanBahan"": ""g/l""}, {""namaBahan"": ""Emamectin Benzoate"", ""kadarBahan"": ""50"", ""satuanBahan"": ""g/l""}, {""namaBahan"": ""Emamectin Benzoate"", ""kadarBahan"": ""50"", ""satuanBahan"": ""g/l""}]","[{""hamaKomoditas"": ""ulat buah "", ""namaKomoditas"": ""Cabai "", ""kadarPestisida"": ""0.375"", ""satuanPestisida"": ""ml/l"", ""latinHamaKomoditas"": ""Helicoverpa armigera ""}]"
ETEPHON 85 TC,042018527,Zat Pengatur Tumbuh Tanaman,,Etefon 85 %,CENTA BRASINDO ABADI CHEMICAL INDUSTRY,PT.,Pestisida Sintetik - Permohonan Izin Tetap Ulang Bahan Teknis,,,2023-02-08,2028-02-08,0,0,0,0022f2dc-0408-4113-93d3-2354c52d6ed2,"[{""namaBahan"": ""Etefon"", ""kadarBahan"": ""85"", ""satuanBahan"": ""%""}, {""namaBahan"": ""Etefon"", ""kadarBahan"": ""85"", ""satuanBahan"": ""%""}, {""namaBahan"": ""Etefon"", ""kadarBahan"": ""85"", ""satuanBahan"": ""%""}]","[{""hamaKomoditas"": """", ""namaKomoditas"": """", ""kadarPestisida"": """", ""satuanPestisida"": null, ""latinHamaKomoditas"": """"}]"
NUVATA 270 SL,01030120258974,Herbisida,pratumbuh dan purnatumbuh berbentuk larutan dalam air,Topramezon 270 g/l,ENFARM CROP SCIENCE,PT.,Pestisida Sintetik - Permohonan Izin Tetap Baru Kimia Umum,Pengelola Tanaman,Budidaya jagung,2025-09-26,2030-09-26,0,0,0,004498af-4510-4f30-bcd9-563c2574c4a0,"[{""namaBahan"": ""Topramezon "", ""kadarBahan"": ""270"", ""satuanBahan"": ""g/l""}]","[{""hamaKomoditas"": ""gulma golongan rumput"", ""namaKomoditas"": ""Budidaya jagung"", ""kadarPestisida"": ""116.25 - 271.25"", ""satuanPestisida"": ""ml/ha"", ""latinHamaKomoditas"": ""Digitaria ciliaris  (116,25 - 271,25 ml/ha)  ""}, {""hamaKomoditas"": ""gulma berdaun lebar"", ""namaKomoditas"": ""Budidaya jagung"", ""kadarPestisida"": """", ""satuanPestisida"": ""-"", ""latinHamaKomoditas"": ""Richardia brasiliensis  (116,25 - 271,25 ml/ha)""}, {""hamaKomoditas"": ""gulma berdaun lebar"", ""namaKomoditas"": ""Budidaya jagung"", ""kadarPestisida"": """", ""satuanPestisida"": ""-"", ""latinHamaKomoditas"": ""Commelina benghalensis  (116,25 - 271,25 ml/ha)""}, {""hamaKomoditas"": ""gulma berdaun lebar"", ""namaKomoditas"": ""Budidaya jagung"", ""kadarPestisida"": """", ""satuanPestisida"": ""-"", ""latinHamaKomoditas"": ""Croton hirtus   (116,25 - 271,25 ml/ha)""}, {""hamaKomoditas"": ""gulma berdaun lebar"", ""namaKomoditas"": ""Budidaya jagung"", ""kadarPestisida"": """", ""satuanPestisida"": ""-"", ""latinHamaKomoditas"": ""Ipomoea triloba  (116,25 - 271,25 ml/ha)""}, {""hamaKomoditas"": ""gulma berdaun lebar"", ""namaKomoditas"": ""Budidaya jagung"", ""kadarPestisida"": """", ""satuanPestisida"": ""-"", ""latinHamaKomoditas"": ""Celosia argentea  (116,25 - 271,25 ml/ha)""}, {""hamaKomoditas"": ""gulma berdaun lebar"", ""namaKomoditas"": ""Budidaya jagung"", ""kadarPestisida"": """", ""satuanPestisida"": ""-"", ""latinHamaKomoditas"": ""Cleome rutidosperma  (116,25 - 271,25 ml/ha)""}, {""hamaKomoditas"": ""gulma berdaun lebar"", ""namaKomoditas"": ""Budidaya jagung"", ""kadarPestisida"": ""116.25 - 271.25"", ""satuanPestisida"": ""ml/ha"", ""latinHamaKomoditas"": ""Ageratum conyzoides   (116,25 - 271,25 ml/ha)""}, {""hamaKomoditas"": ""gulma berdaun lebar"", ""namaKomoditas"": ""Budidaya jagung"", ""kadarPestisida"": """", ""satuanPestisida"": ""-"", ""latinHamaKomoditas"": ""Borreria alata   (116,25 - 271,25 ml/ha)""}, {""hamaKomoditas"": ""gulma berdaun lebar"", ""namaKomoditas"": ""Budidaya jagung"", ""kadarPestisida"": """", ""satuanPestisida"": ""-"", ""latinHamaKomoditas"": ""Synedrella nodiflora  (116,25 - 271,25 ml/ha) ""}, {""hamaKomoditas"": ""gulma berdaun lebar"", ""namaKomoditas"": ""Budidaya jagung"", ""kadarPestisida"": """", ""satuanPestisida"": ""-"", ""latinHamaKomoditas"": ""Calopogonium mucunoides  (116,25 - 271,25 ml/ha) ""}, {""hamaKomoditas"": ""gulma berdaun lebar"", ""namaKomoditas"": ""Budidaya jagung"", ""kadarPestisida"": """", ""satuanPestisida"": ""-"", ""latinHamaKomoditas"": ""Phyllanthus niruri  (116,25 - 271,25 ml/ha)""}, {""hamaKomoditas"": ""gulma berdaun lebar"", ""namaKomoditas"": ""Budidaya jagung"", ""kadarPestisida"": """", ""satuanPestisida"": ""-"", ""latinHamaKomoditas"": ""Amaranthus spinosus  (116,25 - 271,25 ml/ha)  ""}]"
BERSIHTOP 200 SL,01030120269339,Herbisida,"non selektif, kontak dan sedikit sistemik, purnatumbuh berbentuk larutan dalam air",amonium glufosinat 200 g/l,TIGA MUARA EMAS MAKMUR,PT.,Pestisida Sintetik - Permohonan Izin Tetap Baru Kimia Umum,Pengelola Tanaman,Budidaya kelapa sawit (TBM),2026-04-20,2031-04-20,0,0,0,005385d0-b66f-4b0c-bd8b-42af8e02b7e6,"[{""namaBahan"": ""amonium glufosinat"", ""kadarBahan"": ""200"", ""satuanBahan"": ""g/l""}]","[{""hamaKomoditas"": ""gulma golongan rumput"", ""namaKomoditas"": ""Budidaya kelapa sawit (TBM)"", ""kadarPestisida"": ""1 - 3"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Axonopus compressus (1 - 3 l/ha)""}, {""hamaKomoditas"": ""gulma golongan rumput"", ""namaKomoditas"": ""Budidaya kelapa sawit (TBM)"", ""kadarPestisida"": ""1 - 3"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Paspalum conjugatum (1 - 3 l/ha)""}, {""hamaKomoditas"": ""gulma golongan rumput"", ""namaKomoditas"": ""Budidaya kelapa sawit (TBM)"", ""kadarPestisida"": ""1 - 3"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Imperata cylindrica (1 - 3 l/ha)""}, {""hamaKomoditas"": ""gulma golongan rumput"", ""namaKomoditas"": ""Budidaya kelapa sawit (TBM)"", ""kadarPestisida"": ""1 - 3"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Ischaemum timorense (1 - 3 l/ha)""}, {""hamaKomoditas"": ""gulma golongan rumput"", ""namaKomoditas"": ""Budidaya kelapa sawit (TBM)"", ""kadarPestisida"": ""1 - 3"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Ischaemum rugosum (1 - 3 l/ha)""}, {""hamaKomoditas"": ""gulma golongan rumput"", ""namaKomoditas"": ""Budidaya kelapa sawit (TBM)"", ""kadarPestisida"": ""1 - 3"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Ottochloa nodosa (1 - 3 l/ha)""}, {""hamaKomoditas"": ""gulma berdaun lebar "", ""namaKomoditas"": ""Budidaya kelapa sawit (TBM)"", ""kadarPestisida"": ""1 - 3"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Borreria alata (1 - 3 l/ha)""}, {""hamaKomoditas"": ""gulma berdaun lebar "", ""namaKomoditas"": ""Budidaya kelapa sawit (TBM)"", ""kadarPestisida"": ""1 - 3"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Ageratum conyzoides (1 - 3 l/ha)""}]"
