nama_asli,nama_kanonik,dasar,perlu_tinjau,pendaftaran
PT. CENTA BRASINDO ABADI CHEMICAL INDUSTRY,PT. CENTA BRASINDO ABADI CHEMICAL INDUSTRY,kanonik,,216
PT. RAINBOW AGROSCIENCES,PT. RAINBOW AGROSCIENCES,kanonik,,182
PT. SARI KRESNA KIMIA,PT. SARI KRESNA KIMIA,kanonik,,162
PT. TIGA MUARA EMAS MAKMUR,PT. TIGA MUARA EMAS MAKMUR,kanonik,,149
PT. SINAR GENERAL INDUSTRIES,PT. SINAR GENERAL INDUSTRIES,kanonik,,146
PT. MULTI SARANA INDOTANI,PT. MULTI SARANA INDOTANI,kanonik,,138
PT. DELTA GIRI WACANA,PT. DELTA GIRI WACANA,kanonik,,129
PT. PRIMA KARYA BERJAYA,PT. PRIMA KARYA BERJAYA,kanonik,,102
MEST INDONESIY,PT. MEST INDONESIY,ejaan/kapitalisasi/spasi,,100
PT. DELTAGRO MULIA SEJATI,PT. DELTAGRO MULIA SEJATI,kanonik,,91
PT. SYNGENTA INDONESIA,PT. SYNGENTA INDONESIA,kanonik,,89
CV. SAPROTAN UTAMA,CV. SAPROTAN UTAMA,kanonik,,87
PT. ADVANSIA INDOTANI,PT. ADVANSIA INDOTANI,kanonik,,86
BEHN MEYER AGRICARE,PT. BEHN MEYER AGRICARE,ejaan/kapitalisasi/spasi,,83
PT. PETROSIDA GRESIK,PT. Petrosida Gresik,ejaan/kapitalisasi/spasi,,81
PT. PETROKIMIA KAYAKU,PT Petrokimia Kayaku,tanda-baca,,80
PT. UPL INDONESIA,PT. UPL INDONESIA,kanonik,,78
PT.MEROKE TETAP JAYA,PT.MEROKE TETAP JAYA,kanonik,,77
PT. MAXXI AGRI INDONESIA,PT. MAXXI AGRI INDONESIA,kanonik,,74
PT. KENSO INDONESIA,PT. KENSO INDONESIA,kanonik,,71
PETROKIMIA GRESIK,PT Petrokimia Gresik,ejaan/kapitalisasi/spasi,,70
PT. REJEKI INDO AGROTEC,PT. REJEKI INDO AGROTEC,kanonik,,70
CV. AGRO JAYA INDONESIA,CV. AGRO JAYA INDONESIA,kanonik,,69
SAPROTAN UTAMA,CV. SAPROTAN UTAMA,ejaan/kapitalisasi/spasi,,66
PT. BIOTIS AGRINDO,PT. BIOTIS AGRINDO,kanonik,,65
PT. INDOIN BUSINESS GROUP,PT. INDOIN BUSINESS GROUP,kanonik,,65
PT. Agro Bumi Timur,PT. Agro Bumi Timur,kanonik,,64
PT. DHARMA GUNA WIBAWA,PT. DHARMA GUNA WIBAWA,kanonik,,64
MEROKE TETAP JAYA,PT.MEROKE TETAP JAYA,ejaan/kapitalisasi/spasi,,64
PT. BINA GUNA KIMIA,PT. BINA GUNA KIMIA,kanonik,,63
PT. BAYER INDONESIA,PT. Bayer Indonesia,ejaan/kapitalisasi/spasi,,63
PT. MAJU MAKMUR UTOMO,PT. Maju Makmur Utomo,ejaan/kapitalisasi/spasi,,58
MULTI NIAGA NUSANTARA INDONESIA,PT. MULTI NIAGA NUSANTARA INDONESIA,ejaan/kapitalisasi/spasi,,57
PT. AGRICULTURE CONSTRUCTION,PT. AGRICULTURE CONSTRUCTION,kanonik,,56
PT. ETONG CHEMICAL INDONESIA,PT. ETONG CHEMICAL INDONESIA,kanonik,,56
PT. CATUR AGRODAYA MANDIRI,PT. CATUR AGRODAYA MANDIRI,kanonik,,54
PERMATA AGRO PERSADA,PT. Permata Agro Persada,ejaan/kapitalisasi/spasi,,53
MAJU MAKMUR UTOMO,PT. Maju Makmur Utomo,ejaan/kapitalisasi/spasi,,52
PT. BEHN MEYER AGRICARE,PT. BEHN MEYER AGRICARE,kanonik,,51
PT. ROYAL AGRO INDONESIA,PT. ROYAL AGRO INDONESIA,kanonik,,51
SANTANI SEJAHTERA,PT. SANTANI SEJAHTERA,ejaan/kapitalisasi/spasi,,51
SENTANA ADIDAYA PRATAMA,PT. SENTANA ADIDAYA PRATAMA,ejaan/kapitalisasi/spasi,,49
SASCO INDONESIA,PT. Sasco Indonesia,ejaan/kapitalisasi/spasi,,48
CV. MULTI AGRO JAYA UTAMA,CV. Multi Agro Jaya Utama,ejaan/kapitalisasi/spasi,,46
DHARMA AYU TANI,PT. Dharma Ayu Tani,ejaan/kapitalisasi/spasi,,45
SAPROTAN UTAMA NUSANTARA,PT. SAPROTAN UTAMA NUSANTARA,ejaan/kapitalisasi/spasi,,45
RAJA GROUP INDONESIA,PT. RAJA GROUP INDONESIA,ejaan/kapitalisasi/spasi,,43
CIPTA MAKMUR PERTIWI,PT. Cipta Makmur Pertiwi,ejaan/kapitalisasi/spasi,,41
JADI MAS,PT JADI MAS,ejaan/kapitalisasi/spasi,,40
PT. INDAGRO,PT. INDAGRO,kanonik,,40
MULTI SARANA INDOTANI,PT. MULTI SARANA INDOTANI,ejaan/kapitalisasi/spasi,,40
WILMAR CHEMICAL INDONESIA,PT. WILMAR CHEMICAL INDONESIA,ejaan/kapitalisasi/spasi,,40
KERTOPATEN KENCANA,PT Kertopaten Kencana,ejaan/kapitalisasi/spasi,,38
AGROFARM NUSA RAYA,PT. Agrofarm Nusa Raya,ejaan/kapitalisasi/spasi,,37
PT. MITRA KREASIDHARMA,PT. MITRA KREASIDHARMA,kanonik,,37
PT. MEST INDONESIY,PT. MEST INDONESIY,kanonik,,34
PT. KRISTALINDO KARUNIA INTERNASIONAL,PT. Kristalindo Karunia Internasional,ejaan/kapitalisasi/spasi,,33
AGROTAMA TUNAS SARANA,PT. Agrotama Tunas Sarana,ejaan/kapitalisasi/spasi,,32
PUPUK KALIMANTAN TIMUR,PT Pupuk Kalimantan Timur,ejaan/kapitalisasi/spasi,,31
PT. ARTHA MAKMUR ABADI,PT. ARTHA MAKMUR ABADI,kanonik,,31
PT. ROLIMEX KIMIA NUSAMAS,PT. Rolimex Kimia Nusamas,ejaan/kapitalisasi/spasi,,31
PT. TANAMAN MAKMUR MANDIRI,PT. TANAMAN MAKMUR MANDIRI,kanonik,,31
CV. SARAREA PANEN RAYA,CV. SARAREA PANEN RAYA,kanonik,,30
PUPUT TANI MANDIRI,PT. PUPUT TANI MANDIRI,ejaan/kapitalisasi/spasi,,29
ANTARIKSA NUSANTARA INDONESIA GROUP,PT.Antariksa Nusantara Indonesia Group,ejaan/kapitalisasi/spasi,,29
UD Primagro,UD Primagro,kanonik,,29
PT AGRI HIKAY INDONESIA,PT AGRI HIKAY INDONESIA,kanonik,,28
PT. SAPROTAN UTAMA NUSANTARA,PT. SAPROTAN UTAMA NUSANTARA,kanonik,,28
CV. ARTHA BUANA MANDIRI,CV. ARTHA BUANA MANDIRI,kanonik,,27
PT. AGROTECH PESTICIDE INDUSTRY,PT. AGROTECH PESTICIDE INDUSTRY,kanonik,,27
PT. ASIA GALA KIMIA,PT. ASIA GALA KIMIA,kanonik,,26
DUPAN ANUGERAH LESTARI,PT. Dupan Anugerah Lestari,ejaan/kapitalisasi/spasi,,26
NUSA PALAPA GEMILANG,PT. NUSA PALAPA GEMILANG,ejaan/kapitalisasi/spasi,,26
PT. SANTANI AGRO MANDIRI,PT. SANTANI AGRO MANDIRI,kanonik,,26
PUPUK KUJANG,PT Pupuk Kujang,ejaan/kapitalisasi/spasi,,25
DITYA CHEMINDO,PT. DITYA CHEMINDO,ejaan/kapitalisasi/spasi,,25
DYRIZ INDONESIA,PT. DYRIZ INDONESIA,ejaan/kapitalisasi/spasi,,25
PRIMA AGRO TECH,PT. PRIMA AGRO TECH,ejaan/kapitalisasi/spasi,,25
PT. Permata Agro Persada,PT. Permata Agro Persada,kanonik,,25
PETROSIDA GRESIK,PT. Petrosida Gresik,ejaan/kapitalisasi/spasi,,25
JAVAMAS AGROPHOS,CV. Javamas Agrophos,ejaan/kapitalisasi/spasi,,24
AGRO TRADISI,PT. AGRO TRADISI,ejaan/kapitalisasi/spasi,,24
PT. HANAMPI SEJAHTERA KAHURIPAN,PT. HANAMPI SEJAHTERA KAHURIPAN,kanonik,,24
CV. GRAHA AGRO,CV. GRAHA AGRO,kanonik,,23
GREENLIFE BIOSCIENCE,PT Greenlife Bioscience,ejaan/kapitalisasi/spasi,,23
PT. SENTANA ADIDAYA PRATAMA,PT. SENTANA ADIDAYA PRATAMA,kanonik,,23
HANAMPI SEJAHTERA KAHURIPAN,PT. HANAMPI SEJAHTERA KAHURIPAN,ejaan/kapitalisasi/spasi,,22
PT. Sasco Indonesia,PT. Sasco Indonesia,kanonik,,22
CV. GRAHA AGRITECH PRIMA,CV. GRAHA AGRITECH PRIMA,kanonik,,21
MULYO TANI MAKMUR,CV. Mulyo Tani Makmur,beda-bentuk-badan,ya,21
PT. HANEARL SCIENCE INDONESIA,PT. HANEARL SCIENCE INDONESIA,kanonik,,21
PT. TANI MAS SUBUR,PT. TANI MAS SUBUR,kanonik,,21
AGRO JAYA INDONESIA,CV. AGRO JAYA INDONESIA,ejaan/kapitalisasi/spasi,,20
TRUBUS PRIMA,CV. TRUBUS PRIMA,ejaan/kapitalisasi/spasi,,20
ANUGERAH PUPUK MAKMUR,PT ANUGERAH PUPUK MAKMUR,ejaan/kapitalisasi/spasi,,20
PT. EXINDO RAHARJA PRATAMA,PT Exindo Raharja Pratama,tanda-baca,,20
KALATHAM,PT Kalatham,ejaan/kapitalisasi/spasi,,20
PT. MESTIKA NUSANTARA AGROKIMIA,PT. MESTIKA NUSANTARA AGROKIMIA,kanonik,,20
PT. SUMANS MANDIRI SEJAHTERA,PT. SUMANS MANDIRI SEJAHTERA,kanonik,,20
PT. WILMAR CHEMICAL INDONESIA,PT. WILMAR CHEMICAL INDONESIA,kanonik,,20
