nama_asli,nama_kanonik,pendaftaran,sumber
PT. CENTA BRASINDO ABADI CHEMICAL INDUSTRY,PT. CENTA BRASINDO ABADI CHEMICAL INDUSTRY,216,pestisida
PT. RAINBOW AGROSCIENCES,PT. RAINBOW AGROSCIENCES,182,pestisida
PT. SARI KRESNA KIMIA,PT. SARI KRESNA KIMIA,162,pestisida+pupuk-legacy
PT. TIGA MUARA EMAS MAKMUR,PT. TIGA MUARA EMAS MAKMUR,149,pestisida
PT. SINAR GENERAL INDUSTRIES,PT. SINAR GENERAL INDUSTRIES,146,pestisida+pupuk-legacy
PT. GODREJ CONSUMER PRODUCTS INDONESIA,PT. GODREJ CONSUMER PRODUCTS INDONESIA,144,pestisida
PT. INTI EVERSPRING INDONESIA,PT. INTI EVERSPRING INDONESIA,143,pestisida
PT. FUMAKILLA INDONESIA,PT. FUMAKILLA INDONESIA,142,pestisida
PT. MULTI SARANA INDOTANI,PT. MULTI SARANA INDOTANI,138,pestisida
PT. DALZON CHEMICALS INDONESIA,PT. DALZON CHEMICALS INDONESIA,132,pestisida
PT. DELTA GIRI WACANA,PT. DELTA GIRI WACANA,129,pestisida
PT. BASF INDONESIA,PT. BASF INDONESIA,106,pestisida
PT. SOLO LOGO INDONESIA,PT. SOLO LOGO INDONESIA,104,pestisida
PT. PRIMA KARYA BERJAYA,PT. PRIMA KARYA BERJAYA,102,pestisida
MEST INDONESIY,PT. MEST INDONESIY,100,pupuk
PT. NUFARM INDONESIA,PT. NUFARM INDONESIA,96,pestisida
PT. DELTAGRO MULIA SEJATI,PT. DELTAGRO MULIA SEJATI,91,pestisida
PT. SYNGENTA INDONESIA,PT. SYNGENTA INDONESIA,89,pestisida
CV. SAPROTAN UTAMA,CV. SAPROTAN UTAMA,87,pestisida+pupuk-legacy
PT. ADVANSIA INDOTANI,PT. ADVANSIA INDOTANI,86,pestisida
PT. AGRO JAYA INDUSTRI,PT. AGRO JAYA INDUSTRI,83,pestisida
BEHN MEYER AGRICARE,PT. BEHN MEYER AGRICARE,83,pupuk
PT. PETROSIDA GRESIK,PT. Petrosida Gresik,81,pestisida
