principal,sektor,jml_produk_pupuk,jml_produk_pestisida,jml_produk_total,rincian_jenis_pestisida,nama_varian_lain
PT. CENTA BRASINDO ABADI CHEMICAL INDUSTRY,Pupuk+Pestisida,2,216,218,Herbisida:109; Insektisida:74; Fungisida:21; Zat Pengatur Tumbuh Tanaman:5; Moluskisida:4; Rodentisida:3,CENTA BRASINDO ABADI CHEMICAL INDUSTRY
PT. RAINBOW AGROSCIENCES,Pupuk+Pestisida,1,182,183,Herbisida:77; Insektisida:62; Fungisida:34; Zat Pengatur Tumbuh Tanaman:5; Moluskisida:1; Akarisida:1; Nematisida:1; Bakterisida:1,RAINBOW AGROSCIENCES
PT. SARI KRESNA KIMIA,Pupuk+Pestisida,20,161,181,Herbisida:63; Insektisida:63; Fungisida:24; Zat Pengatur Tumbuh Tanaman:4; Rodentisida:3; Moluskisida:2; Pestisida lain-lain:1; Bakterisida:1,SARI KRESNA KIMIA
PT. MULTI SARANA INDOTANI,Pupuk+Pestisida,42,138,180,Herbisida:55; Insektisida:43; Fungisida:29; Zat Pengatur Tumbuh Tanaman:7; Rodentisida:2; Akarisida:2,MULTI SARANA INDOTANI; PT.MULTI SARANA INDOTANI
PT. SINAR  GENERAL INDUSTRIES,Pupuk+Pestisida,16,141,157,Herbisida:59; Insektisida:43; Fungisida:26; Pestisida Pengendalian Vektor Penyakit Pada Manusia:4; Moluskisida:4; Rodentisida:2; Zat Pengatur Tumbuh Tanaman:2; Bahan pengawet kayu:1,PT. SINAR GENERAL INDUSTRIES; SINAR GENERAL INDUSTRIES
CV. SAPROTAN UTAMA,Pupuk+Pestisida,122,31,153,Insektisida:10; Herbisida:9; Fungisida:6; Zat Pengatur Tumbuh Tanaman:4; Moluskisida:2,SAPROTAN UTAMA
PT. TIGA MUARA EMAS MAKMUR,Pupuk+Pestisida,2,149,151,Herbisida:90; Insektisida:41; Fungisida:10; Moluskisida:3; Zat Pengatur Tumbuh Tanaman:3; Rodentisida:2,TIGA MUARA EMAS MAKMUR
PT. GODREJ CONSUMER PRODUCTS INDONESIA,Pestisida,0,144,144,Pestisida Rumah Tangga:138; Repelen:2; Rodentisida:2; Insektisida:2,
PT. INTI EVERSPRING INDONESIA,Pestisida,0,143,143,Insektisida:99; Herbisida:31; Fungisida:12; Moluskisida:1,
PT. FUMAKILLA INDONESIA,Pestisida,0,142,142,Pestisida Rumah Tangga:117; Insektisida:10; Repelen:9; Pestisida Pengendalian Vektor Penyakit Pada Manusia:3; Rodentisida:3,
