pemegang_pendaftaran,jumlah_produk,rincian_jenis
PT. CENTA BRASINDO ABADI CHEMICAL INDUSTRY,216,Herbisida:109; Insektisida:74; Fungisida:21; Zat Pengatur Tumbuh Tanaman:5; Moluskisida:4; Rodentisida:3
PT. RAINBOW AGROSCIENCES,182,Herbisida:77; Insektisida:62; Fungisida:34; Zat Pengatur Tumbuh Tanaman:5; Moluskisida:1; Akarisida:1; Nematisida:1; Bakterisida:1
PT. SARI KRESNA KIMIA,161,Herbisida:63; Insektisida:63; Fungisida:24; Zat Pengatur Tumbuh Tanaman:4; Rodentisida:3; Moluskisida:2; Pestisida lain-lain:1; Bakterisida:1
PT. TIGA MUARA EMAS MAKMUR,149,Herbisida:90; Insektisida:41; Fungisida:10; Moluskisida:3; Zat Pengatur Tumbuh Tanaman:3; Rodentisida:2
PT. GODREJ CONSUMER PRODUCTS INDONESIA,144,Pestisida Rumah Tangga:138; Repelen:2; Rodentisida:2; Insektisida:2
PT. INTI EVERSPRING INDONESIA,143,Insektisida:99; Herbisida:31; Fungisida:12; Moluskisida:1
PT. FUMAKILLA INDONESIA,142,Pestisida Rumah Tangga:117; Insektisida:10; Repelen:9; Pestisida Pengendalian Vektor Penyakit Pada Manusia:3; Rodentisida:3
PT. SINAR GENERAL INDUSTRIES,141,Herbisida:59; Insektisida:43; Fungisida:26; Pestisida Pengendalian Vektor Penyakit Pada Manusia:4; Moluskisida:4; Rodentisida:2; Zat Pengatur Tumbuh Tanaman:2; Bahan pengawet kayu:1
PT. MULTI SARANA INDOTANI,138,Herbisida:55; Insektisida:43; Fungisida:29; Zat Pengatur Tumbuh Tanaman:7; Rodentisida:2; Akarisida:2
PT. DALZON CHEMICALS INDONESIA,132,Insektisida:56; Herbisida:53; Fungisida:17; Zat Pengatur Tumbuh Tanaman:4; Rodentisida:1; Moluskisida:1
PT. DELTA GIRI WACANA,129,Insektisida:50; Herbisida:46; Fungisida:21; Moluskisida:5; Rodentisida:3; Zat Pengatur Tumbuh Tanaman:2; Bakterisida:1; Pestisida Pengendalian Vektor Penyakit Pada Manusia:1
PT. BASF INDONESIA,106,Herbisida:36; Insektisida:30; Fungisida:27; Pestisida Pengendalian Vektor Penyakit Pada Manusia:8; Rodentisida:3; Bahan pengawet kayu:1; Pestisida Rumah Tangga:1
PT. SOLO LOGO INDONESIA,104,Herbisida:39; Insektisida:36; Fungisida:19; Zat Pengatur Tumbuh Tanaman:5; Moluskisida:4; Akarisida:1
PT. PRIMA KARYA BERJAYA,102,Herbisida:51; Insektisida:26; Fungisida:12; Zat Pengatur Tumbuh Tanaman:4; Moluskisida:4; Rodentisida:4; Nematisida:1
PT. NUFARM INDONESIA,96,Herbisida:36; Insektisida:35; Fungisida:12; Zat Pengatur Tumbuh Tanaman:11; Bakterisida:1; Pestisida Rumah Tangga:1
PT. DELTAGRO MULIA SEJATI,91,Insektisida:43; Herbisida:19; Fungisida:18; Zat Pengatur Tumbuh Tanaman:7; Moluskisida:3; Rodentisida:1
PT. SYNGENTA INDONESIA,89,Insektisida:31; Fungisida:27; Herbisida:16; Pestisida Pengendalian Vektor Penyakit Pada Manusia:5; Pestisida Rumah Tangga:4; Rodentisida:3; Zat Pengatur Tumbuh Tanaman:2; Bahan pengawet kayu:1
PT. ADVANSIA INDOTANI,86,Insektisida:33; Herbisida:28; Fungisida:20; Bakterisida:2; Akarisida:1; Moluskisida:1; Rodentisida:1
PT. AGRO JAYA INDUSTRI,83,Herbisida:39; Insektisida:31; Fungisida:8; Pestisida Pengendalian Vektor Penyakit Pada Manusia:4; Pestisida untuk peternakan:1
PT. PETROSIDA GRESIK,81,Herbisida:32; Insektisida:29; Fungisida:13; Zat Pengatur Tumbuh Tanaman:4; Rodentisida:1; Moluskisida:1; Akarisida:1
PT. PETROKIMIA KAYAKU,80,Insektisida:30; Herbisida:28; Fungisida:13; Rodentisida:3; Bahan pengawet kayu:2; Zat Pengatur Tumbuh Tanaman:2; Atraktan / Feromon:1; Moluskisida:1
PT. UPL INDONESIA,78,Herbisida:26; Insektisida:25; Fungisida:20; Fumigan:4; Pestisida Pengendalian Vektor Penyakit Pada Manusia:1; Moluskisida:1; Pestisida Rumah Tangga:1
PT. MAXXI AGRI INDONESIA,74,Herbisida:40; Insektisida:17; Fungisida:14; Zat Pengatur Tumbuh Tanaman:2; Akarisida:1
PT. KENSO INDONESIA,71,Insektisida:28; Herbisida:27; Fungisida:13; Moluskisida:2; Zat Pengatur Tumbuh Tanaman:1
PT. REJEKI INDO AGROTEC,70,Herbisida:36; Insektisida:21; Fungisida:6; Zat Pengatur Tumbuh Tanaman:3; Rodentisida:2; Moluskisida:2
PT. INDO-SINO AGROCHEMICAL,70,Insektisida:32; Herbisida:28; Fungisida:8; Zat Pengatur Tumbuh Tanaman:2
CV. AGRO JAYA INDONESIA,69,Herbisida:30; Insektisida:23; Fungisida:11; Zat Pengatur Tumbuh Tanaman:3; Bakterisida:2
PT. CORTEVA AGRISCIENCE MANUFACTURING INDONESIA,66,Herbisida:31; Insektisida:19; Fungisida:14; Bahan pengawet kayu:1; Nematisida:1
PT. BIOTIS AGRINDO,65,Insektisida:29; Herbisida:22; Fungisida:11; Rodentisida:1; Zat Pengatur Tumbuh Tanaman:1; Moluskisida:1
PT. INDOIN BUSINESS GROUP,65,Insektisida:25; Herbisida:19; Fungisida:12; Zat Pengatur Tumbuh Tanaman:4; Akarisida:1; Moluskisida:1; Fumigan:1; Rodentisida:1; Bakterisida:1
PT. Agro Bumi Timur,64,Insektisida:27; Fungisida:19; Herbisida:12; Zat Pengatur Tumbuh Tanaman:5; Pestisida lain-lain:1
PT. DHARMA GUNA WIBAWA,64,Herbisida:22; Insektisida:20; Fungisida:10; Pestisida Pengendalian Vektor Penyakit Pada Manusia:5; Moluskisida:3; Bahan pengawet kayu:2; Zat Pengatur Tumbuh Tanaman:1; Rodentisida:1
PT. BLUE CUBE INDONESIA,63,Pestisida lain-lain:39; Bakterisida:24
PT. BAYER INDONESIA,63,Insektisida:19; Fungisida:18; Herbisida:15; Zat Pengatur Tumbuh Tanaman:4; Pestisida Pengendalian Vektor Penyakit Pada Manusia:4; Moluskisida:1; Nematisida:1; Akarisida:1
PT. BINA GUNA KIMIA,63,Insektisida:36; Herbisida:13; Fungisida:11; Akarisida:1; Pestisida Pengendalian Vektor Penyakit Pada Manusia:1; Bahan pengawet kayu:1
PT. MAJU MAKMUR UTOMO,58,Insektisida:24; Herbisida:8; Fungisida:8; Zat Pengatur Tumbuh Tanaman:6; Pestisida Pengendalian Vektor Penyakit Pada Manusia:5; Moluskisida:3; Bahan pengawet kayu:2; Bakterisida:1; Pestisida Rumah Tangga:1
PT. AGRICULTURE CONSTRUCTION,56,Insektisida:18; Herbisida:16; Fungisida:9; Zat Pengatur Tumbuh Tanaman:5; Rodentisida:3; Bahan pengawet kayu:2; Bakterisida:1; Pestisida Pengendalian Vektor Penyakit Pada Manusia:1; Moluskisida:1
PT. ETONG CHEMICAL INDONESIA,56,Insektisida:21; Herbisida:20; Fungisida:10; Zat Pengatur Tumbuh Tanaman:2; Rodentisida:1; Akarisida:1; Moluskisida:1
PT. ROYAL AGRO INDONESIA,51,Herbisida:16; Insektisida:15; Fungisida:15; Zat Pengatur Tumbuh Tanaman:2; Pestisida Pengendalian Vektor Penyakit Pada Manusia:1; Akarisida:1; Rodentisida:1
PT. DA MING INDONESIA,51,Herbisida:23; Insektisida:17; Fungisida:5; Zat Pengatur Tumbuh Tanaman:4; Moluskisida:2
PT. DANKEN INDONESIA,49,Insektisida:17; Herbisida:14; Fungisida:14; Zat Pengatur Tumbuh Tanaman:2; Pestisida lain-lain:1; Moluskisida:1
PT. SAMUDRA UTAMA NARAPATI,47,Herbisida:24; Insektisida:15; Fungisida:5; Zat Pengatur Tumbuh Tanaman:2; Moluskisida:1
PT. YANNO AGRO SCIENCE INDONESIA,47,Insektisida:19; Herbisida:13; Fumigan:5; Fungisida:4; Moluskisida:4; Zat Pengatur Tumbuh Tanaman:1; Nematisida:1
CV. MULTI AGRO JAYA UTAMA,46,Herbisida:38; Fungisida:4; Insektisida:2; Zat Pengatur Tumbuh Tanaman:2
PT. KINGAGROOT BIOTECHNOLOGY INDONESIA,46,Herbisida:39; Insektisida:6; Fungisida:1
PT. SANTANI AGRO PERKASA,46,Insektisida:18; Herbisida:16; Fungisida:5; Zat Pengatur Tumbuh Tanaman:3; Moluskisida:2; Rodentisida:1; Akarisida:1
PT. CATUR AGRODAYA MANDIRI,43,Insektisida:16; Fungisida:14; Herbisida:10; Fumigan:1; Zat Pengatur Tumbuh Tanaman:1; Bahan pengawet kayu:1
PT. ALBAUGH AGRO INDONESIA,43,Insektisida:19; Fungisida:14; Herbisida:10
PT. ADIL MAKMUR FAJAR,41,Herbisida:27; Insektisida:8; Fungisida:3; Akarisida:1; Zat Pengatur Tumbuh Tanaman:1; Moluskisida:1
PT. TRIDA KIMIA SAKTI,40,Insektisida:19; Fungisida:10; Herbisida:7; Moluskisida:4
PT. INDAGRO,40,Insektisida:22; Fungisida:9; Herbisida:6; Zat Pengatur Tumbuh Tanaman:2; Akarisida:1
PT. AGRORISEN INDOMAKMUR CEMERLANG,40,Herbisida:17; Insektisida:11; Fungisida:10; Zat Pengatur Tumbuh Tanaman:2
PT. BERBAK AGRO SEJATI,39,Herbisida:24; Insektisida:13; Fungisida:1; Zat Pengatur Tumbuh Tanaman:1
PT. JAYA WARINDO ABADI,39,Fungisida:38; Pestisida lain-lain:1
PT. FORAGRO MITRA SEJATI,38,Herbisida:23; Insektisida:9; Fungisida:4; Zat Pengatur Tumbuh Tanaman:1; Moluskisida:1
PT. PERSADA AGRO SUKSES,38,Insektisida:20; Fungisida:16; Herbisida:2
PT. GLOBAL AGROTECH,37,Insektisida:16; Fungisida:13; Herbisida:5; Zat Pengatur Tumbuh Tanaman:2; Akarisida:1
PT. AGRO SENTOSA RAYA,37,Herbisida:14; Insektisida:13; Fungisida:7; Zat Pengatur Tumbuh Tanaman:1; Bakterisida:1; Moluskisida:1
PT. MITRA KREASIDHARMA,37,Insektisida:26; Herbisida:6; Fungisida:5
PT. BEHN MEYER AGRICARE,37,Insektisida:16; Herbisida:13; Fungisida:6; Rodentisida:1; Nematisida:1
PT. MASCO AGRI GENETICS,36,Insektisida:20; Fungisida:11; Herbisida:5
PT. FUMAKILLA NOMOS,35,Pestisida Rumah Tangga:35
PT. SINAMYANG INDONESIA,35,Herbisida:10; Insektisida:10; Fungisida:8; Zat Pengatur Tumbuh Tanaman:4; Moluskisida:2; Bakterisida:1
PT. AGRO SEJAHTERA INDONESIA,34,Insektisida:17; Fungisida:10; Herbisida:5; Zat Pengatur Tumbuh Tanaman:2
PT. EXCEL MEG INDO,33,Insektisida:22; Fungisida:8; Herbisida:2; Rodentisida:1
PT. KRISTALINDO KARUNIA INTERNASIONAL,33,Insektisida:11; Herbisida:8; Pestisida Rumah Tangga:4; Bahan pengawet kayu:3; Pestisida Pengendalian Vektor Penyakit Pada Manusia:2; Moluskisida:2; Fumigan:1; Zat Pengatur Tumbuh Tanaman:1; Repelen:1
CV. KHARISMA AGRI WIJAYA,33,Insektisida:11; Herbisida:9; Fungisida:8; Akarisida:3; Rodentisida:1; Zat Pengatur Tumbuh Tanaman:1
PT. JIRONA AGRITAMA,32,Insektisida:20; Fungisida:7; Bahan pengawet kayu:2; Herbisida:2; Fumigan:1
PT. PILARQUIM AGROSCIENCE INDONESIA,32,Insektisida:13; Fungisida:10; Herbisida:7; Zat Pengatur Tumbuh Tanaman:1; Bakterisida:1
PT. TANAMAN MAKMUR MANDIRI,31,Herbisida:14; Fungisida:5; Insektisida:5; Zat Pengatur Tumbuh Tanaman:5; Nematisida:1; Rodentisida:1
CV. SAPROTAN UTAMA,31,Insektisida:10; Herbisida:9; Fungisida:6; Zat Pengatur Tumbuh Tanaman:4; Moluskisida:2
PT. ROLIMEX KIMIA NUSAMAS,31,Herbisida:16; Insektisida:8; Fungisida:3; Rodentisida:3; Nematisida:1
PT. TRITUNGGAL ARTHAMAKMUR,30,Bakterisida:29; Fungisida:1
PT. AGROMANNA JAYA LESTARI,30,Insektisida:13; Fungisida:8; Herbisida:8; Zat Pengatur Tumbuh Tanaman:1
PT. TRIBINA TANIKARYA,30,Herbisida:20; Insektisida:6; Fungisida:3; Rodentisida:1
PT. ARTHA MAKMUR ABADI,30,Herbisida:20; Insektisida:8; Fungisida:2
PT. SATYA AGRO INDONESIA,29,Insektisida:13; Fungisida:10; Herbisida:4; Moluskisida:1; Zat Pengatur Tumbuh Tanaman:1
CV. SURYA AGROKEMINDO PERKASA,29,Herbisida:15; Insektisida:9; Fungisida:4; Moluskisida:1
PT. SAPROTAN UTAMA NUSANTARA,28,Herbisida:15; Insektisida:7; Fungisida:4; Zat Pengatur Tumbuh Tanaman:1; Rodentisida:1
PT. CROP CARE INDONESIA,27,Fungisida:13; Herbisida:9; Insektisida:5
PT. AGROTECH PESTICIDE INDUSTRY,27,Herbisida:13; Insektisida:10; Fungisida:3; Zat Pengatur Tumbuh Tanaman:1
TUNASHARAPAN MURNI,27,Insektisida:15; Fungisida:8; Herbisida:3; Pestisida Pengendalian Vektor Penyakit Pada Manusia:1
CV. ARTHA BUANA MANDIRI,27,Insektisida:14; Zat Pengatur Tumbuh Tanaman:6; Fungisida:5; Herbisida:2
PT. AGROKIMINDO KURNIABUANA,27,Insektisida:18; Fungisida:4; Herbisida:3; Zat Pengatur Tumbuh Tanaman:2
PT. ASIA GALA KIMIA,26,Herbisida:14; Insektisida:9; Fungisida:2; Akarisida:1
PT. SANTANI AGRO MANDIRI,26,Herbisida:12; Insektisida:11; Fungisida:2; Bakterisida:1
PT. HERLINA INDAH,26,Repelen:16; Pestisida Rumah Tangga:10
PT. TIARA BUANA MANDIRI,25,Insektisida:13; Herbisida:6; Fungisida:4; Moluskisida:2
PT. ARXADA CHEMICALS INDONESIA,25,Pestisida lain-lain:20; Fungisida:2; Bakterisida:2; Bahan pengawet kayu:1
PT. BAHTERA BONIAGA LESTARI,25,Insektisida:14; Herbisida:6; Fungisida:4; Moluskisida:1
PT. SARI KIMIA UNGGUL,25,Insektisida:15; Fungisida:4; Herbisida:4; Moluskisida:1; Bahan pengawet kayu:1
CV. SARAREA PANEN RAYA,24,Insektisida:11; Fungisida:9; Zat Pengatur Tumbuh Tanaman:3; Moluskisida:1
PT. EASTCHEM AGROSCIENCE INDONESIA,24,Insektisida:10; Herbisida:9; Fungisida:3; Rodentisida:1; Bakterisida:1
CV. AGRO CHEMICA,24,Insektisida:11; Fungisida:4; Zat Pengatur Tumbuh Tanaman:4; Herbisida:3; Rodentisida:1; Moluskisida:1
CV. GRAHA AGRO,23,Herbisida:8; Insektisida:6; Zat Pengatur Tumbuh Tanaman:5; Fungisida:2; Rodentisida:1; Moluskisida:1
PT. QILU CROP SCIENCE,23,Insektisida:14; Herbisida:9
PT. TANI MAS SUBUR,21,Insektisida:6; Fungisida:6; Herbisida:4; Rodentisida:2; Moluskisida:2; Zat Pengatur Tumbuh Tanaman:1
CV. UNI AGRO CHEMICA,21,Insektisida:14; Moluskisida:2; Fungisida:2; Herbisida:1; Bahan pengawet kayu:1; Pestisida untuk peternakan:1
PT. AGRO TERRUM INDONESIA,21,Herbisida:13; Insektisida:4; Fungisida:3; Moluskisida:1
PT. HANEARL SCIENCE INDONESIA,21,Insektisida:11; Fungisida:6; Herbisida:3; Moluskisida:1
PT. MUTIARA AGRO SEJATI,21,Herbisida:13; Insektisida:7; Fungisida:1
PT. EXINDO RAHARJA PRATAMA,20,Insektisida:7; Fungisida:7; Zat Pengatur Tumbuh Tanaman:4; Herbisida:2
PT. SUMANS MANDIRI SEJAHTERA,20,Herbisida:6; Insektisida:5; Moluskisida:3; Zat Pengatur Tumbuh Tanaman:3; Fungisida:2; Rodentisida:1
PT. ZHENGBANG CROP PROTECTION INDONESIA,20,Insektisida:11; Fungisida:5; Herbisida:4
PT. MESTIKA NUSANTARA AGROKIMIA,20,Herbisida:14; Insektisida:4; Moluskisida:1; Fungisida:1
PT. SUNJOY AGRO INDONESIA,19,Insektisida:9; Fungisida:6; Herbisida:2; Bakterisida:2
PT. AGRO GUNA MAKMUR,19,Insektisida:7; Herbisida:4; Fungisida:3; Bahan pengawet kayu:3; Pestisida Pengendalian Vektor Penyakit Pada Manusia:2
PT. JAWA AGRINDO INTERNASIONAL,19,Herbisida:7; Insektisida:7; Fungisida:3; Zat Pengatur Tumbuh Tanaman:2
PT. DOUTA UTAMAN INDONESIA,19,Herbisida:14; Insektisida:3; Fungisida:2
CV. GRAHA AGRITECH PRIMA,19,Insektisida:8; Fungisida:6; Zat Pengatur Tumbuh Tanaman:5
PT. SATYA ALAM SEMESTA,19,Insektisida:12; Fungisida:4; Herbisida:3
PT. CHINA JIANGSU INTERNATIONAL INDONESIA,18,Herbisida:11; Insektisida:6; Fungisida:1
PT. BIOTEK SARANATAMA,18,Pestisida Pengendalian Vektor Penyakit Pada Manusia:4; Insektisida:4; Fumigan:3; Fungisida:2; Herbisida:2; Moluskisida:2; Rodentisida:1
PT. INDO HOECHST,18,Herbisida:12; Insektisida:5; Fungisida:1
PT. TANGGUH AGRO NUSA INDONESIA,18,Insektisida:8; Herbisida:5; Fungisida:2; Moluskisida:1; Rodentisida:1; Zat Pengatur Tumbuh Tanaman:1
PT. RABANA AGRO RESOURCES,18,Herbisida:7; Insektisida:6; Fungisida:2; Bahan pengawet kayu:1; Zat Pengatur Tumbuh Tanaman:1; Moluskisida:1
PT. MSR HIJAU LESTARI,18,Insektisida:17; Fumigan:1
PT. ZENITH CROPSCIENCES INDONESIA,17,Fungisida:8; Insektisida:3; Bahan pengawet kayu:2; Rodentisida:1; Herbisida:1; Pestisida Pengendalian Vektor Penyakit Pada Manusia:1; Zat Pengatur Tumbuh Tanaman:1
PT. BIOWORLD BIOSCIENCES MANUFACTURING INDUSTRIES,17,Fungisida:6; Herbisida:5; Insektisida:3; Zat Pengatur Tumbuh Tanaman:2; Moluskisida:1
PT. MITRA INDOTANI ABADI,17,Insektisida:8; Herbisida:4; Fungisida:3; Zat Pengatur Tumbuh Tanaman:1; Moluskisida:1
PT. FOCUSINDO ASIA PACIFIC,17,Insektisida:10; Herbisida:5; Fungisida:2
PT. AGX ASIA INDONESIA,17,Herbisida:9; Fungisida:6; Insektisida:2
PT. AGRO NATURAL TECHNOLOGY,16,Insektisida:7; Herbisida:5; Fungisida:2; Zat Pengatur Tumbuh Tanaman:1; Moluskisida:1
PT. JOHNSON HOME HYGIENE PRODUCTS,16,Pestisida Rumah Tangga:12; Repelen:4
PT. AGRO DYNAMICS INDO,16,Zat Pengatur Tumbuh Tanaman:9; Herbisida:5; Fungisida:1; Insektisida:1
PT. NATHANI CHEMICALS,16,Herbisida:9; Insektisida:4; Zat Pengatur Tumbuh Tanaman:1; Fungisida:1; Moluskisida:1
CV. INDO TANI UTAMA,16,Insektisida:10; Fungisida:5; Moluskisida:1
PT. DISCOVERY ENVIRONMENTAL SCIENCE INDONESIA,16,Pestisida Pengendalian Vektor Penyakit Pada Manusia:9; Bahan pengawet kayu:3; Rodentisida:2; Herbisida:1; Insektisida:1
PT. ARYSTA LIFESCIENCE TIRTA,16,Fungisida:10; Insektisida:4; Herbisida:2
PT. PRIMA AGRO TECH,15,Insektisida:8; Fungisida:5; Nematisida:1; Bakterisida:1
CV. DELTA CHEMICA,15,Insektisida:7; Fungisida:4; Zat Pengatur Tumbuh Tanaman:4
PT. FMC AGRICULTURAL MANUFACTURING,15,Insektisida:14; Herbisida:1
PT. JIVA AGRICULTURE INDONESIA,15,Insektisida:8; Herbisida:5; Fungisida:2
PT. TRUSTCHEM AGRO INDONESIA,15,Herbisida:6; Fungisida:3; Insektisida:3; Zat Pengatur Tumbuh Tanaman:2; Akarisida:1
PT. WINHONOR CONSULTING INDONESIA,15,Herbisida:8; Insektisida:5; Zat Pengatur Tumbuh Tanaman:1; Fungisida:1
PT. IMCD INDONESIA,15,Bakterisida:10; Fungisida:4; Pestisida lain-lain:1
PT. KEMINDO ARTHA JAYA,14,Fungisida:6; Bakterisida:6; Insektisida:2
PT. BIOTEK SARANA INDUSTRI,14,Insektisida:8; Fungisida:2; Pestisida Pengendalian Vektor Penyakit Pada Manusia:1; Herbisida:1; Zat Pengatur Tumbuh Tanaman:1; Bahan pengawet kayu:1
PT. INTER AGRO INDONESIA,14,Insektisida:5; Fungisida:5; Herbisida:4
PT. MAKMUR JAYA AGRO,14,Insektisida:6; Zat Pengatur Tumbuh Tanaman:3; Herbisida:3; Fungisida:1; Moluskisida:1
PT. SAFE CHEMICAL INDONESIA,13,Insektisida:6; Fungisida:2; Moluskisida:1; Rodentisida:1; Zat Pengatur Tumbuh Tanaman:1; Herbisida:1; Bakterisida:1
PT. NUSA MANDIRI UTAMA,13,Herbisida:8; Insektisida:4; Moluskisida:1
CV. AGRO MULIA,13,Insektisida:8; Fungisida:3; Moluskisida:1; Herbisida:1
PT. NUSANTARA AGRO SUKSES,13,Herbisida:6; Insektisida:3; Zat Pengatur Tumbuh Tanaman:2; Fungisida:2
PT. ENFARM CROP SCIENCE,12,Herbisida:6; Insektisida:3; Fungisida:2; Akarisida:1
PT. GONGCHENG BIOTECH INDONESIA,12,Pestisida Rumah Tangga:7; Bahan pengawet kayu:2; Rodentisida:2; Repelen:1
CV. BOMA SAKTI TANI,12,Insektisida:11; Zat Pengatur Tumbuh Tanaman:1
PT. TAPAL KOEDA INDONESIA,12,Insektisida:5; Fungisida:5; Herbisida:2
CV. CV. SAKASAKI INDONESIA,12,Insektisida:11; Fungisida:1
PT. TRITAMA WIRAKARSA,12,Insektisida:5; Fungisida:3; Herbisida:2; Pestisida Pengendalian Vektor Penyakit Pada Manusia:2
PT. AGRO BERJAYA CITRA TANI,12,Insektisida:8; Herbisida:2; Fungisida:1; Moluskisida:1
WINNER AGROCHEM INTERNUSA,11,Herbisida:7; Insektisida:2; Zat Pengatur Tumbuh Tanaman:1; Fungisida:1
CV. KUNIMA JAYA SELARAS,11,Fungisida:7; Insektisida:4
PT. FARMCO KIMIA,11,Herbisida:5; Insektisida:5; Fungisida:1
PT. Agritek Tani Indonesia,10,Atraktan / Feromon:6; Insektisida:3; Fungisida:1
PT. MENARA LAUT BERSATU,10,Pestisida Rumah Tangga:10
PT. SARANA TANI INDONESIA MAKMUR,10,Insektisida:5; Herbisida:3; Fungisida:2
PT. JJM INDONESIA,10,Fungisida:4; Herbisida:3; Insektisida:2; Pestisida Pengendalian Vektor Penyakit Pada Manusia:1
PT. AZELIS INDONESIA DISTRIBUSI,10,Pestisida lain-lain:9; Insektisida:1
PT. CORTEVA AGRISCIENCE INDONESIA,10,Fungisida:5; Herbisida:3; Insektisida:2
CV. ABADI JAYA,10,Insektisida:8; Fungisida:1; Rodentisida:1
PT. RECKITT BENCKISER INDONESIA,10,Pestisida Rumah Tangga:10
PT. SINERGI CHEM INDONESIA,9,Insektisida:4; Herbisida:3; Fungisida:2
PT. FORAGRO MAJU SEJAHTERA,9,Herbisida:9
PT. NUGROHO PRATAMA CHEMICA ASIA,9,Fumigan:3; Pestisida Pengendalian Vektor Penyakit Pada Manusia:3; Bahan pengawet kayu:2; Rodentisida:1
CV. Raja Grafika,9,Insektisida:5; Herbisida:2; Fungisida:2
PT. MIO LIFE SCIENCES INDONESIA,9,Fungisida:4; Insektisida:3; Herbisida:2
PT. AGRO INSANI SEMESTA,9,Fungisida:5; Insektisida:4
PT. BYTER AGRICULTURE INDONESIA,9,Herbisida:5; Fungisida:2; Insektisida:2
PT. NOVINDO AGRITECH HUTAMA,9,Pestisida Pengendalian Vektor Penyakit Pada Manusia:4; Insektisida:3; Pestisida lain-lain:1; Rodentisida:1
PT. EUREEKAGREAT NUSANTARA,9,Insektisida:4; Zat Pengatur Tumbuh Tanaman:3; Fungisida:1; Herbisida:1
