pemegang_pendaftaran,jumlah_produk,sumber
MEST INDONESIY,100,SIMPEL
BEHN MEYER AGRICARE,83,SIMPEL
PT. Multi Mas Chemindo,77,LEGACY+SIMPEL
PT.MEROKE TETAP JAYA,77,LEGACY
PETROKIMIA GRESIK,70,SIMPEL
SAPROTAN UTAMA,66,SIMPEL
PT. SANLEX MALINDO,64,LEGACY+SIMPEL
MEROKE TETAP JAYA,64,SIMPEL
MULTI NIAGA NUSANTARA INDONESIA,57,SIMPEL
CV. SAPROTAN UTAMA,56,LEGACY
PERMATA AGRO PERSADA,53,SIMPEL
MAJU MAKMUR UTOMO,52,SIMPEL
SANTANI SEJAHTERA,51,SIMPEL
DGW PUPUK INDONESIA,51,SIMPEL
SENTANA ADIDAYA PRATAMA,49,SIMPEL
PT. Asia Pupuk Guna Lestari,49,LEGACY+SIMPEL
SASCO INDONESIA,48,SIMPEL
FERTILIZER INTI TECHNOLOGY,48,SIMPEL
DHARMA AYU TANI,45,SIMPEL
SAPROTAN UTAMA NUSANTARA,45,SIMPEL
RAJA GROUP INDONESIA,43,SIMPEL
PT. Hextar Fertilizer Indonesia,43,LEGACY
CIPTA MAKMUR PERTIWI,41,SIMPEL
MULTI SARANA INDOTANI,40,SIMPEL
WILMAR CHEMICAL INDONESIA,40,SIMPEL
JADI MAS,40,SIMPEL
KERTOPATEN KENCANA,38,SIMPEL
AGROFARM NUSA RAYA,37,SIMPEL
SARASWANTI ANUGERAH MAKMUR,35,SIMPEL
PT. MEST INDONESIY,34,LEGACY
AGROTAMA TUNAS SARANA,32,SIMPEL
PUPUK KALIMANTAN TIMUR,31,SIMPEL
PUPUT TANI MANDIRI,29,SIMPEL
UD Primagro,29,SIMPEL
ANTARIKSA NUSANTARA INDONESIA GROUP,29,SIMPEL
PT AGRI HIKAY INDONESIA,28,LEGACY+SIMPEL
ABADI AGROSINDO PERSADA,27,SIMPEL
PT.TANINDO INTERTRACO,27,LEGACY
DUPAN ANUGERAH LESTARI,26,SIMPEL
NUSA PALAPA GEMILANG,26,SIMPEL
INDO ACIDATAMA,25,SIMPEL
PETROSIDA GRESIK,25,SIMPEL
PUPUK KUJANG,25,SIMPEL
PRIMA AGRO TECH,25,SIMPEL
DYRIZ INDONESIA,25,SIMPEL
DITYA CHEMINDO,25,SIMPEL
PT. Permata Agro Persada,25,LEGACY
AGRO TRADISI,24,SIMPEL
PT. HANAMPI SEJAHTERA KAHURIPAN,24,LEGACY+SIMPEL
JAVAMAS AGROPHOS,24,SIMPEL
GREENLIFE BIOSCIENCE,23,SIMPEL
AGRI TANIMAS SELARAS,23,SIMPEL
PT. SENTANA ADIDAYA PRATAMA,23,LEGACY
HANAMPI SEJAHTERA KAHURIPAN,22,SIMPEL
PT. Sasco Indonesia,22,LEGACY
MULYO TANI MAKMUR,21,SIMPEL
ANUGERAH PUPUK MAKMUR,20,SIMPEL
TRUBUS PRIMA,20,SIMPEL
KALATHAM,20,SIMPEL
PT. WILMAR CHEMICAL INDONESIA,20,LEGACY+SIMPEL
Perusahaan Perseroan (Persero) PT. Pupuk Indonesia,20,SIMPEL
AGRO JAYA INDONESIA,20,SIMPEL
YARA INDONESIA,20,SIMPEL
SARI KRESNA KIMIA,19,SIMPEL
KRISTALINDO KARUNIA INTERNASIONAL,19,SIMPEL
PT. Gemilang Eka Dharma,19,LEGACY+SIMPEL
MAXXI AGRI INDONESIA,19,SIMPEL
PRIMAGRO PRIMA INDONESIA,18,SIMPEL
ARTHA PRIMA HUMATINDO,18,SIMPEL
ANUGERAH PUPUK LESTARI,18,SIMPEL
AGRO BERJAYA NUSANTARA,18,SIMPEL
PT Bumi Indo Raharja,18,LEGACY+SIMPEL
LAKU AGUNG BAHAGIA INDONESIA,17,SIMPEL
GOAUTAMA SINARBATUAH,17,SIMPEL
AGINDA RIAU ABADI,17,SIMPEL
MUTIARA KERATON JIMMY&CO TRANS BISNIS INDONESIA,17,SIMPEL
PT Petrokimia Gresik,17,LEGACY
PT. AGRO TRADISI,17,LEGACY
NUSA NUR AGRO,16,SIMPEL
ECO AGRO MANDIRI,16,SIMPEL
TAZAR GUNA MANDIRI,16,SIMPEL
MESTIKA KARUNIA UTAMA,16,SIMPEL
PETROKIMIA KAYAKU,16,SIMPEL
CARLINDO SERASI ABADI,15,SIMPEL
CV. Raja Grafika,15,SIMPEL
ROLIMEX KIMIA NUSAMAS,15,SIMPEL
PT JADI MAS,15,LEGACY
ADIDAYA NIRBATAS,14,SIMPEL
SINAR SURYA,14,SIMPEL
CENTRA BIOTECH INDONESIA,14,SIMPEL
SARAREA PANEN RAYA,14,SIMPEL
AGRO NUSANTARA INDONESIA,14,SIMPEL
CV. Varia Chemika,14,LEGACY+SIMPEL
PT Pupuk Kalimantan Timur,14,LEGACY
PT. BEHN MEYER AGRICARE,14,LEGACY
PT. Parama Agroindustri Danapati,14,LEGACY
CIPTO LANGGENG JOYO,13,SIMPEL
SAFA AGROTEK INDONESIA,13,SIMPEL
POLOWIJO GOSARI,13,SIMPEL
SANTANI AGRO LESTARI,13,SIMPEL
BUMI SUBUR SENTOSA,13,SIMPEL
PT. ECO AGRO MANDIRI,13,LEGACY+SIMPEL
AGRI MANDIRI SEJAHTERA,13,SIMPEL
AGRO NUSA INDAH,13,SIMPEL
PT. Dharma Ayu Tani,13,LEGACY
PT. Cipta Makmur Pertiwi,13,LEGACY
PT. AGRO AFIAT NUSANTARA,12,SIMPEL
MANO AGRI NUSANTARA,12,SIMPEL
SABANG MAKMUR SENTOSA,12,SIMPEL
PRIMA KARYA BERJAYA,12,SIMPEL
HAMAS PANDJI INDONESIA,12,SIMPEL
ASIA KIMINDO PRIMA,12,SIMPEL
ANJARI ATHA TANAYA,12,SIMPEL
MITRA MERDEKA TANI,12,SIMPEL
MAKMUR JAYA ABADI,12,SIMPEL
PT. Rolimex Kimia Nusamas,12,LEGACY
PROSPER BIOTECH INDONESIA,11,SIMPEL
MITRA TANI ABADI JAYA,11,SIMPEL
ARINDAMA NAWASENA AMERTA,11,SIMPEL
PT. KARISMA INDOAGRO UNIVERSAL,11,LEGACY+SIMPEL
CHEIL JEDANG INDONESIA,11,SIMPEL
WAHANA PUNDIKARSA ABADI,11,SIMPEL
SINAR GENERAL INDUSTRIES,11,SIMPEL
MULTIDAYA PUTRA SEJAHTERA,11,SIMPEL
