sektor,entitas,merk_dagang,jenis,detail_bentuk_atau_bahan_aktif,no_pendaftaran,tgl_terbit,tgl_berakhir,status
Pupuk-Legacy,CV. SAPROTAN UTAMA,NEO- KRISTALON PAK TANI,an-organik,Kristal,01.08.2019.031,2018,2023,Kedaluwarsa
Pupuk-Legacy,CV. SAPROTAN UTAMA,NEO- KRISTALON PAK TANI,an-organik,Kristal,01.08.2019.036,2018,2023,Kedaluwarsa
Pupuk-Legacy,CV. SAPROTAN UTAMA,NEO- KRISTALON PAK TANI,an-organik,Kristal,01.08.2019.332,2018,2023,Kedaluwarsa
Pupuk-Legacy,CV. SAPROTAN UTAMA,FERTILA,an-organik,Butiran,01.01.2019.045,2018,2023,Kedaluwarsa
Pupuk-Legacy,CV. SAPROTAN UTAMA,PAK TANI,an-organik,Butiran,,2018,2023,Kedaluwarsa
Pupuk-Legacy,CV. SAPROTAN UTAMA,PAK TANI,an-organik,Butiran,,2018,2023,Kedaluwarsa
Pupuk-Legacy,CV. SAPROTAN UTAMA,PAK TANI,an-organik,Butiran,,2018,2023,Kedaluwarsa
Pupuk-Legacy,CV. SAPROTAN UTAMA,HOLLAND PAK TANI,NPK Padat (SNI),Butiran,,2018,2023,Kedaluwarsa
Pupuk-Legacy,CV. SAPROTAN UTAMA,MAGNESIUM SULFAT PAK TANI,Magnesium Sulphate,Kristal,,2018,2023,Kedaluwarsa
Pupuk-Legacy,CV. SAPROTAN UTAMA,KONTAG,an-organik,Cair,,2018,2023,Kedaluwarsa
Pupuk-Legacy,CV. SAPROTAN UTAMA,VITA-LONGAN,an-organik,Cair,,2018,2023,Kedaluwarsa
Pupuk-Legacy,CV. SAPROTAN UTAMA,INDOFERTIL,an-organik,Cair,,2018,2023,Kedaluwarsa
Pupuk-Legacy,CV. SAPROTAN UTAMA,TANIGROW,an-organik,Cair,,2018,2023,Kedaluwarsa
Pupuk-Legacy,CV. SAPROTAN UTAMA,MANGOSTAR,an-organik,Cair,,2018,2023,Kedaluwarsa
Pupuk-Legacy,CV. SAPROTAN UTAMA,FERTILA ,an-organik,Butiran,,2018,2023,Kedaluwarsa
Pupuk-Legacy,CV. SAPROTAN UTAMA,PAK TANI,an-organik,Butiran,,2018,2023,Kedaluwarsa
Pupuk-Legacy,CV. SAPROTAN UTAMA,SAPRODAP PAK TANI,Makro Majemuk NP,Butiran,,2019,2024,Kedaluwarsa
Pupuk-Legacy,CV. SAPROTAN UTAMA,SAPRODAP PAK TANI,Pupuk Makro Majemuk NP,Butiran,01.01.2019.268,2019,2024,Kedaluwarsa
Pupuk-Legacy,CV. SAPROTAN UTAMA,PAK TANI,an-organik,Butiran,,2019,2024,Kedaluwarsa
Pupuk-Legacy,CV. SAPROTAN UTAMA,FERTIPHOS,Fosfat Alam untuk Pertanian (SNI),Butiran,,2019,2024,Kedaluwarsa
Pupuk-Legacy,CV. SAPROTAN UTAMA,MAGNESIUM SULFATE PAK TANI,Magnesium Sulphate,Kristal,01.08.2019.372,2019,2024,Kedaluwarsa
Pupuk-Legacy,CV. SAPROTAN UTAMA,FERTIBIO,organik,Butiran,02.01.2020.048,2019,2024,Kedaluwarsa
Pupuk-Legacy,CV. SAPROTAN UTAMA,PN PAK TANI,KNO3,Prill,01.05.2019.172,2019,2024,Kedaluwarsa
Pupuk-Legacy,CV. SAPROTAN UTAMA,LO VIRGINIA INDONESIA,an-organik,Butiran,,2019,2024,Kedaluwarsa
Pupuk-Legacy,CV. SAPROTAN UTAMA,LO BURLEY INDONESIA,an-organik,Butiran,,2019,2024,Kedaluwarsa
Pupuk-Legacy,CV. SAPROTAN UTAMA,BASAL NPK,an-organik,Butiran,,2019,2024,Kedaluwarsa
Pupuk-Legacy,CV. SAPROTAN UTAMA,BASAL NPK,an-organik,Butiran,,2019,2024,Kedaluwarsa
Pupuk-Legacy,CV. SAPROTAN UTAMA,FERTILA,an-organik,Butiran,,2019,2024,Kedaluwarsa
Pupuk-Legacy,CV. SAPROTAN UTAMA,FERTILA,an-organik,Butiran,,2019,2024,Kedaluwarsa
Pupuk-Legacy,CV. SAPROTAN UTAMA,CSN SENDAWA PUTIH PAK TANI,Mikro Makro Campuran,Prill,,2019,2024,Kedaluwarsa
Pupuk-Legacy,CV. SAPROTAN UTAMA,PN PAK TANI,Kalium  Nitrat,Prill,,2019,2024,Kedaluwarsa
Pupuk-Legacy,CV. SAPROTAN UTAMA,PAK TANI,Amonium Sulfat (ZA) (SNI) ,Butiran,,2019,2024,Kedaluwarsa
Pupuk-Legacy,CV. SAPROTAN UTAMA,PAK TANI,NPK Padat (SNI),Butiran,,2019,2024,Kedaluwarsa
Pupuk-Legacy,CV. SAPROTAN UTAMA,PAK TANI,Kalium  Sulfat (ZK),Tepung,,2019,2024,Kedaluwarsa
Pupuk-Legacy,CV. SAPROTAN UTAMA,MAGNESIUM SULFATE  PAK TANI ,Magnesium Sulphate,Tepung,,2019,2024,Kedaluwarsa
Pupuk-Legacy,CV. SAPROTAN UTAMA,PAK TANI,an-organik,Butiran,,2019,2024,Kedaluwarsa
Pupuk-Legacy,CV. SAPROTAN UTAMA,FERTILA,an-organik,Granular,,2019,2024,Kedaluwarsa
Pupuk-Legacy,CV. SAPROTAN UTAMA,PAK TANI,an-organik,Butiran,,2019,2024,Kedaluwarsa
Pupuk-Legacy,CV. SAPROTAN UTAMA,PAK TANI,an-organik,Butiran,,2019,2024,Kedaluwarsa
Pupuk-Legacy,CV. SAPROTAN UTAMA,FERTILA,an-organik,Butiran,,2019,2024,Kedaluwarsa
Pupuk-Legacy,CV. SAPROTAN UTAMA,PAK TANI,Amonium Sulfat (ZA) (SNI) ,Kristal,,2019,2024,Kedaluwarsa
Pupuk-Legacy,CV. SAPROTAN UTAMA,FERTILA,NPK Padat (SNI),Butiran,,2019,2024,Kedaluwarsa
Pupuk-Legacy,CV. SAPROTAN UTAMA,FERTILA,NPK Padat (SNI),Butiran,,2019,2024,Kedaluwarsa
Pupuk-Legacy,CV. SAPROTAN UTAMA,FERTILA,NPK Padat (SNI),Butiran,01.01.2019.383,2019,2024,Kedaluwarsa
Pupuk-Legacy,CV. SAPROTAN UTAMA,FERTILA,an-organik,Kristal,,2019,2024,Kedaluwarsa
Pupuk-Legacy,CV. SAPROTAN UTAMA,MAGNUM PAK TANI,an-organik,Butiran,,2019,2024,Kedaluwarsa
Pupuk-SIMPEL,SAPROTAN UTAMA,NEO KRISTALON,Pupuk Hara Makro Majemuk,Tepung (Powder),01.03.2020.531,2020-04-15,2025-04-15,Kedaluwarsa
Pupuk-SIMPEL,SAPROTAN UTAMA,HOLLAND PAK TANI,Pupuk Hara Makro Majemuk,Butiran (Granular),01.01.2020.537,2020-04-17,2025-04-17,Kedaluwarsa
Pupuk-SIMPEL,SAPROTAN UTAMA,NEO KRISTALON,Pupuk Hara Makro Majemuk,Tepung (Powder),01.03.2020.650,2020-09-21,2025-09-21,Kedaluwarsa
Pupuk-SIMPEL,SAPROTAN UTAMA,FERTILA,Pupuk Hara Makro Majemuk,Bentuk Lainnya,01.08.2020.678,2020-11-06,2025-11-06,Kedaluwarsa
Pupuk-SIMPEL,SAPROTAN UTAMA,CPN PAK TANI,Pupuk Hara Makro Majemuk,Prill,01.05.2020.677,2020-11-06,2025-11-06,Kedaluwarsa
Pupuk-SIMPEL,SAPROTAN UTAMA,FERTILA,Pupuk Hara Makro Majemuk,Bentuk Lainnya,01.08.2020.682,2020-11-20,2025-11-20,Kedaluwarsa
Pupuk-SIMPEL,SAPROTAN UTAMA,PAK TANI,Pupuk Hara Makro Majemuk,Butiran (Granular),01.01.2020.697,2020-12-03,2025-12-03,Kedaluwarsa
Pupuk-SIMPEL,SAPROTAN UTAMA,ULTRADAP,(tdk tercantum),Bentuk Lainnya,01.08.2020.738,2020-12-30,2025-12-30,Kedaluwarsa
Pupuk-Legacy,CV. SAPROTAN UTAMA,CSN SENDAWA PUTIH PAK TANI,Pupuk Makro-Mikro Campuran,Prill,01.05.2020.031,2020,2025,Kedaluwarsa
Pupuk-Legacy,CV. SAPROTAN UTAMA,NEO KRISTALON,an-organik,Tepung,,2020,2025,Kedaluwarsa
Pupuk-Legacy,CV. SAPROTAN UTAMA,PAK TANI,Amonium Sulfat (ZA) (SNI) ,Padat Kristal,01.08.2020.030,2020,2025,Kedaluwarsa
Pupuk-Legacy,CV. SAPROTAN UTAMA,FERTIPHOS,Fosfat Alam untuk Pertanian (SNI),Butiran,01.01.2020.161,2020,2025,Kedaluwarsa
