merk_dagang,nomor_pendaftaran,pemegang_pendaftaran,jenis_pupuk,bentuk_formula,tipe_permohonan,tgl_terbit,tgl_berakhir,jumlah_perubahan,product_id,perusahaan_id
SAJOJO,02.02.2025.310,Agro Bumi Timur,Pupuk Organik,Cair (Liquid),Pendaftaran Baru,2025-07-07,2030-07-07,0,0000a034-a239-4d50-ab2f-51d5c00df710,06db9f5f-28bc-49f7-a33a-9fb14fea99be
LAPAN HARSA ,01.01.2023.907,PUPUK LAPAN HARSA,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Baru,2023-03-31,2028-03-31,2,0006cc09-2adc-4486-911c-3c45ad43ac86,9f0e9dee-62dd-43d0-9418-17d636bcddc6
P HOSKA+,04.01.2022.935,SUMBER UTAMA TANI,Dolomit,Butiran (Granular),Pendaftaran Baru,2022-09-09,2027-09-09,1,00085d7a-1684-4a9b-ab7a-9d1f831edf15,8d2ee787-f63b-484f-8abb-87c0096a12ff
AQUABOOST,01.02.2026.109,DUA POHON BESAR,"Pupuk Hara Makro Majemuk
",Cair (Liquid),Pendaftaran Baru,2026-01-28,2031-01-28,0,0038743c-b32b-4e65-99d2-386db4b65b30,a38676d7-d95e-4621-8760-1a3093c9ecc9
EvaGROW,03.03.2021.550,PROSPER BIOTECH INDONESIA,Hayati Majemuk,Tepung (Powder),Pendaftaran Ulang Ganjil,2021-10-13,2026-10-13,0,0040893e-3945-41dd-9fc4-7182e3e48ecb,5f448450-391f-4c47-bff6-f10067a1ee57
SAVIOR,02.02.2024.6,DAMAI SINERGI NUSANTARA,Pupuk Organik,Cair (Liquid),Pendaftaran Baru,2023-12-01,2028-12-01,0,004b0212-5251-4c06-94d2-908ffb0c1f2f,6af11d2c-c121-4f3e-bb57-90d8556193d6
HATTARA PLUS,01.01.2026.541,HATTARA CITRA ARGO,Pupuk Hara Makro-Mikro Campuran,Butiran (Granular),Pendaftaran Ulang Ganjil,2026-07-22,2031-07-22,0,0053f19d-d904-4ddb-8572-40f82b5219ba,7bc07143-c6c1-4d7c-96fa-a1649aebc485
MAHITAMIRA,02.02.2025.15,MAHITALA MIRA INDONESIA,Pupuk Organik,Cair (Liquid),Pendaftaran Baru,2024-12-10,2029-12-10,0,0061a0e9-ad0d-465e-9c65-d4ff418988c4,a9c919fa-487a-4117-8dcf-fbedbdb3ca6e
PUPINDO,01.01.2021.536,DUPAN ANUGERAH LESTARI,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Baru,2021-02-05,2026-02-05,1,0063554c-136e-44cd-9d29-c060ce80ac82,8e9c7bdb-074f-49e2-8e4b-1ca4e945368c
BILLIZER,01.01.2025.677,BROMO INDAH LESTARI,,Butiran (Granular),Pendaftaran Baru,2025-08-13,2030-08-13,0,00653227-1326-4f69-ad21-4a3e6790892a,4542554b-31d9-4833-bf46-e1152c6b6c79
SAMA-COR,01.05.2025.909,SAMAWA AGRO PERSADA,"Pupuk Campuran (Hara Makro, Hara Mikro dan Hara benefisial)",Prill,Pendaftaran Baru,2025-11-04,2030-11-04,0,0076dc4b-fb2e-4a6e-a7b4-29ac6ece025e,e9683126-e6e9-4e56-b0e9-ac8b0535dfd8
LIBREL,01.03.2025.874,BASF DISTRIBUTION INDONESIA,Pupuk Hara Mikro Tunggal,Tepung (Powder),Pendaftaran Baru,2025-11-06,2030-11-06,0,007bd7b9-ab99-4e43-a325-cc5c8ea0faa7,74238777-6ccc-44ef-ad86-e6205b17a6d1
LOONGZOU,01.03.2025.847,SASCO INDONESIA,Pupuk Fosfat Alam Untuk Pertanian,Tepung (Powder),Pendaftaran Ulang Ganjil,2025-10-11,2030-10-11,0,00854f57-137d-457a-92f8-5c8a68f8139d,5f3559b5-945e-4d3a-9fe9-b4a089c200fa
PELANGI,01.01.2026.550,PUPUK KALIMANTAN TIMUR,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Baru,2026-07-23,2031-07-23,0,009ea1da-52da-4c62-ac6f-f128fc3ba074,54463581-e74e-4653-9fbb-895ff5dd989b
VITAGRO,01.02.2024.566,FERTILIZER INTI TECHNOLOGY,,Cair (Liquid),Pendaftaran Baru,2024-05-20,2029-05-20,0,00abd3fe-8307-48fa-bf6c-3bf36520530e,9fe2f917-990c-4ad0-8a64-5e8dec6358ef
PROCROP,02.02.2025.475,STELLAR AGRI INDONESIA,Pupuk Organik,Cair (Liquid),Pendaftaran Baru,2025-10-09,2030-10-09,0,00bb18c5-742a-4a15-b250-1b5e2a4f11b3,9b48aadd-fdf5-4f30-812b-0bb591e2487d
Tunas Makmur Organik,02.01.2023.1132,MANIS SPORTIF,Pupuk Organik,Butiran (Granular),Pendaftaran Baru,2023-04-14,2028-04-14,0,00d142c1-3c2c-4b68-b2d0-380700e0a179,d4deb1e9-e9fe-4699-8486-31cb722ff6c7
BULIR,01.03.2022.1764,KURNIA AGRO,Pupuk Hara Makro Majemuk,Tepung (Powder),Pendaftaran Ulang Ganjil,2022-11-29,2027-11-29,0,00dd0b67-26e9-4c9c-9a6b-30a4d2689b4e,6ab4238b-41e0-46d3-aabf-b7cfe3a795f1
SAWONGGALING,04.01.2023.542,SAWONGGALING NUSANTARA,Dolomit,Butiran (Granular),Pendaftaran Baru,2023-03-09,2028-03-09,0,00de9d28-2d9c-492e-a976-e2af1f94606b,74f96cba-ea85-409d-9d14-e1d40266fa17
Mahkota Fertilizer,01.01.2022.544,SENTANA ADIDAYA PRATAMA,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Ulang Ganjil,2022-01-31,2027-01-31,2,00df7e62-7519-4767-a139-d0b3a2969c8c,36c5c4f2-e215-4d04-9948-8926fb16c0a5
BOONTONIK,01.02.2024.1279,NUSA NUR AGRO,,Cair (Liquid),Pendaftaran Ulang Genap,2024-11-21,2029-11-21,0,00f0e559-caf5-48e8-a8ab-7419dc233502,f9ff5631-2826-4644-ad7d-b3115d5d54f9
SUPER RHOSKA,04.01.2022.410,CV. SURYA PETANI,Dolomit,Butiran (Granular),Pendaftaran Baru,2022-03-31,2027-03-31,0,010b808c-72bf-4ea3-a4b4-f8077fd0cf28,c1255647-580a-4ba3-b93e-f238948192aa
SUMAJA,01.01.2025.78,SINERGI INTI PANEN,Pupuk Triple Super Fosfat (TSP) {3Ca(H2PO4)2},Butiran (Granular),Pendaftaran Baru,2025-01-30,2030-01-30,0,01117136-0c6e-4047-91f7-7c41450e581e,2eb386ee-119b-4b88-a48a-0bdd259ad3af
Agroblen,01.01.2026.522,AGROTAMA TUNAS SARANA,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Baru,2026-05-26,2031-05-26,0,011aa3c4-d4a4-4dc1-bf47-de49e783bab2,83c743cb-4ec1-4b82-ae85-3a1f26750e30
AGRIVERE,01.01.2023.777,AGRIVERE TRANSFORMA INTERNASIONAL,Pupuk Hara Mikro Tunggal,Butiran (Granular),Pendaftaran Baru,2023-02-28,2028-02-28,0,011bacd2-5fcc-4198-9bd8-53579aa66e6a,716b9b80-64c5-4f16-b198-b78775512731
GREEN SUBUR,01.01.2021.975,CAHAYA ABADI,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Baru,2021-12-17,2026-12-17,0,012cb606-4b97-46a2-953d-dff428f65683,9e6d4ef1-1932-4b1f-a44a-9ce6b4d3f870
KATAINDOGANIK,02.01.2025.413,KARYA TANI INDONESIA,Pupuk Organik,Butiran (Granular),Pendaftaran Ulang Genap,2025-08-26,2030-08-26,0,012eddb7-11e6-4400-94d8-48143d2517d2,6fd714b4-8bf2-4ea8-a985-a84c454ba381
FELO,01.03.2021.666,MAJU MAKMUR UTOMO,Pupuk Hara Makro Majemuk,Tepung (Powder),Pendaftaran Ulang Ganjil,2021-05-05,2026-05-05,0,01317b19-ef67-4db5-881b-a54772fca0d6,8ecd40c8-d272-453f-9337-1958de3d86f7
Mahkota Fertilizer,01.01.2023.1332,SENTANA ADIDAYA PRATAMA,,Butiran (Granular),Pendaftaran Baru,2023-05-23,2028-05-23,1,0147dd29-8d87-416d-817b-639f13397ae9,36c5c4f2-e215-4d04-9948-8926fb16c0a5
MENTARI,01.01.2024.128,PERMATA AGRO PERSADA,Pupuk Diamonium Fosfat (DAP) {(NH4)2HPO4},Butiran (Granular),Pendaftaran Ulang Ganjil,2024-01-04,2029-01-04,0,014cf7c2-3c2b-4dd0-ba5d-c797f9b69972,d6995698-8fd6-4d4e-81b6-f09a2d303f26
MONODON PLUS,03.02.2022.312,FAJAR RIZQY TANI,Hayati Majemuk,Cair (Liquid),Pendaftaran Ulang Genap,2022-01-10,2027-01-10,0,015b3b02-8eec-48a0-80c9-696d1b2ad844,54d06915-6c6d-4484-84c0-58c7f7197fe7
Micronexus,01.02.2022.1312,MAJU MAKMUR UTOMO,,Cair (Liquid),Pendaftaran Ulang Ganjil,2022-09-05,2027-09-05,0,017aee15-4366-4606-91d0-021ac22d254a,8ecd40c8-d272-453f-9337-1958de3d86f7
JatiBumi,04.03.2025.223,CIPTO LANGGENG JOYO,Dolomit,Tepung (Powder),Pendaftaran Baru,2025-05-14,2030-05-14,0,01884df4-1a56-4e2c-bd10-4c668921e2c0,f8a343e6-38c3-40e7-a02b-8c08483b6042
BIO SOLID 17,04.03.2025.470,SAWIT CENTER INDONESIA,Organik,Tepung (Powder),Pendaftaran Baru,2025-09-10,2030-09-10,0,01887fa8-aa4c-486b-a4a2-374fb6a09ea6,439c2475-b3c7-4a78-aae2-b5e5ace81394
KALIJAGA,01.02.2025.354,GEMILANG BERKAH USAHA,,Cair (Liquid),Pendaftaran Baru,2025-04-21,2030-04-21,0,019a3a02-174e-4c8d-8354-3affd298ede7,27850aa8-4417-4e6b-9ab2-56f0e0533b36
MENTARI,01.03.2022.1546,PERMATA AGRO PERSADA,,Tepung (Powder),Pendaftaran Ulang Ganjil,2022-10-20,2027-10-20,0,019a7897-7b12-42a2-854b-6c4b04fe950e,d6995698-8fd6-4d4e-81b6-f09a2d303f26
URGENT-A ,02.02.2022.311,AGSPEC INDONESIA,Pupuk Organik,Cair (Liquid),Pendaftaran Ulang Genap,2022-01-10,2027-01-10,1,019d1a1f-8993-44eb-b712-bef293f2bb83,038dbfa8-43ab-411a-b9ae-2a62c8f2d68d
GARDENA D,01.03.2021.544,MULTI SARANA INDOTANI,Pupuk Hara Makro Majemuk,Tepung (Powder),Pendaftaran Ulang Ganjil,2021-02-09,2026-02-09,0,01b8d0ee-92c6-4491-8650-449ecd51509e,17c107d0-3d9b-4d1e-8ab0-cef63ae94f9f
MANOHARA,01.03.2024.75,MITRA TANI ABADI JAYA,,Tepung (Powder),Pendaftaran Ulang Ganjil,2022-04-13,2027-04-13,0,01c45a47-dac0-4a24-b7c7-a4443ae416ca,5a16eeab-a266-47a6-9db2-60b6bbad7a23
