merk_dagang,nomor_pendaftaran,pemegang_pendaftaran,jenis_formula,bentuk_formula,warna_pupuk,jenis_permohonan,tanggal_terbit,tanggal_berakhir,id_perusahaan
CAP DAUN MENGKUDU,,CV. PUSAKA ALAM,Magnesium (MgO),Butiran,Abu-Abu,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2018,2023,0e955a7f58cf4598c6e02bd012759f458917
COMPACTION DGW,01.01.2019.127,PT. Hextar Fertilizer Indonesia,an-organik,Butiran,Merah kecoklatan,An-organik - Pendaftaran Baru,2018,2023,c8a04f82-4325-438e-b9a9-fbd339f00068
MULTI K-Mg,,PT.TANINDO INTERTRACO,an-organik,,,An-organik - Pengalihan Nomor Pendaftaran,2018,2023,71f6ceda-37e5-4309-b02e-cf7eb6e4675c
KANO ,,PT. YUDHA PERDANA ANGESTI,KALIUM NITRAT (KNO3),Kristal,Putih,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2018,2023,6230daae-19b3-4c48-8711-b9bd22a34495
KANCIL EMAS,,PT. SANLEX MALINDO,NPK Padat (SNI),Padat Butiran,Merah / Pink,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2018,2023,46eccec8-2718-4ecf-82b0-d69f6c5a43e9
BAPAK IBU TANI,,CV. Mulyo Tani Makmur,an-organik,Butiran,Abu-Abu ,An-organik - Pendaftaran Ulang Ganjil,2018,2023,8be21e9c-b423-4467-bc20-d8b594535708
LOONGZOU,,PT. Sasco Indonesia,an-organik,Tepung,Putih,An-organik - Pendaftaran Ulang Ganjil,2019,2024,5f3559b5-945e-4d3a-9fe9-b4a089c200fa
RapiFlow CaB,01.02.2019.328,PT. Agspec Indonesia,Mikro Majemuk ,Cair,Biru muda,An-organik - Pendaftaran Baru (2018),2019,2024,038dbfa8-43ab-411a-b9ae-2a62c8f2d68d
Test Oke OCe,,Alwi Konsultan - TEST,NPK + TE,Butiran,Merah,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2018,2023,ff31b9bddd061e00851c3eeb82fccb867045
BIOCHEMS,02.02.2018.069,PT. WAHANA PUNDIKARSA ABADI,organik,Cair,Biru,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,609ab9e45e4119ac0dff043fc6e5da378162
EVERGREEN,02.02.2018.070,PT. WAHANA PUNDIKARSA ABADI,organik,Cair,Kuning,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,609ab9e45e4119ac0dff043fc6e5da378162
FOLIFLO DAUN,01.02.2019.062,PT. Hextar Fertilizer Indonesia,an-organik,Cair,Krem Transparan,An-organik - Pendaftaran Baru,2018,2023,c8a04f82-4325-438e-b9a9-fbd339f00068
CHENREZIG GROW,02.01.2018.019,CV. PERSADA MAKMUR TANI SENTOSA,organik,Butiran,Hitam Keabuan,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,42163164-78df-4b1f-9e44-fbf8431156b2
BINTANG NUTRISI BIOS,,CV. Bintang Asri Arthauly,hayati,Tepung,Coklat Kehitaman,Organik/Hayati/Pembenah Tanah - Pendaftaran Ulang Ganjil,2018,2023,cb13b604-e462-462a-90e0-80d76a2469c2
FARMPION,01.03.2018.411,CV IMEXINDO NUSANTARA,an-organik,Tepung,Merah,An-organik - Pendaftaran Baru,2018,2023,1cfcc010-05de-49a2-9b9f-e6b1c53aa2f2
PELANGI AGRO,,PT Pupuk Kalimantan Timur,an-organik,Butiran,Cokelat,An-organik - Pendaftaran Ulang Ganjil,2018,2023,3af996a5b19bf8ac5db58137d8d1afed4892
Complesal Boron,01.02.2019.329,PT. CATUR AGRODAYA MANDIRI,Makro Mikro Majemuk ,Cair,Hijau kebiru-biruan,An-organik - Pendaftaran Baru (2018),2019,2024,7e6a63e1-f1cd-49ae-baec-30120b2877f1
PELANGI,01.01.2018.342,PT Pupuk Kalimantan Timur,an-organik,Butiran,"Cokelat, Putih, Merah, Abu-abu, Hijau dan Hitam",An-organik - Pendaftaran Ulang Genap,2018,2023,3af996a5b19bf8ac5db58137d8d1afed4892
PELANGI,01.01.2018.421,PT Pupuk Kalimantan Timur,an-organik,Butiran,"Cokelat, Putih, Merah, Abu-abu, Hijau dan Hitam",An-organik - Pendaftaran Ulang Genap,2018,2023,3af996a5b19bf8ac5db58137d8d1afed4892
ZIRAEA,02.08.2018.136,CV Alam Hijau,organik,Remah,Cokelat Kehitaman,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,8c3a5caf-e323-4035-97c5-7ce3d4154c08
Vigorin,02.02.2019.066,UD. MITRA MERDEKA TANI,organik,Cair,Cokelat,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,860a3dd2-146b-4eb1-98e3-936035aa3cec
BAGITANI,,PT CHEIL JEDANG INDONESIA,organik,Cair,Coklat Kehitaman,Organik/Hayati/Pembenah Tanah - Pendaftaran Ulang Ganjil,2018,2023,96fe6da8-bb91-47c7-be25-e72c762789ef
