nomor_pendaftaran,produk_id,nama_produk,jenis_pestisida,bidang_penggunaan,komoditas_label,komoditas_id,opt_label,opt_nama_ilmiah,opt_id,dosis_teks,dosis_min,dosis_maks,dosis_satuan,satuan_kolom,dosis_asal,baris_asal,catatan_baris
01030120269427,op:prd:00001001,NORTHAM 480 SC,Herbisida,Pengelola Tanaman,Tebu,op:cmd:00001006,gulma golongan rumput,Digitaria adcendens,op:pst:00001068,150 - 300,150,300,ml/ha,ml/ha,kolom,utama,
01030120269427,op:prd:00001001,NORTHAM 480 SC,Herbisida,Pengelola Tanaman,Tebu,op:cmd:00001006,gulma golongan rumput,Echinochloa colona,op:pst:00001070,150 - 300 ml/ha,150,300,ml/ha,-,kurung-latin,utama,
01030120269427,op:prd:00001001,NORTHAM 480 SC,Herbisida,Pengelola Tanaman,Tebu,op:cmd:00001006,gulma golongan rumput,Imperata cylindrica,op:pst:00001025,150 - 300 ml/ha,150,300,ml/ha,-,kurung-latin,utama,
01030120269427,op:prd:00001001,NORTHAM 480 SC,Herbisida,Pengelola Tanaman,Tebu,op:cmd:00001006,gulma golongan rumput,Digitaria ciliaris,op:pst:00001008,150 - 300 ml/ha,150,300,ml/ha,-,kurung-latin,utama,
01030120269427,op:prd:00001001,NORTHAM 480 SC,Herbisida,Pengelola Tanaman,Tebu,op:cmd:00001006,gulma golongan rumput,Brachiaria eruciformis,op:pst:00001377,150 - 300 ml/ha,150,300,ml/ha,-,kurung-latin,utama,
01030120269427,op:prd:00001001,NORTHAM 480 SC,Herbisida,Pengelola Tanaman,Tebu,op:cmd:00001006,gulma berdaun lebar,Borreria alata,op:pst:00001001,150 - 300,150,300,ml/ha,ml/ha,kolom,utama,
01030120269427,op:prd:00001001,NORTHAM 480 SC,Herbisida,Pengelola Tanaman,Tebu,op:cmd:00001006,gulma berdaun lebar,Cleome aspera,op:pst:00001091,150 - 300 ml/ha,150,300,ml/ha,-,kurung-latin,utama,
01030120269427,op:prd:00001001,NORTHAM 480 SC,Herbisida,Pengelola Tanaman,Tebu,op:cmd:00001006,gulma berdaun lebar,Alternanthera braziliana,op:pst:00001311,150 - 300 ml/ha,150,300,ml/ha,-,kurung-latin,utama,
01030120269427,op:prd:00001001,NORTHAM 480 SC,Herbisida,Pengelola Tanaman,Tebu,op:cmd:00001006,gulma berdaun lebar,Ageratum conyzoides,op:pst:00001000,150 - 300 ml/ha,150,300,ml/ha,-,kurung-latin,utama,
01020120093365,op:prd:00001002,RIOMAX 150/150 EC,Fungisida,,Padi,op:cmd:00000006,Penyakit hawar pelepah,Rhizoctonia solani,op:pst:00001030,300,300,300,ml/ha,ml/ha,kolom,utama,
01010120093558,op:prd:00001003,Plenum 50 WG,Insektisida,,Padi Sawah,op:cmd:00000006,Wereng daun,Nephotettix virescens,op:pst:00001168,300,300,300,g/ha,g/ha,kolom,utama,
01010120093558,op:prd:00001003,Plenum 50 WG,Insektisida,,Padi Sawah,op:cmd:00000006,Wereng punggung putih,Sogatella furcifera,op:pst:00001205,300,300,300,g/ha,g/ha,kolom,utama,
01010120093558,op:prd:00001003,Plenum 50 WG,Insektisida,,Padi Sawah,op:cmd:00000006,Kepinding Tanah,Scotinophara sp,op:pst:00001650,300,300,300,g/ha,g/ha,kolom,utama,
01010120093558,op:prd:00001003,Plenum 50 WG,Insektisida,,Padi Sawah,op:cmd:00000006,Wereng Cokelat,Nilaparvata lugens,op:pst:00001009,300,300,300,g/ha,g/ha,kolom,utama,
01010120093558,op:prd:00001003,Plenum 50 WG,Insektisida,,Padi Sawah,op:cmd:00000006,Walang Sangit,Leptocorysa oratorius,op:pst:00001093,250-300,250,300,g/ha,g/ha,kolom,utama,
01010120093558,op:prd:00001003,Plenum 50 WG,Insektisida,,Cabai,op:cmd:00001003,Kutu Kebul,Bemisia tabaci,op:pst:00000003,300,300,300,g/ha,g/ha,kolom,utama,
01010120237998,op:prd:00001004,FICAZ 25 SP,Insektisida,Pengelola Tanaman,Padi,op:cmd:00000006,Wereng batang coklat,Nilaparvata lugens,op:pst:00001009,1,1,1,g/l,g/l,kolom,utama,
06090120093514,op:prd:00001005,ALFA 30 EC,Pestisida Pengendalian Vektor Penyakit Pada Manusia,,Di dalam dan di luar ruangan,,nyamuk vektor DBD,Aedes aegypti,op:pst:00001007,75,75,75,ml/ha,ml/ha,kolom,utama,"Kalimat peringatan: | Tidak boleh digunakan oleh perorangan, hanya digunakan oleh petugas Dinas Kesehatan/pest control"
06090120093514,op:prd:00001005,ALFA 30 EC,Pestisida Pengendalian Vektor Penyakit Pada Manusia,,Di dalam dan di luar ruangan,,nyamuk vektor filariasis,Culex quinquefasciatus,op:pst:00001011,"93,75",93.75,93.75,ml/ha,ml/ha,kolom,utama,
01030120124260,op:prd:00001006,TURBO UP GOLD 525 SL,Herbisida,,Kelapa Sawit (TBM),op:cmd:00001000,Gulma golongan rumput,Ottochola nodosa 0.75 - 1.5 l/ha,op:pst:00001002,0.75 - 1.5,0.75,1.5,l/ha,l/ha,kolom,utama,
01030120124260,op:prd:00001006,TURBO UP GOLD 525 SL,Herbisida,,Kelapa Sawit (TBM),op:cmd:00001000,Gulma berdaun lebar,Clidemia hirta 0.75 - 1.5 l/ha,op:pst:00001017,0.75 - 1.5,0.75,1.5,l/ha,l/ha,kolom,utama,
01030120124260,op:prd:00001006,TURBO UP GOLD 525 SL,Herbisida,,Kelapa Sawit (TBM),op:cmd:00001000,Gulma berdaun lebar,Ageratum conyzoides 0.75 - 1.5 l/ha,op:pst:00001000,0.75 - 1.5,0.75,1.5,l/ha,l/ha,kolom,utama,
01030120124260,op:prd:00001006,TURBO UP GOLD 525 SL,Herbisida,,Kelapa Sawit (TBM),op:cmd:00001000,Gulma berdaun lebar,Melastoma malabatricum 0.75 - 1.5 l/ha,op:pst:00001238,0.75 - 1.5,0.75,1.5,l/ha,l/ha,kolom,utama,
01010120083193,op:prd:00001007,IGUANA 50 EC,Insektisida,,Cabai,op:cmd:00001003,ulat buah,Helicoverpa armigera,op:pst:00001038,0.375,0.375,0.375,ml/l,ml/l,kolom,utama,
01030120258974,op:prd:00001009,NUVATA 270 SL,Herbisida,Pengelola Tanaman,Budidaya jagung,op:cmd:00001002,gulma golongan rumput,Digitaria ciliaris,op:pst:00001008,116.25 - 271.25,116.25,271.25,ml/ha,ml/ha,kolom,utama,
01030120258974,op:prd:00001009,NUVATA 270 SL,Herbisida,Pengelola Tanaman,Budidaya jagung,op:cmd:00001002,gulma berdaun lebar,Richardia brasiliensis,op:pst:00001027,"116,25 - 271,25 ml/ha",116.25,271.25,ml/ha,-,kurung-latin,utama,
01030120258974,op:prd:00001009,NUVATA 270 SL,Herbisida,Pengelola Tanaman,Budidaya jagung,op:cmd:00001002,gulma berdaun lebar,Commelina benghalensis,op:pst:00001044,"116,25 - 271,25 ml/ha",116.25,271.25,ml/ha,-,kurung-latin,utama,
