nomor_pendaftaran,nama_produk,jenis_anomali,teks,keterangan
01010120217194,BROFREYA 53 SC,rekaman-kembar-dibuang,id=453c3848-945e-4ac1-a904-95af8d6d92ee,"Salinan identik rekaman ke-2046; yang dipertahankan op:prd:00003046, yang dibuang rekaman ke-2047 = op:prd:00003047. Bersamanya ikut 2 entri bahan aktif dan 0 entri komoditas. Catatan: op:prd yang dibuang tetap ada di vocab/product/pestisida.ndjson — NDJSON itu dibangun dari tarikan yang belum didedup, jadi ia tidak akan punya baris di sini."
06080120165523,NOMOS 0.041MC,rekaman-kembar-dibuang,id=4d9a2451-38bf-4654-9494-8430d13ffe4f,"Salinan identik rekaman ke-2311; yang dipertahankan op:prd:00003311, yang dibuang rekaman ke-2312 = op:prd:00003312. Bersamanya ikut 11 entri bahan aktif dan 2 entri komoditas. Catatan: op:prd yang dibuang tetap ada di vocab/product/pestisida.ndjson — NDJSON itu dibangun dari tarikan yang belum didedup, jadi ia tidak akan punya baris di sini."
06080120165523,NOMOS 0.041MC,rekaman-kembar-dibuang,id=4d9a2451-38bf-4654-9494-8430d13ffe4f,"Salinan identik rekaman ke-2311; yang dipertahankan op:prd:00003311, yang dibuang rekaman ke-2313 = op:prd:00003313. Bersamanya ikut 11 entri bahan aktif dan 2 entri komoditas. Catatan: op:prd yang dibuang tetap ada di vocab/product/pestisida.ndjson — NDJSON itu dibangun dari tarikan yang belum didedup, jadi ia tidak akan punya baris di sini."
04199141,PROPOXUR 98 TC,rekaman-kembar-dibuang,id=5a8f5e0d-1ccc-4368-acef-c206a9cd0149,"Salinan identik rekaman ke-2683; yang dipertahankan op:prd:00003683, yang dibuang rekaman ke-2684 = op:prd:00003684. Bersamanya ikut 4 entri bahan aktif dan 1 entri komoditas. Catatan: op:prd yang dibuang tetap ada di vocab/product/pestisida.ndjson — NDJSON itu dibangun dari tarikan yang belum didedup, jadi ia tidak akan punya baris di sini."
01030120072722,BOM-UP 520 SL,rekaman-kembar-dibuang,id=70850c9d-56ac-4947-89e9-a042a000fb3d,"Salinan identik rekaman ke-3363; yang dipertahankan op:prd:00004363, yang dibuang rekaman ke-3364 = op:prd:00004364. Bersamanya ikut 1 entri bahan aktif dan 9 entri komoditas. Catatan: op:prd yang dibuang tetap ada di vocab/product/pestisida.ndjson — NDJSON itu dibangun dari tarikan yang belum didedup, jadi ia tidak akan punya baris di sini."
01020120124452,ESTRAGO 250 SC,rekaman-kembar-dibuang,id=ac4ff3d1-6580-4978-bd41-639c97c2483f,"Salinan identik rekaman ke-5115; yang dipertahankan op:prd:00006115, yang dibuang rekaman ke-5116 = op:prd:00006116. Bersamanya ikut 6 entri bahan aktif dan 1 entri komoditas. Catatan: op:prd yang dibuang tetap ada di vocab/product/pestisida.ndjson — NDJSON itu dibangun dari tarikan yang belum didedup, jadi ia tidak akan punya baris di sini."
01010120011637,SIDIN 50 EC,rekaman-kembar-dibuang,id=b19b54c9-74ba-47f1-9acc-f8fb057e37fb,"Salinan identik rekaman ke-5284; yang dipertahankan op:prd:00006284, yang dibuang rekaman ke-5285 = op:prd:00006285. Bersamanya ikut 3 entri bahan aktif dan 0 entri komoditas. Catatan: op:prd yang dibuang tetap ada di vocab/product/pestisida.ndjson — NDJSON itu dibangun dari tarikan yang belum didedup, jadi ia tidak akan punya baris di sini."
01010120165571,MANCO 80 WP,rekaman-kembar-dibuang,id=dccf6f05-abaf-4b86-999c-e57433f4a33b,"Salinan identik rekaman ke-6626; yang dipertahankan op:prd:00007626, yang dibuang rekaman ke-6627 = op:prd:00007627. Bersamanya ikut 1 entri bahan aktif dan 1 entri komoditas. Catatan: op:prd yang dibuang tetap ada di vocab/product/pestisida.ndjson — NDJSON itu dibangun dari tarikan yang belum didedup, jadi ia tidak akan punya baris di sini."
032012270,MILESTONE 240 SL,rekaman-kembar-dibuang,id=fc249508-cd1c-4c31-be4c-5e58871fdc17,"Salinan identik rekaman ke-7598; yang dipertahankan op:prd:00008598, yang dibuang rekaman ke-7599 = op:prd:00008599. Bersamanya ikut 3 entri bahan aktif dan 1 entri komoditas. Catatan: op:prd yang dibuang tetap ada di vocab/product/pestisida.ndjson — NDJSON itu dibangun dari tarikan yang belum didedup, jadi ia tidak akan punya baris di sini."
06090120093514,ALFA 30 EC,baris-bukan-nama-ilmiah,Kalimat peringatan:,Baris ke-2 pada latinHamaKomoditas; tidak dijadikan OPT.
