principal,total_pupuk,Hara Majemuk,Organik & Humat,Hayati,Hara Tunggal/An-organik,Pembenah Tanah/Amelioran,Makro-Mikro Campuran,Tidak Tercantum
MEST INDONESIY,100,51,0,0,28,0,1,20
BEHN MEYER AGRICARE,83,43,0,1,9,0,3,27
PETROKIMIA GRESIK,70,33,6,9,9,2,0,11
SAPROTAN UTAMA,66,48,0,0,8,1,0,9
MEROKE TETAP JAYA,64,21,3,0,20,0,0,20
PT. Multi Mas Chemindo,57,13,0,0,28,1,0,15
MULTI NIAGA NUSANTARA INDONESIA,57,31,4,1,15,4,0,2
PERMATA AGRO PERSADA,53,23,0,0,22,0,0,8
MAJU MAKMUR UTOMO,52,27,11,5,0,0,0,9
SANTANI SEJAHTERA,51,17,0,0,12,1,0,21
DGW PUPUK INDONESIA,51,23,0,0,10,0,0,18
SENTANA ADIDAYA PRATAMA,49,36,0,0,0,0,2,11
SASCO INDONESIA,48,0,0,0,38,0,0,10
FERTILIZER INTI TECHNOLOGY,48,18,5,0,13,0,2,10
DHARMA AYU TANI,45,6,7,6,0,8,1,17
SAPROTAN UTAMA NUSANTARA,45,12,3,0,11,2,1,16
PT. Asia Pupuk Guna Lestari,43,31,0,0,11,0,0,1
RAJA GROUP INDONESIA,43,14,0,0,0,2,1,26
CIPTA MAKMUR PERTIWI,41,16,2,1,6,12,0,4
MULTI SARANA INDOTANI,40,29,0,1,0,0,0,10
PT. SANLEX MALINDO,40,23,0,0,14,0,0,3
WILMAR CHEMICAL INDONESIA,40,1,1,0,22,0,0,16
JADI MAS,40,27,2,0,9,0,0,2
KERTOPATEN KENCANA,38,22,0,0,9,1,0,6
AGROFARM NUSA RAYA,37,12,1,1,4,0,0,19
SARASWANTI ANUGERAH MAKMUR,35,34,0,0,0,0,0,1
AGROTAMA TUNAS SARANA,32,18,0,0,1,0,0,13
PUPUK KALIMANTAN TIMUR,31,19,2,5,5,0,0,0
UD Primagro,29,14,1,0,1,3,0,10
ANTARIKSA NUSANTARA INDONESIA GROUP,29,13,2,1,9,2,0,2
