DATA KIOS PUPUK LENGKAP ( KPL ) DENGAN WILAYAH KERJA SAMA KABUPATEN BATANG  ( PER 23 PEBRUARI 2017 );;;;;;;
;;;;;;;
NO;KECAMATAN/;NO; NAMA KIOS;NAMA PENGECER; WILAYAH KERJA / DESA CAKUPAN *);;
;DISTRIBUTOR;;;;;;
1;BATANG;1;Saudara Tani;Purnomo, Jl. Letjen suprapto;Denasri Kulon, Denasri Wetan, Kalipucang Wetan, Kalipucang;;
;GCS/ CV BERKAH;;;;Kulon, Kasepuhan (Barokah I);;
;;2;Tani Makmur;Hj. Rafika Hidayati, Jendsud 1;Kauman, Sambong, Klidang Wetan, Klidang Lor, Karangasem Utara;;
;;3;Binara Tani;Azizul Bakri, Jl. Kemuning Rt 2/1;Cepoko Kuning, Rowobelang, Pasekaran;;`
;;4;Tani Lestari; Wartoyo, Kasepuhan;Kalisalak, Karanganyar, Watesalit, Proyonanggan Selatan;;
;;;;; Kasepuhan ( Barokah II );;
;;;;;;;
2;WONOTUNGGAL;5;UD. Ardani;Eko Arif Wijayanto, Ds. Siwatu;Sendang,Kemligi, Sigayam;;
;GCS/ CV BERKAH;6;UD. Fajar;Supriyanto Gunadi, Wonotnggal;Wonotunggal, Penangkar, Kreyo;;
;;7;Tani Baru;Tarmujo, Ds. Kedungmalang Rt 5/2;Kedungmalang, Gringingsari, Silurah, Sodong;;
;;8;Tani Murni;Ali Machfudz, Jl raya Bandar;Brayo, Wates,Brokoh,Siwatu,Dringo;;
;;;;;;;
3;LIMPUNG;9;UD. Cahaya Tani;Arief Hariyanto, Ds Limpung;Tembok, Limpung;;
;GCS/ CV MAKMUR;10;UD. Mitra Tani;Sholikun, ds. Babatan Rt 4/2;Dlisen, Babadan;;
;JAYA ABADI;11;UD. Tani Unggul;Hamiga Idfi dk. Sikebo;Amongrogo, Ngaliyan, Sempu;;
;;12;Kerabat Tani;Hj. Mujahidah d. Krangsari;Rowosari, Lobang, Sukorejo, Plumbon;;
;;13;UD. Zakariya;A. Zakaria Kalisalak RT 2/2;Kalisalak, Sidomulyo;;
;;14;UD. Asriyah;Asriyah Ds. Kepuh;Kepuh;;
;;15;UD. Karya Tani;H. Nur Fuad Jl. Raya Limpung;Donorejo,  Wonokerso, Pungangan;;
;;;;;;;
4;PECALUNGAN;16;Kios Berkah;Buchori, dk. Plenden rt.1/1 Pretek;Pretek, Siguci;;
;GCS/ CV MAKMUR;17;Tani Indah;Nur Khamid, Ds. Selokarto;Pecalungan,Gumawang,Bandung,Gemuh,Keniten;;
;JAYA ABADI;18;Anugrah Tani; Hj. Darumi, Dk. Sidalang;Selokarto, Randu, Gombong;;
;;;;;;;
5;TERSONO;19;UD. Berkah Tani Jaya;Subechan, Ds.Tanjngsari;Harjowinangun Barat, Satrian, Tanjung Sari;;
;GCS/ CV MAKMUR;20;UD.Ihsan Tani; H. Ahmad Ihsan, Ds. Tersono;Sidalang, Sumur Banger, Margosono, Wanar, Pujut;;
;JAYA ABADI;21;Sumber Rejeki Tani;Eko Santoso, Dk. Kauman Ds. ;Tersono, Tegalombo,Harjowinangun Timur,Boja, Kranggan, Kebumen;;
;;22;UD Mana Lagi; Turmudzi, Depan Kec. Tersono;Plosowangi, Gondo, Banteng;;
;;23;UD Dwi Karya; Rustianah, Ds. Rejosari Timur;Rejosari timur, Rejosari Barat, Sendang;;
;;;;;;;
;;;;;;;
;;;;;;;
6;GRINGSING;24;Berkah Tani;Ainur Rohman ds. Gebanganom ;Kebondalem, Mentosari;;
; GCS/ KUD MAWAR;25;Muja Tani;Heriyanto, Dk Mundu yosorejo;Yosorejo;;
;;26;Putra Tani;Iwan sri Aryanto, dk. Bendosari;Sidorejo;;
;;27;Sahabat Tani;Akmad Asmuni, Ds Krengseng ;Plelen, Krengseng,Gringsing;;
;;28;Tani Jaya;Iskandar Mirza, ds. Lebo;Lebo, Kutosari;;
;;29;Tani Makmur;Suwarti. Ds. Sawangan Rt.03/2;Ketanggan, Sawangan;;
;;30;Karunia Tani; Busro, Madugowongjati;Sentul, Tedunan, Madugowongjati, Surodadi;;
;;;;;;;
7;BANYUPUTIH;31;Mitra Tani;Moh. Tasachur, ds. Bulu;Bulu, Banaran, Kalangsono, Timbang, Penundan;;
;CV MAJU MAPAN/ ;32;Sumber Tani;Miskono Ds. Kalibalik;Kedawung, Banyuputih, Kalibalik, Luwung, Sembung, Dlimas;;
;CV.MAKMUR JAYA;;;;;;
;ABADI;;;;;;
8;SUBAH;33;Berkah Tani;Faturohman Ds. Tarub;Subah, Kuripan, Gondang, Kemiri Barat;;
;CV MAJU MAPAN/ ;34;Maju Makmur;Edi Sucipto, Ds. Keborangan;Menjangan, Jatisari, Kalimanggis, Mangunharjo, Kemiri Timur;;
;KUD MAWAR;35;Rukun Makmur;Slamet Purwanto Ds. Keborangan;Keborangan, Karang tengah, Tenggulag Harjo;;
;;36;Surya Jaya Tani;Mustafidah Ds. Kumejing;Kumejing, Adinusa, Clapar;;
;;37;Mitra Tani;Sugiyono Ds. Subah;Duren ombo, Sengon;;
;;;;;;;
9;TULIS;38;Rizki Tani;Slamet Er Setyono, Ds. Kencoco; Kenconorejo, Kedungsegog, Ponowareng, Beji ;;
;CV MAJU MAPAN/ ;39;Shobat Tani;Yuli Aditama Ds. Tulis; Tulis, Wringin Gintung, Sembojo, Posong, Simbangjati ;;
;KUD MAWAR;40;Tani Barokah;Suwardi Ds. Kebumen; Kebumen, Jolosekti, Manggis, Siberuk, Kaliboyo, Simbangdesa,  ;;
;;;;; Jrakah Payung, Cluwuk ;;
;;;;;;;
10;BAWANG;41;Bangkit Tani;Budiono, Ds. Bawang RT.2/1;Deles,Pangempon, Sidoharjo, Pranten;;
