nama,lat,lon,sumber
"Abdi Tani",-7.3551313,109.9038685,"osm"
"Agen Telur Ciwaringin",-6.5888071,106.7895683,"osm"
"AgroNiaga",-7.7648543,110.4318252,"osm"
"Alfata Buah",-6.9057581,112.0602783,"osm"
"Amanta",-6.2870522,107.0034108,"osm"
"Anggun Tani",-8.1453038,114.6514818,"osm"
"ANINDYA FARM",-6.878987,112.3998911,"osm"
"ASL Snack",-7.933568,110.332051,"osm"
"Babadan Garden",-7.7430898,110.4617958,"osm"
"Bagas Toko Pakan Ternak",-8.3026094,114.1009428,"osm"
"Barokah Tani",-7.3449651,111.9220382,"osm"
"Barokah Teknik",-7.1974881,108.5044439,"osm"
"Best Agro Internasional",-6.23597,106.827271,"osm"
"Bodeng Jual Pupuk Kandang",-8.3013351,114.1050469,"osm"
"Buah dan Sayur Pak Tukiran",-7.7383752,109.6642283,"osm"
"Buah Online Kita",-7.7529797,110.4482132,"osm"
"BUMDes Rantewringin",-7.7383989,109.6630995,"osm"
"Cahaya Tani",-6.2256081,107.6202005,"osm"
"Daud Peternakan Ayam Telor",-8.3027503,114.1008151,"osm"
"Dewata Agro",-8.2896726,114.1039955,"osm"
"Diaayan Stone",-6.467618,106.8032885,"osm"
"Djiwa Tani",-7.3509626,111.9059678,"osm"
"Durian Lover's",-6.9159467,107.6303075,"osm"
"ES KELAPA SAS 99",-6.1739557,106.7837414,"osm"
"Fastaman Green Taman Pinang",-7.4566966,112.7062805,"osm"
"Firdaus Florist",-6.7513301,108.5397982,"osm"
"Flora Herbal Nusantara",-6.2970906,107.0171688,"osm"
"Flora Indah",-6.736544,108.5537817,"osm"
"Gedung Tani",-7.5681353,110.8263691,"osm"
"Gori ABC Buah",-6.899092,112.0597235,"osm"
"Gudang",-7.5802553,110.1657241,"osm"
"Gudang Distributor Pupuk",-6.8391409,107.4757872,"osm"
"Gudang Pupuk",-7.2207219,109.2892959,"osm"
"gudang pupuk",-7.2261685,109.2641144,"osm"
"Gudang Pupuk",-7.2310165,109.2668015,"osm"
"Gudang Pupuk",-7.3717205,108.5585605,"osm"
"GUDANG PUPUK",-8.0331822,112.5235726,"osm"
"Gudang Pupuk Cibadak",-6.8966875,106.8106062,"osm"
"Gudang Pupuk Sriwijaya",-7.7413581,110.8785187,"osm"
"Gudang Pupuk Sriwijaya Palembang",-7.7853887,110.4296902,"osm"
"Gudang UD.FAJAR TANI",-7.0742281,111.9750801,"osm"
"Istana Durian",-6.1701339,106.7828711,"osm"
"jogja agro mandiri (toko tanaman)",-7.7567155,110.3654853,"osm"
"Jual Bibit Cabe",-8.3083249,114.1010263,"osm"
"Jual Bibit Duren Abang Pak Serad",-8.2061016,114.3242151,"osm"
"Jual Bibit Durian Merah",-8.2058459,114.3252419,"osm"
"Jujur Tani",-7.9706881,110.6024144,"osm"
"Kanaya Poultry Shop",-7.7354248,110.4347345,"osm"
"Kandang Ayam nsbh Subain",-7.0955115,112.0381445,"osm"
"Kandang Ayam Panji Pamungkas",-7.2892862,111.907122,"osm"
"Karnabumi Integrated Farm",-6.4840563,106.7441812,"osm"
"Karunia Pakan",-7.730479,112.221069,"osm"
"Karya Tani",-7.3133389,111.9195069,"osm"
"KDMP Pangkahwetan - Gudang Pupuk & Pakan",-6.9157871,112.5604764,"osm"
"Kebun Coklat Kampung Coklat",-8.1553723,112.1701512,"osm"
"Kebun Duren",-7.3443585,109.3414425,"osm"
"Kebun Kakao Kampung Coklat",-8.1548036,112.1728521,"osm"
"Kembang Baru pertamanan",-7.676511,110.4174328,"osm"
"Kembang Tani",-7.3344162,111.9142114,"osm"
"Kios Almira",-6.7363926,108.5539715,"osm"
