modul,komoditas,varietas,no_sk,tahun,golongan,kode_http,url_tautan_putus
db-vardaf,Tomat,TO 2085,05/Kpts/PV.240/D/I/2023,2023,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-02/sk_005_tomat_to_2085_sumanah.pdf
db-vardaf,Melon,KMA003,06/Kpts/PV.240/D/I/2023,2023,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-02/sk_006_melon_kma003_kusumahadi.pdf
db-vardaf,Cabai Rawit,YSCR388,07/Kpts/PV.240/D/I/2023,2023,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-02/sk_007_cabai_rawit_yscr388_pt_benih_unggul_sejati.pdf
db-vardaf,Mentimun,YSKE673,08/Kpts/PV.240/D/I/2023,2023,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-02/sk_008_mentimun_yske673_pt_benih_unggul_sejati.pdf
db-vardaf,Terong,YSTA073,09/Kpts/PV.240/D/I/2023,2023,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-02/sk_009_terong_ysta073_pt_benih_unggul_sejati.pdf
db-vardaf,Semangka,SE 552,10/Kpts/PV.240/D/I/2023,2023,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-02/sk_010_semangka_se_552_pt_benih_citra_asia.pdf
db-vardaf,Kacang Buncis,BU 192,11/Kpts/PV.240/D/I/2023,2023,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-02/sk_011_buncis_bu_192_pt_benih_citra_asia.pdf
db-vardaf,Kacang Buncis,BU 250,12/Kpts/PV.240/D/I/2023,2023,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-02/sk_012_buncis_bu_250_pt_benih_citra_asia.pdf
db-vardaf,Mentimun,KE 441,13/Kpts/PV.240/D/I/2023,2023,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-02/sk_013_mentimun_ke_441_pt_benih_citra_asia.pdf
db-vardaf,Paria,PA 939,14/Kpts/PV.240/D/I/2022,2023,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-02/sk_014_paria_pa_939_pt_benih_citra_asia.pdf
db-vardaf,Bawang Merah,BM 9008,15/Kpts/PV.240/D/I/2023,2023,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-02/sk_015_bawang_merah_bm_9008_pt_ewsi.pdf
db-vardaf,Tomat,To 3342,16/Kpts/PV.240/D/I/2023,2023,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-02/sk_016_tomat_to_3342_pt_hibrida_jaya_unggul.pdf
db-vardaf,Kangkung,JS KA 02,17/Kpts/PV.240/D/I/2023,2023,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-02/sk_017_kangkung_js_ka_02_pt_hibrida_jaya_unggul.pdf
db-vardaf,Kangkung,JS KA 01,18/Kpts/PV.240/D/I/2023,2023,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-02/sk_018_kangkung_js_ka_01_pt_hibrida_jaya_unggul.pdf
db-vardaf,Sawi Sendok/Pak Choi,PC 106,19/Kpts/PV.240/D/I/2023,2023,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-02/sk_019_pak_choy_pc_106_pt_agrosid_manunggal_sentosa.pdf
db-vardaf,Melon,KMA004,21/Kpts/PV.240/D/I/2023,2023,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-02/sk_021_melon_kma004_kusumahadi.pdf
db-vardaf,Jagung Pulut Manis,19ES101,24/Kpts/PV.240/D/I/2023,2023,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-02/sk_024_jagung_pulut_manis_19es101_pt_bisi_international_tbk.pdf
db-vardaf,Jagung Pulut Manis,PS12,25/Kpts/PV.240/D/I/2023,2023,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-02/sk_025_jagung_pulut_manis_ps12_cv_danau_tondano_seed_expert.pdf
db-vardaf,Jagung Pulut Manis,WS12,26/Kpts/PV.240/D/I/2023,2023,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-02/sk_026_jagung_pulut_manis_ws12_cv_danau_tondano_seed_expert.pdf
db-vardaf,Jagung Manis,YS12,27/Kpts/PV.240/D/I/2023,2023,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-02/sk_027_jagung_manis_ys12_cv_danau_tondano_seed_expert.pdf
db-vardaf,Terong,Tenuda,28/Kpts/PV.240/D/I/2023,2023,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-02/sk_028_terong_tenuda_pt_tunas_agro_persada.pdf
db-vardaf,Terong,Tenusa,29/Kpts/PV.240/D/I/2023,2023,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-02/sk_029_terong_tenusa_pt_tunas_agro_persada.pdf
db-vardaf,Semangka,SK 65,30/Kpts/PV.240/D/I/2023,2023,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-02/sk_030_semangka_sk_65_pt_wira_agro_nusantara_sejahtera.pdf
db-vardaf,Cabai Keriting,Tiara Redchill 01,32/Kpts/PV.240/D/I/2023,2023,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-02/sk_032_cabai_keriting_tiara_redchill_01_pt_tiara_buana_mandiri.pdf
db-vardaf,Kentang,BISI PO 01,33/Kpts/PV.240/D/I/2023,2023,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-02/sk_033_kentang_bisi_po_01_pt_bisi_international_tbk.pdf
db-vardaf,Terong,BAS TR 2L41,34/Kpts/PV.240/D/I/2023,2023,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-02/sk_034_terong_bas_tr_2l41_cv_satya_agro_mandiri.pdf
db-vardaf,Mentimun,BAS TN B552,35/Kpts/PV.240/D/I/2023,2023,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-02/sk_035_mentimun_bas_tn_b552_cv_satya_agro_mandiri.pdf
db-vardaf,Semangka,BAS SM 3389,36/Kpts/PV.240/D/I/2023,2023,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-02/sk_036_semangka_bas_sm_3389_cv_satya_agro_mandiri.pdf
db-vardaf,Lobak,Snow Top,37/Kpts/PV.240/D/I/2023,2023,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-02/sk_037_lobak_snow_top_pt_winon_international.pdf
db-vardaf,Terong,Summer Joy,38/Kpts/PV.240/D/I/2023,2023,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-02/sk_038_terong_summer_joy_pt_winon_international.pdf
db-vardaf,Tomat,BAS TM 2217,39/Kpts/PV.240/D/I/2023,2023,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-02/sk_039_tomat_bas_tm_2217_cv_satya_agro_mandiri.pdf
db-vardaf,Cabai Keriting,BAS CK 1193,40/Kpts/PV.240/D/I/2023,2023,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-02/sk_040_cabai_keriting_bas_ck_1193_cv_satya_agro_mandiri.pdf
db-vardaf,Semangka,DDG SE 5758,41/Kpts/PV.240/D/I/2023,2023,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-02/sk_041_semangka_ddg_se_5758_pt_dewa_danu_group.pdf
db-vardaf,Melon,Kirani,43/Kpts/PV.240/D/I/2023,2023,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-02/sk_043_melon_kirani_pt_tunas_agro_persada.pdf
db-vardaf,Cabai Keriting,Casabe,44/Kpts/PV.240/D/I/2023,2023,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-02/sk_044_cabai_casabe_pt_tunas_agro_persada.pdf
db-vardaf,Mentimun,MRPA 01,45/Kpts/PV.240/D/I/2023,2023,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-02/sk_045_mentimun_mrpa_01_pt_raja_pilar_agrotama.pdf
db-vardaf,Kacang Buncis,BISI BC 08,46/Kpts/PV.240/D/I/2023,2023,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-02/sk_046_buncis_bisi_bc_08_pt_bisi_international_tbk.pdf
db-vardaf,Jagung Manis,RS 8,47/Kpts/PV.240/D/I/2023,2023,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-02/sk_047_jagung_manis_rs_8_pt_royal_agro_persada.pdf
db-vardaf,Cabai Keriting,CK ASA 2236,48/Kpts/PV.240/D/I/2023,2023,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-02/sk_048_cabai_keriting_ck_asa_2236_pt_aditya_sentana_agro.pdf
